dataset,retriever,query_type,queries,pairs,VI@20_micro,VI@20_query_macro,rank_range_median
wands,minilm,attribute_constraint,56,3970,0.07027707808564232,0.1838638322539478,1189.5
wands,minilm,brand_entity_proxy,78,7280,0.15714285714285714,0.19550049872321681,276.5
wands,minilm,long_descriptive,10,69,0.30434782608695654,0.24627329192546582,48.0
wands,minilm,multi_constraint,48,1521,0.12294543063773833,0.18118290851244603,280.0
wands,minilm,product_type,174,11912,0.11694089993284083,0.1830471180214324,532.5
wands,minilm,style,13,718,0.08217270194986072,0.25092202358059396,3254.0
wands,bge_base,attribute_constraint,56,3970,0.09345088161209068,0.2567287590032694,882.5
wands,bge_base,brand_entity_proxy,78,7280,0.18173076923076922,0.23328820513340298,230.0
wands,bge_base,long_descriptive,10,69,0.3333333333333333,0.2263975155279503,44.0
wands,bge_base,multi_constraint,48,1521,0.16502301117685733,0.22796730066347334,244.0
wands,bge_base,product_type,174,11912,0.13599731363331094,0.21861559942670042,357.0
wands,bge_base,style,13,718,0.12952646239554316,0.3692169326264484,1918.5
