dataset,retriever,query_type,queries,pairs,VI@20_micro,VI@20_query_macro,rank_range_median
wands,minilm,attribute_constraint,56,3970,0.08337531486146096,0.1621982938377575,777.0
wands,minilm,brand_entity_proxy,78,7280,0.1287087912087912,0.18950515650164407,147.0
wands,minilm,long_descriptive,10,69,0.2608695652173913,0.12836438923395446,25.0
wands,minilm,multi_constraint,48,1521,0.13083497698882315,0.1947403561046969,212.0
wands,minilm,product_type,174,11912,0.12088650100738751,0.19687232773084623,324.0
wands,minilm,style,13,718,0.08217270194986072,0.22076864246939026,1991.5
wands,bge_base,attribute_constraint,56,3970,0.1269521410579345,0.298552888680486,621.0
wands,bge_base,brand_entity_proxy,78,7280,0.18063186813186813,0.2322056063693441,117.0
wands,bge_base,long_descriptive,10,69,0.4782608695652174,0.38383367839889576,45.0
wands,bge_base,multi_constraint,48,1521,0.22682445759368836,0.28776200257120305,155.0
wands,bge_base,product_type,174,11912,0.1814976494291471,0.24162811154092234,249.0
wands,bge_base,style,13,718,0.18245125348189414,0.28406618426106,913.5
