dataset,retriever,representation,cNDCG@10,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,RelevanceVisibilitySpearman
wands,minilm,C0_original,0.7125127682221662,0.08021301160697568,0.16809054535383544,0.8319094546461647,0.31010906249398046
wands,minilm,C1_reverse_attribute_order,0.713792824272104,0.08006693821594071,0.1603591295885568,0.8396408704114432,0.30370598441420815
wands,minilm,C2_random_attribute_order_s1,0.7165881725582096,0.08064830235050394,0.16624149818608178,0.8337585018139183,0.30843807365055803
wands,minilm,C2_random_attribute_order_s2,0.7139054892738286,0.0801666313353506,0.16333305930184286,0.8366669406981571,0.30296221438851834
wands,minilm,C2_random_attribute_order_s3,0.7149402513647551,0.07966454669126505,0.15854807127379394,0.8414519287262061,0.3041447885807056
wands,minilm,C2_random_attribute_order_s4,0.7135339090468968,0.07841543389601016,0.15845605352976955,0.8415439464702305,0.30528559655940163
wands,minilm,C2_random_attribute_order_s5,0.713132110248433,0.08080019585559543,0.17214063121282105,0.8278593687871789,0.30307026045586477
wands,bge_base,C0_original,0.7528119420487349,0.08838543473037608,0.21009818828666538,0.7899018117133346,0.34408429591560163
wands,bge_base,C1_reverse_attribute_order,0.7554894809897458,0.08880619884699499,0.20621639562498018,0.7937836043750199,0.3498851488250971
wands,bge_base,C2_random_attribute_order_s1,0.748634259857366,0.08752492680041864,0.20809984679934118,0.7919001532006588,0.34625168367998255
wands,bge_base,C2_random_attribute_order_s2,0.7484192576766888,0.0872378395050505,0.20331621826382976,0.7966837817361702,0.34702181356147366
wands,bge_base,C2_random_attribute_order_s3,0.7527758607951527,0.0863920160906571,0.2053001824372238,0.7946998175627762,0.34598640308711337
wands,bge_base,C2_random_attribute_order_s4,0.7508865520017631,0.08708333715070465,0.20570866821988834,0.7942913317801116,0.3405559571660471
wands,bge_base,C2_random_attribute_order_s5,0.7486194836916773,0.0877501936622868,0.20950499667512873,0.7904950033248711,0.3395876228347855
