dataset,retriever,representation,cNDCG@10,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,RelevanceVisibilitySpearman
wands,minilm,C0_original,0.7240727683346407,0.08508439981087397,0.19162126224951684,0.8083787377504831,0.31667157658009826
wands,minilm,C1_reverse_attribute_order,0.7245999606063431,0.08833023891313822,0.17802013141559742,0.8219798685844025,0.3210190582722896
wands,minilm,C2_random_attribute_order_s1,0.7252661429085907,0.08668176670223789,0.17903490007583828,0.8209650999241617,0.32173657588288296
wands,minilm,C2_random_attribute_order_s2,0.7231080347000302,0.08754991105331196,0.17200149407073145,0.8279985059292686,0.3157732426314698
wands,minilm,C2_random_attribute_order_s3,0.7265239992876193,0.08612259976571619,0.17844947779028886,0.8215505222097113,0.3159734756526291
wands,minilm,C2_random_attribute_order_s4,0.723976666603412,0.08649579578646722,0.17046737108317092,0.829532628916829,0.3180397978928806
wands,minilm,C2_random_attribute_order_s5,0.722874530194812,0.08684264654827172,0.18834843310581864,0.8116515668941813,0.3135898534771353
wands,bge_base,C0_original,0.7847611195320024,0.09754681403253737,0.2763767014523068,0.7236232985476931,0.3721310380200773
wands,bge_base,C1_reverse_attribute_order,0.791062289717481,0.10004828796001217,0.28747893743767433,0.7125210625623256,0.38043239937312084
wands,bge_base,C2_random_attribute_order_s1,0.7861459393262169,0.09928557939713309,0.2742945209747546,0.7257054790252454,0.37389530145376026
wands,bge_base,C2_random_attribute_order_s2,0.781733517000771,0.09849767692445656,0.27114257076665316,0.7288574292333468,0.3757760381202477
wands,bge_base,C2_random_attribute_order_s3,0.7856308888671792,0.09886765013518412,0.26819104429091356,0.7318089557090863,0.3736676780003803
wands,bge_base,C2_random_attribute_order_s4,0.783877850540266,0.09984137766816906,0.28107406255143436,0.7189259374485656,0.3708485868990457
wands,bge_base,C2_random_attribute_order_s5,0.7847634460235152,0.09914699956109076,0.2842816615938017,0.7157183384061983,0.3741587633579219
