dataset,retriever,query_type,queries,pairs,VI@20_micro,VI@20_query_macro,rank_range_median
wands,minilm,attribute_constraint,56,3970,0.07405541561712846,0.15200550773892316,907.5
wands,minilm,brand_entity_proxy,78,7280,0.1353021978021978,0.21475708106478053,192.0
wands,minilm,long_descriptive,10,69,0.37681159420289856,0.2723947550034507,38.0
wands,minilm,multi_constraint,48,1521,0.1111111111111111,0.15295317537485,250.0
wands,minilm,product_type,174,11912,0.11291134989926124,0.20983376829377667,401.0
wands,minilm,style,13,718,0.06545961002785515,0.19068469693772508,2578.0
wands,bge_base,attribute_constraint,56,3970,0.12619647355163727,0.3261953886706229,789.5
wands,bge_base,brand_entity_proxy,78,7280,0.19739010989010988,0.26467001180176,147.5
wands,bge_base,long_descriptive,10,69,0.5072463768115942,0.3582729468599034,51.0
wands,bge_base,multi_constraint,48,1521,0.2274819197896121,0.28702097276567284,188.0
wands,bge_base,product_type,174,11912,0.17478173270651443,0.24784959384233252,323.0
wands,bge_base,style,13,718,0.17270194986072424,0.29859327967648136,1370.5
