dataset,retriever,profile,highest_pairs,rank_range_median,rank_std_median,reciprocal_rank_variance_median,VI@10_micro,VI@10_query_macro,VI@10_macro_ci_low,VI@10_macro_ci_high,pairwise_crossing@10_micro,VI@20_micro,VI@20_query_macro,VI@20_macro_ci_low,VI@20_macro_ci_high,pairwise_crossing@20_micro,VI@50_micro,VI@50_query_macro,VI@50_macro_ci_low,VI@50_macro_ci_high,pairwise_crossing@50_micro,go_cell
wands,minilm,native,25470,207.0,68.60981021653174,3.0133811772583468e-06,0.0910482921083627,0.1670086728430679,0.1456894611520156,0.1887881260844413,0.036980948641726,0.1326266195524146,0.1916761044628586,0.1709087868863117,0.2126853853527813,0.0552395909286368,0.2044365920691009,0.2251240268491652,0.2046966452770395,0.2459399212037923,0.0851720978929459,True
wands,bge_base,native,25470,81.0,26.910281392084848,1.2231617169857658e-06,0.0634471927758146,0.1041676050752214,0.0891894775035391,0.1204841260408736,0.0262269336474283,0.0940714566156262,0.1205155301548153,0.105800921002904,0.1366739382632207,0.0391272645689606,0.134040047114252,0.1276980665119375,0.113786440326875,0.1421910285528379,0.0559313478041393,True
wands,minilm,mean_126_o32,25470,502.0,168.11445316683324,2.1419028182322548e-06,0.0755791126815861,0.1393487275252374,0.1204538461234815,0.1600428664883394,0.0303101688260698,0.121044365920691,0.1894910577223245,0.1670721292406858,0.2124869726991757,0.0496307513975358,0.1964664310954063,0.2453382939594036,0.2213609026563474,0.2688401001832209,0.0812571279002374,True
wands,bge_base,mean_126_o32,25470,363.0,121.48696070275952,3.2312101088668555e-06,0.0924617196702002,0.1810388894409212,0.1581707361480249,0.2054692607513926,0.0379082767775347,0.1445229681978798,0.2338222441058164,0.2087847439560734,0.2598621624386625,0.0592742161646755,0.2221044365920691,0.2773750008505076,0.2532279060479643,0.3021393927059441,0.0932151737805447,True
wands,minilm,mean_254_o0,25470,320.0,105.80189391875666,2.181972693318533e-06,0.0759324695720455,0.1506978334253893,0.129670305529378,0.1733389714077151,0.0312561930936489,0.117157440125638,0.188974841753765,0.1666455978622315,0.2122419280675255,0.0480677547815356,0.18390263054574,0.2319826477904272,0.2085638649571601,0.2557008882037205,0.0764858750724475,True
wands,bge_base,mean_254_o0,25470,250.0,83.34401230160702,6.069259127562749e-06,0.1179819395367098,0.2141404180428954,0.1900115655383173,0.2394698426382604,0.0474881746966552,0.1762858264625049,0.2591505640470634,0.2347553110479697,0.2837252346765594,0.0725148166844279,0.2555162936788378,0.2816559331642441,0.2567993904009459,0.3064708529051942,0.106440817394881,True
wands,minilm,mean_254_o64,25470,383.0,127.23343479956958,2.028710531252691e-06,0.0712995681193561,0.1376955142730765,0.1174256706571642,0.1593550547298964,0.0288930020378783,0.1125245386729485,0.1960924471445051,0.1727996863186417,0.2203993997175729,0.0461682277936694,0.1791912053396152,0.2378171387188937,0.2136941134300585,0.2624611669187941,0.0742909492026099,True
wands,bge_base,mean_254_o64,25470,316.5,106.21051439299409,6.571253952907613e-06,0.1177071063996859,0.2340486964748137,0.2081348714367796,0.2616465277337725,0.0472077327201002,0.1776599921476246,0.2725025878939409,0.2468086607576527,0.2986543951261471,0.072462467515471,0.260581075775422,0.2983890562405673,0.2733371302439646,0.3238177094898249,0.1083104305719146,True
wands,minilm,cls_254_o0,25470,287.0,95.72782412117932,2.251876886448792e-06,0.0745583038869257,0.1344913092736169,0.1147183458516377,0.1561158722294378,0.0302540804307588,0.1162936788378484,0.1763663640768062,0.1555862260604128,0.1978513545712119,0.0482397591938227,0.1879858657243816,0.2370174448414936,0.2122546699287829,0.262344708670343,0.0786396694523902,True
wands,bge_base,cls_254_o0,25470,278.0,92.76874913532546,5.641114238029532e-06,0.1125245386729485,0.2084760996397255,0.1848419416466821,0.2339088976703998,0.045311944958588,0.1714566156262269,0.254216019902042,0.2293008649078138,0.279992993163654,0.0706227681492699,0.25308205732234,0.2741786125028799,0.2500811397561297,0.2980368000386158,0.1049787798904406,True
