dataset,representation,retriever,cNDCG@10,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,RelevanceVisibilitySpearman,VI@20_micro,VI@20_query_macro,rank_range_median,VI@20_macro_ci_low,VI@20_macro_ci_high
wands,C0_original,minilm,0.7792599092618921,0.1059664526613474,0.3116087338512682,0.6883912661487318,0.3540032250983545,0.13262661955241462,0.1916761044628586,207.0,0.1712902020764971,0.2130707315764994
wands,M1_factual_field_sentence,minilm,0.7813871242981343,0.1053494523572639,0.30961150660339964,0.6903884933966004,0.36339143980712457,0.12367491166077739,0.1819999346156522,158.0,0.1625485207131693,0.2025133154541343
wands,M2_normalized_attributes,minilm,0.7549912842967725,0.09897291498887474,0.2568966037052297,0.7431033962947703,0.33492031686640383,0.0,0.0,0.0,0.0,0.0
wands,C0_original,bge_base,0.8276964916293978,0.11140669939188833,0.36211107237284224,0.6378889276271578,0.3902901432603199,0.09407145661562623,0.1205155301548153,81.0,0.10611585588759526,0.13652558809526508
wands,M1_factual_field_sentence,bge_base,0.8220899804190431,0.11222821751588537,0.3619817451330981,0.6380182548669019,0.3907196347096804,0.0956419316843345,0.119369307848867,89.0,0.10650109507974821,0.13308817696137595
wands,M2_normalized_attributes,bge_base,0.8030490107242692,0.11323465485315413,0.35762112349380687,0.6423788765061931,0.36449489956921227,0.0,0.0,0.0,0.0,0.0
wands,C0_original,gte_modernbert,0.821896465711637,0.10842439494526458,0.3593594793235715,0.6406405206764285,0.3855822359029116,0.1133097762073027,0.14434006794821969,107.0,0.12925150570401936,0.1602031333850807
wands,M1_factual_field_sentence,gte_modernbert,0.8167397178837846,0.10581312867776393,0.34971363479224876,0.6502863652077512,0.39182351692661427,0.1082842559874362,0.14868412924624214,114.0,0.1324128067948546,0.16643908381681854
wands,M2_normalized_attributes,gte_modernbert,0.8207912448613374,0.10975754674769327,0.3629873918372535,0.6370126081627464,0.3938130424197594,0.0,0.0,0.0,0.0,0.0
esci,C0_original,minilm,0.6853370764119394,0.6196392974876779,0.6795206657015723,0.32047933429842773,0.22010022819747405,0.04668470906630582,0.040373317303826914,2.0,0.03169217021742363,0.05001888825316859
esci,M1_factual_field_sentence,minilm,0.6797283236346929,0.6150345645610109,0.6777744534640643,0.32222554653593577,0.2189544458519313,0.054578258908434825,0.04301041706104807,2.0,0.03464205593915908,0.05205274024551314
esci,M2_normalized_attributes,minilm,0.6851729505926252,0.6197328017542948,0.6761023299958588,0.32389767000414105,0.22182394364085586,0.0,0.0,0.0,0.0,0.0
esci,C0_original,bge_base,0.7124454703586713,0.6739051022370096,0.7410465636379934,0.25895343636200674,0.25505484374652326,0.04420387911592242,0.03661806169556642,2.0,0.02851678894701181,0.0455077800585381
esci,M1_factual_field_sentence,bge_base,0.7061174440746639,0.6756090499649724,0.7431675109073818,0.25683248909261824,0.24761408146171449,0.042399639152007215,0.030780060349239795,2.0,0.0242017226201331,0.03760007158792085
esci,M2_normalized_attributes,bge_base,0.7192272500402048,0.6822602330896994,0.7514274564359822,0.2485725435640178,0.26072337832980474,0.0,0.0,0.0,0.0,0.0
esci,C0_original,gte_modernbert,0.7167828384738955,0.647403594662179,0.7244962730851259,0.2755037269148742,0.2688732020346808,0.08254397834912043,0.06909510986215128,3.0,0.0579224366906289,0.08145408764346422
esci,M1_factual_field_sentence,gte_modernbert,0.703950643640075,0.6544018468387068,0.7244605329835859,0.2755394670164141,0.2581589595173434,0.046008119079837616,0.03855156490750273,2.0,0.03010614551824132,0.047789091408166506
esci,M2_normalized_attributes,gte_modernbert,0.7180114176432214,0.6566326903748732,0.7282422639590233,0.27175773604097675,0.2651791174075635,0.0,0.0,0.0,0.0,0.0
