dataset,retriever,representation,lambda,queries,SAR,ci_low,ci_high
wands,minilm,C0_original,0.0,479,0.7792599092618921,0.7582827038244749,0.8003245095487521
wands,minilm,C0_original,0.1,479,0.7640938876352902,0.7426207642841154,0.7853707768539315
wands,minilm,C0_original,0.25,479,0.7413448551953872,0.7190393197512764,0.7636443527304783
wands,minilm,C0_original,0.5,479,0.7034298011288822,0.6793804853171483,0.7267290311709975
wands,minilm,C0_original,1.0,479,0.6275996929958725,0.5976682373627172,0.656557338994037
wands,minilm,M1_factual_field_sentence,0.0,479,0.7813871242981343,0.760438096024259,0.8026462928261827
wands,minilm,M1_factual_field_sentence,0.1,479,0.7669867119350168,0.7454723814444927,0.7882525816656788
wands,minilm,M1_factual_field_sentence,0.25,479,0.7453860933903407,0.7230910842943746,0.7676299788341345
wands,minilm,M1_factual_field_sentence,0.5,479,0.7093850624825474,0.6856845761571191,0.7325640086015334
wands,minilm,M1_factual_field_sentence,1.0,479,0.6373830006669606,0.6078708830019697,0.6662929991003812
wands,minilm,M2_normalized_attributes,0.0,479,0.7549912842967725,0.7330855657218194,0.7768739738760722
wands,minilm,M2_normalized_attributes,0.1,479,0.7549912842967725,0.7331780620855853,0.7767051207470287
wands,minilm,M2_normalized_attributes,0.25,479,0.7549912842967725,0.7327980737524926,0.7773052464621613
wands,minilm,M2_normalized_attributes,0.5,479,0.7549912842967725,0.7323957318285668,0.7766484924283844
wands,minilm,M2_normalized_attributes,1.0,479,0.7549912842967725,0.7324291942026475,0.7769984798905667
wands,bge_base,C0_original,0.0,479,0.8276964916293978,0.80914832660495,0.8464229511163688
wands,bge_base,C0_original,0.1,479,0.818160920454309,0.7993721879018953,0.8368396921492691
wands,bge_base,C0_original,0.25,479,0.8038575636916759,0.7846669307279771,0.8232266613704001
wands,bge_base,C0_original,0.5,479,0.7800186357539541,0.7590637026714407,0.8001274334553053
wands,bge_base,C0_original,1.0,479,0.7323407798785104,0.7076677626851636,0.7562246474923359
wands,bge_base,M1_factual_field_sentence,0.0,479,0.8220899804190431,0.8028562722460839,0.8412897514971241
wands,bge_base,M1_factual_field_sentence,0.1,479,0.8126451019900826,0.7933458519196995,0.8321947560126302
wands,bge_base,M1_factual_field_sentence,0.25,479,0.798477784346642,0.7788965279165708,0.8187726315862585
wands,bge_base,M1_factual_field_sentence,0.5,479,0.7748655882742408,0.7540252258983846,0.7953769664671438
wands,bge_base,M1_factual_field_sentence,1.0,479,0.7276411961294386,0.7034976355790612,0.7512666137712929
wands,bge_base,M2_normalized_attributes,0.0,479,0.8030490107242692,0.7819690750230854,0.8236419420093252
wands,bge_base,M2_normalized_attributes,0.1,479,0.8030490107242692,0.7825693212896281,0.8237642283277028
wands,bge_base,M2_normalized_attributes,0.25,479,0.8030490107242692,0.7819646478617251,0.8242405681105606
wands,bge_base,M2_normalized_attributes,0.5,479,0.8030490107242692,0.7821679552364829,0.8231035562615444
wands,bge_base,M2_normalized_attributes,1.0,479,0.8030490107242692,0.7821761868463453,0.8234311216371447
wands,gte_modernbert,C0_original,0.0,479,0.821896465711637,0.8023254029482662,0.8414594042447968
wands,gte_modernbert,C0_original,0.1,479,0.8104758215044605,0.7907301381783514,0.8302999042114506
wands,gte_modernbert,C0_original,0.25,479,0.7933448551936958,0.7730908778323645,0.8138984501865111
wands,gte_modernbert,C0_original,0.5,479,0.7647932446757546,0.7433329538594841,0.7855418505305376
wands,gte_modernbert,C0_original,1.0,479,0.7076900236398723,0.6822309487518773,0.7328012729702077
wands,gte_modernbert,M1_factual_field_sentence,0.0,479,0.8167397178837846,0.7963112276765054,0.8364497438547596
wands,gte_modernbert,M1_factual_field_sentence,0.1,479,0.8049753577617961,0.7847888959085173,0.825516524592561
wands,gte_modernbert,M1_factual_field_sentence,0.25,479,0.7873288175788131,0.7665533863910676,0.8084925365987075
wands,gte_modernbert,M1_factual_field_sentence,0.5,479,0.7579179172738413,0.735737238307465,0.7793022502861762
wands,gte_modernbert,M1_factual_field_sentence,1.0,479,0.699096116663898,0.6725747708775826,0.7250385315966288
wands,gte_modernbert,M2_normalized_attributes,0.0,479,0.8207912448613374,0.8010935351536601,0.8403804117992572
wands,gte_modernbert,M2_normalized_attributes,0.1,479,0.8207912448613374,0.8012022060296329,0.8407860098463898
wands,gte_modernbert,M2_normalized_attributes,0.25,479,0.8207912448613374,0.8008185947619403,0.8409440704776384
wands,gte_modernbert,M2_normalized_attributes,0.5,479,0.8207912448613374,0.8009960109187232,0.8399950036306846
wands,gte_modernbert,M2_normalized_attributes,1.0,479,0.8207912448613374,0.8008692730999015,0.8404827723703645
esci,minilm,C0_original,0.0,500,0.6853370764119394,0.6651134071352562,0.7043441750407052
esci,minilm,C0_original,0.1,500,0.6813078193450175,0.6607971681858025,0.7011360308702009
esci,minilm,C0_original,0.25,500,0.6752639337446347,0.6548228767021573,0.6952823735893632
esci,minilm,C0_original,0.5,500,0.6651907910773298,0.6442633690254923,0.6860551766183639
esci,minilm,C0_original,1.0,500,0.6450445057427202,0.6220863657131543,0.6671662687245357
esci,minilm,M1_factual_field_sentence,0.0,500,0.6797283236346929,0.6591965005641197,0.6991898765255417
esci,minilm,M1_factual_field_sentence,0.1,500,0.6754358840120003,0.6551347109244207,0.6953317816112841
esci,minilm,M1_factual_field_sentence,0.25,500,0.6689972245779614,0.6483234277110098,0.6892698467435172
esci,minilm,M1_factual_field_sentence,0.5,500,0.6582661255212299,0.6372148984915171,0.6788063576652631
esci,minilm,M1_factual_field_sentence,1.0,500,0.636803927407767,0.6137065298099614,0.6595233483570142
esci,minilm,M2_normalized_attributes,0.0,500,0.6851729505926252,0.665309436998467,0.7044255027135071
esci,minilm,M2_normalized_attributes,0.1,500,0.6851729505926252,0.6650491511881089,0.7044741898942983
esci,minilm,M2_normalized_attributes,0.25,500,0.6851729505926252,0.6645960191467564,0.7047022517414356
esci,minilm,M2_normalized_attributes,0.5,500,0.6851729505926252,0.665545002994702,0.7048802186196703
esci,minilm,M2_normalized_attributes,1.0,500,0.6851729505926252,0.6645348425851697,0.7046000602129632
esci,bge_base,C0_original,0.0,500,0.7124454703586713,0.6927721175942011,0.7312863173275387
esci,bge_base,C0_original,0.1,500,0.7087909878014538,0.6892036830530317,0.7276349341205112
esci,bge_base,C0_original,0.25,500,0.7033092639656274,0.6832844293329121,0.7226855881307689
esci,bge_base,C0_original,0.5,500,0.6941730575725835,0.6738102121194441,0.7142432570278378
