dataset,retriever,representation,cNDCG@10,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,RelevanceVisibilitySpearman
wands,minilm,C0_original,0.7211391999276677,0.08760262242670912,0.20587557062326856,0.7941244293767313,0.309578838609017
wands,minilm,C1_reverse_attribute_order,0.7239141962053552,0.08971112376891067,0.21424637192253265,0.7857536280774673,0.32130879329574025
wands,minilm,C2_random_attribute_order_s1,0.7218697608956718,0.08823347442726245,0.20968703510103298,0.790312964898967,0.313486530896319
wands,minilm,C2_random_attribute_order_s2,0.7190536639037886,0.0883310676498894,0.20728373122705904,0.792716268772941,0.31532136695034757
wands,minilm,C2_random_attribute_order_s3,0.7226674503189934,0.08765295818656152,0.2079454326835214,0.7920545673164786,0.3131713246530615
wands,minilm,C2_random_attribute_order_s4,0.7234800889643294,0.08819638019990697,0.20245693540119322,0.797543064598807,0.32131422980529
wands,minilm,C2_random_attribute_order_s5,0.7210063652033483,0.08753948422122042,0.20800456181037252,0.7919954381896274,0.3150239595724082
wands,bge_base,C0_original,0.7799817405999734,0.09866175644307529,0.27620443134343436,0.7237955686565655,0.37147166907492746
wands,bge_base,C1_reverse_attribute_order,0.7934996332781741,0.10169822059279073,0.2919846839284287,0.7080153160715713,0.38267533566220335
wands,bge_base,C2_random_attribute_order_s1,0.7838195331618252,0.09957157213528234,0.266940210222932,0.733059789777068,0.3764646567258309
wands,bge_base,C2_random_attribute_order_s2,0.7837071831739205,0.09988975203702029,0.2780234962705671,0.721976503729433,0.3783910989551885
wands,bge_base,C2_random_attribute_order_s3,0.7843210832626103,0.09977231424109162,0.2808817009447173,0.7191182990552828,0.37572967562367116
wands,bge_base,C2_random_attribute_order_s4,0.786265354176169,0.09959864028865854,0.2777048805377465,0.7222951194622536,0.3780398726928892
wands,bge_base,C2_random_attribute_order_s5,0.7857587642903032,0.10046065479830138,0.2891216243299609,0.7108783756700392,0.376865971411378
