dataset,retriever,representation,cNDCG@10,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,RelevanceVisibilitySpearman
wands,minilm,C0_original,0.7792599092618921,0.1059664526613474,0.3116087338512682,0.6883912661487318,0.3540032250983545
wands,minilm,C1_reverse_attribute_order,0.7790953898312465,0.1030943500511504,0.2921067304212829,0.7078932695787172,0.3476113605375082
wands,minilm,C2_random_attribute_order_s1,0.7786518771143294,0.10476522089377532,0.305620830901038,0.694379169098962,0.3549406443122819
wands,minilm,C2_random_attribute_order_s2,0.7814673905266476,0.10493511909106548,0.3003021788629476,0.6996978211370524,0.3506838542744455
wands,minilm,C2_random_attribute_order_s3,0.7778480190468816,0.10546210128023914,0.2925802482957604,0.7074197517042397,0.3501483913331269
wands,minilm,C2_random_attribute_order_s4,0.7815531973968074,0.10479114918207125,0.3021835770187249,0.6978164229812751,0.35175869983779956
wands,minilm,C2_random_attribute_order_s5,0.7811737386136914,0.10483863635240541,0.30321941862789303,0.6967805813721071,0.350291578571072
wands,bge_base,C0_original,0.8276964916293978,0.11140669939188833,0.36211107237284224,0.6378889276271578,0.3902901432603199
wands,bge_base,C1_reverse_attribute_order,0.8278426522004548,0.11158100720568873,0.3638413944377508,0.636158605562249,0.3862006993809399
wands,bge_base,C2_random_attribute_order_s1,0.8270954706659182,0.11136381983325702,0.36508917098358923,0.6349108290164106,0.38929072803272746
wands,bge_base,C2_random_attribute_order_s2,0.8250503035945543,0.11215835804234407,0.36372261037873516,0.6362773896212648,0.3906018140630611
wands,bge_base,C2_random_attribute_order_s3,0.8278981220695248,0.1116042040731606,0.3650636129858899,0.63493638701411,0.3873936836407537
wands,bge_base,C2_random_attribute_order_s4,0.8256320146899174,0.11057508610425534,0.35774826490417677,0.6422517350958233,0.3874366695036433
wands,bge_base,C2_random_attribute_order_s5,0.8287248426612699,0.11106635895723388,0.3601746415267236,0.6398253584732764,0.39004234037345975
wands,gte_modernbert,C0_original,0.821896465711637,0.10842439494526458,0.3593594793235715,0.6406405206764285,0.3855822359029116
wands,gte_modernbert,C1_reverse_attribute_order,0.8187534563625805,0.10924471343796847,0.3582848693238968,0.6417151306761031,0.39034591182990347
wands,gte_modernbert,C2_random_attribute_order_s1,0.8182272215612363,0.10882371983229303,0.35317298145973014,0.6468270185402698,0.3792983159238051
wands,gte_modernbert,C2_random_attribute_order_s2,0.8215632422815565,0.1087795409942972,0.35442534747103505,0.645574652528965,0.3835651466831645
wands,gte_modernbert,C2_random_attribute_order_s3,0.8202558886188105,0.10894482844869714,0.3565745449355422,0.6434254550644578,0.388648341337568
wands,gte_modernbert,C2_random_attribute_order_s4,0.8188368519094891,0.10975887837416061,0.35866489886724107,0.6413351011327589,0.3817075259734754
wands,gte_modernbert,C2_random_attribute_order_s5,0.8215572339958855,0.10873547283272399,0.3594123445912248,0.6405876554087752,0.38725365602051287
esci,minilm,C0_original,0.6853370764119394,0.6196392974876779,0.6795206657015723,0.32047933429842773,0.22010022819747405
esci,minilm,C1_reverse_attribute_order,0.6831378570205191,0.6197966417601087,0.6764648319124622,0.3235351680875378,0.21752381621881936
esci,minilm,C2_random_attribute_order_s1,0.6842784111816541,0.6202171320672628,0.6774996247202015,0.3225003752797984,0.21617912274428927
esci,minilm,C2_random_attribute_order_s2,0.6854475195599051,0.6181570510266883,0.673538116077155,0.32646188392284503,0.218207035794202
esci,minilm,C2_random_attribute_order_s3,0.6817920648854681,0.6181168637195033,0.6754795170727144,0.32452048292728564,0.21741574178172549
esci,minilm,C2_random_attribute_order_s4,0.6847210355256481,0.6189344885578953,0.6748338738044982,0.3251661261955019,0.21950249287264786
esci,minilm,C2_random_attribute_order_s5,0.6872631735737119,0.620017327247773,0.6730006209422912,0.3269993790577089,0.2186852822693708
esci,bge_base,C0_original,0.7124454703586713,0.6739051022370096,0.7410465636379934,0.25895343636200674,0.25505484374652326
esci,bge_base,C1_reverse_attribute_order,0.7125867499832663,0.6732388563867613,0.7359655550223999,0.26403444497760004,0.25461654425728997
