source,queries,legacy_cNDCG@10,official_cNDCG@10,delta,ci_low,ci_high
phase2\results\phase2_pair_ranks\esci_bge_base_native_C0.parquet,500,0.7124454703586711,0.7364416359237728,0.0239961655651017,0.0198970367099361,0.0282740888528475
phase2\results\phase2_pair_ranks\esci_bge_base_native_C1.parquet,500,0.7125867499832662,0.7362497823114893,0.0236630323282229,0.0195309626442492,0.0279346337443747
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s1.parquet,500,0.7150208222272365,0.7384720198224481,0.0234511975952116,0.0193613734313224,0.0276670562755842
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s2.parquet,500,0.7140666517824095,0.7377741475464124,0.0237074957640028,0.0196459230595409,0.0279306288524838
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s3.parquet,500,0.7157923003982684,0.7393327319182631,0.0235404315199947,0.0194376948713102,0.0278021446339724
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s4.parquet,500,0.7129085405608105,0.7363413192659811,0.0234327787051706,0.0192857328328289,0.02775016417368
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s5.parquet,500,0.7133265232145933,0.7370115030264676,0.0236849798118744,0.0195828032293088,0.0279643017525446
phase2\results\phase2_pair_ranks\esci_bge_base_native_C3.parquet,500,0.7083148289082408,0.7324894194141993,0.0241745905059584,0.0199811375014199,0.0285537803361463
phase2\results\phase2_pair_ranks\esci_bge_base_native_C4.parquet,500,0.6985587395376561,0.7234000479789318,0.0248413084412756,0.020662134956834,0.0292210750356059
phase2\results\phase2_pair_ranks\esci_bge_base_native_C5asc.parquet,500,0.6948029030637204,0.7195176645258087,0.0247147614620882,0.0203876972995236,0.0293108651494878
phase2\results\phase2_pair_ranks\esci_bge_base_native_C5desc.parquet,500,0.7077565427869206,0.7321181100249121,0.0243615672379913,0.020131667192756,0.0288019333160922
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C0.parquet,500,0.7061174440746638,0.7305208114882888,0.024403367413625,0.0203368605547318,0.028625644306222
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C1.parquet,500,0.7072526314025592,0.7319427306873956,0.0246900992848363,0.0205216443179545,0.0290677192535967
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s1.parquet,500,0.7052229818600105,0.7298330174955313,0.0246100356355207,0.0204096778947964,0.0290054603205731
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s2.parquet,500,0.7083051740241593,0.7328433110020723,0.0245381369779132,0.0204540964496019,0.0287681274842472
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s3.parquet,500,0.7085605880744945,0.7325584794194292,0.0239978913449347,0.0199289427092962,0.0282624201713171
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s4.parquet,500,0.7092499261189954,0.733352037643652,0.0241021115246565,0.019982063385318,0.0283721425598256
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s5.parquet,500,0.7057032069919417,0.7301402243991368,0.024437017407195,0.0203091551608891,0.0288178786978115
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C0.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C1.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s1.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s2.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s3.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s4.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s5.parquet,500,0.7192272500402046,0.7422525349317586,0.0230252848915539,0.0188736729460652,0.0273416842952933
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C0.parquet,500,0.7167828384738955,0.7388579581284038,0.0220751196545084,0.017686349457575,0.0266635419879333
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C1.parquet,500,0.7159301708963219,0.7375965969669748,0.0216664260706529,0.0172748349680405,0.0261822287671845
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s1.parquet,500,0.7196134469640211,0.7411705997763163,0.0215571528122952,0.0173569747640762,0.0259196810700235
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s2.parquet,500,0.719607259780224,0.7407945414829378,0.0211872817027138,0.0168437377155773,0.0257339380996958
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s3.parquet,500,0.718514746011666,0.7398379554595228,0.0213232094478568,0.0170568108821005,0.0257214888189837
