dataset,model,method,schedule,reference,query_id,n_highest,membership_cutoff,gained_count,lost_count,gained_ids,lost_ids,membership_changed,integer_recall_cancellation,delta_Recall20,delta_nDCG20,abs_delta_nDCG20,delta_nDCG10,abs_delta_nDCG10,numerical_zero_nDCG20,numerical_zero_nDCG10
wands,minilm,raw,C1,C0,2,151,20,4,4,"[""11878"",""36533"",""36619"",""36631""]","[""29146"",""29886"",""3276"",""38593""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,28,175,20,4,4,"[""17989"",""32052"",""767"",""801""]","[""12403"",""36705"",""4026"",""6252""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,59,43,20,5,5,"[""41612"",""41613"",""41616"",""41618"",""41643""]","[""41609"",""41627"",""41636"",""41640"",""41647""]",True,True,0.0,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C1,C0,108,81,20,2,2,"[""3048"",""3913""]","[""3017"",""3037""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,109,39,20,6,6,"[""26125"",""26134"",""26919"",""26925"",""26926"",""26933""]","[""26119"",""26129"",""26916"",""26929"",""26930"",""26936""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,112,266,20,10,10,"[""13742"",""25786"",""25787"",""25977"",""28035"",""37436"",""5361"",""5362"",""5363"",""6304""]","[""10493"",""11313"",""12138"",""13574"",""15381"",""28093"",""34750"",""34751"",""40866"",""40867""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,115,202,20,4,4,"[""14016"",""26872"",""28115"",""30630""]","[""21342"",""37486"",""38067"",""39608""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,138,142,20,6,6,"[""15718"",""15720"",""15724"",""15725"",""15732"",""22209""]","[""10048"",""10061"",""6750"",""6751"",""6752"",""6753""]",True,True,0.0,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C1,C0,172,42,20,4,4,"[""19476"",""25672"",""31639"",""40932""]","[""12149"",""12246"",""19487"",""19490""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,185,34,20,1,1,"[""30021""]","[""26266""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,227,176,20,4,4,"[""16781"",""17683"",""32627"",""34947""]","[""11729"",""35908"",""37259"",""800""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,231,307,20,5,5,"[""20191"",""20204"",""20210"",""3211"",""7801""]","[""20174"",""20193"",""5543"",""7793"",""7794""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,235,133,20,3,3,"[""20434"",""34437"",""994""]","[""24728"",""34441"",""42501""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,248,39,20,1,1,"[""27045""]","[""16398""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C1,C0,368,81,20,1,1,"[""35821""]","[""4071""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
