query_id,product_id,label
0,1197,Exact
0,1198,Exact
0,15612,Exact
0,20026,Exact
0,22389,Exact
0,22390,Exact
0,22391,Exact
0,25423,Exact
0,25424,Exact
0,25425,Exact
0,25426,Exact
0,25427,Exact
0,25428,Exact
0,25429,Exact
0,25431,Exact
0,25432,Exact
0,25433,Exact
0,25434,Exact
0,2636,Exact
0,2638,Exact
0,27534,Exact
0,27541,Exact
0,29744,Exact
0,29746,Exact
0,36910,Exact
0,39428,Exact
0,39429,Exact
0,39461,Exact
0,41156,Exact
0,42923,Exact
0,42927,Exact
0,42928,Exact
0,42929,Exact
0,42931,Exact
0,5936,Exact
0,7465,Exact
0,7466,Exact
0,7467,Exact
0,7468,Exact
1,16679,Exact
1,20054,Exact
1,25973,Exact
1,29449,Exact
1,33698,Exact
1,37304,Exact
1,5235,Exact
1,9929,Exact
2,10306,Exact
2,10437,Exact
2,10505,Exact
2,10539,Exact
2,10547,Exact
2,10550,Exact
2,10552,Exact
2,10553,Exact
2,10561,Exact
2,11033,Exact
2,11074,Exact
2,11075,Exact
2,11840,Exact
2,11871,Exact
2,11874,Exact
2,11877,Exact
2,11878,Exact
2,12020,Exact
2,12075,Exact
2,12130,Exact
2,12165,Exact
2,12179,Exact
2,12969,Exact
2,13500,Exact
2,13636,Exact
2,14034,Exact
2,14418,Exact
2,14678,Exact
2,15617,Exact
2,15618,Exact
2,16226,Exact
2,16227,Exact
2,16256,Exact
2,17275,Exact
2,18868,Exact
2,195,Exact
2,19651,Exact
2,20664,Exact
2,20665,Exact
2,20957,Exact
2,20971,Exact
2,20976,Exact
2,21043,Exact
2,21045,Exact
2,21046,Exact
2,21047,Exact
2,21048,Exact
2,21055,Exact
2,21062,Exact
2,21064,Exact
2,21072,Exact
2,21073,Exact
2,21083,Exact
2,21094,Exact
2,23033,Exact
2,24094,Exact
2,24095,Exact
2,24099,Exact
2,24196,Exact
2,25320,Exact
2,26729,Exact
2,27508,Exact
2,27509,Exact
2,27510,Exact
2,27511,Exact
2,27512,Exact
2,27513,Exact
2,27515,Exact
2,27516,Exact
2,27728,Exact
2,27812,Exact
