query_id,product_id,label
165,B005M8YXEY,E
165,B00FB6MHHW,E
165,B00FB6N9GA,E
165,B00FB6NADW,E
165,B073V44H23,E
165,B083MNL3G5,E
433,B001RJ8PGO,E
433,B002FYAOKK,E
433,B002FYAONW,E
433,B01C3WZGWY,E
433,B072B9YCNS,E
433,B073XKCND9,E
433,B07YR3QKS6,E
500,B00TY7OHCW,E
500,B00TY7OHEA,E
500,B00TY7OJWU,E
500,B00U0JIWXS,E
500,B00XK0B1PU,E
500,B0124EBP5I,E
500,B0173I4UUM,E
500,B0173I4YVM,E
500,B074G1MF5V,E
500,B07B1KXYFV,E
500,B07B1PXDF8,E
500,B07B1RCPTR,E
500,B07DLFJ1WV,E
500,B07DLG3B1W,E
500,B07SMBRR27,E
500,B07TC5L2CY,E
500,B07VV6T5HY,E
500,B07W67T98W,E
500,B07Z5NWFW5,E
500,B083W12ZW2,E
500,B086FXPSJV,E
500,B094CBPMNS,E
541,B002G2YAVU,E
541,B004BYY8D6,E
541,B007QTD9ZG,E
541,B00JXZKUDK,E
541,B00M47PJ62,E
541,B07MCWYTMD,E
541,B07Q85DQD4,E
598,B00004RADH,E
598,B0000CBITW,E
598,B000OWF7YI,E
598,B002Y04TK6,E
598,B002Y08J3E,E
598,B004OVUM40,E
598,B01M8FUUSJ,E
598,B01N1UXYCC,E
598,B07CNL5W2Z,E
598,B07DF9LN96,E
598,B07JMLDYRB,E
598,B07L8TBTVV,E
598,B0828SMZNS,E
598,B08SQWQZZB,E
600,B00ZY6JHU4,E
600,B01BLYNWIU,E
600,B01LBSZQ3U,E
600,B071X8S8WQ,E
600,B0728C64KH,E
600,B076PMFWVV,E
600,B07BK9GFKD,E
600,B07D1KRT47,E
600,B07DVDTYQ2,E
600,B07DXPTCXP,E
600,B07F6G3F1D,E
600,B07F81VDL2,E
600,B07PS6JW56,E
600,B07QR82TBY,E
600,B07YJF17C9,E
600,B082D7WVT8,E
600,B0898R6LB7,E
600,B08F6ZHQG7,E
600,B08GG639D2,E
600,B08QCX1CDC,E
600,B08S7G96WS,E
600,B08SW7FFL4,E
600,B08XPXY8G5,E
