step,loss
0,0.3647833466529846
1,0.2868771255016327
2,0.26014843583106995
3,0.24821257591247559
4,0.33873358368873596
5,0.2529636025428772
6,0.3272869288921356
7,0.29588159918785095
8,0.3151286840438843
9,0.1865580677986145
10,0.2631653845310211
11,0.2984333634376526
12,0.2652915120124817
13,0.2194133698940277
14,0.3668214678764343
15,0.2811679542064667
16,0.3285057246685028
17,0.21125343441963196
18,0.3622114658355713
19,0.3047282099723816
20,0.2949539124965668
21,0.3125130832195282
22,0.3880379796028137
23,0.23400819301605225
24,0.33713069558143616
25,0.2764877378940582
26,0.22085793316364288
27,0.2955189645290375
28,0.3061397075653076
29,0.2440304309129715
30,0.27013373374938965
31,0.23634451627731323
32,0.22327890992164612
33,0.3229774832725525
34,0.2429150938987732
