dataset,model,method,K,status,reason
wands,minilm,centroid_4,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,centroid_4,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,centroid_7,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,centroid_7,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,max_4,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,max_4,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,max_7,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,minilm,max_7,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,raw_hybrid,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,raw_hybrid,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,canonical_hybrid_field_priority_type,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,canonical_hybrid_field_priority_type,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,canonical_hybrid_lexical_ascending,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,canonical_hybrid_lexical_ascending,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,canonical_hybrid_lexical_descending,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,canonical_hybrid_lexical_descending,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,centroid_2,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,centroid_2,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,max_2,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,max_2,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,set_mean,20,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
wands,gte_modernbert,set_mean,100,unavailable,This encoder/method was not evaluated in the saved evidence; no imputation.
