dataset,model,support,K,contrast,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
wands,minilm,full,20,harmonized7 minus historical7,persistent_inclusion,0.00010850694444444449,0,0.00032552083333333348,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,harmonized7 minus historical7,VI,-0.00014984233588801116,-0.00039927323722503303,0,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,harmonized7 minus historical7,persistent_omission,4.133539144356678e-05,0,0.00011508779533526709,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,harmonized7 minus historical7,persistent_inclusion,4.5955882352941013e-05,0,0.00013786764705882304,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,harmonized7 minus historical7,VI,-5.0167305113578116e-05,-0.00021882611106271402,8.8298596233830537e-05,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,harmonized7 minus historical7,persistent_omission,4.2114227606373199e-06,-0.00011897208121827447,0.00014944310749105292,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,harmonized7 minus historical7,persistent_inclusion,0,0,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,harmonized7 minus historical7,VI,0,0,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,harmonized7 minus historical7,persistent_omission,0,0,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,harmonized7 minus historical7,persistent_inclusion,0,0,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,harmonized7 minus historical7,VI,0,0,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,harmonized7 minus historical7,persistent_omission,0,0,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,20,harmonized7 minus historical7,persistent_inclusion,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,20,harmonized7 minus historical7,VI,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,20,harmonized7 minus historical7,persistent_omission,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,100,harmonized7 minus historical7,persistent_inclusion,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,100,harmonized7 minus historical7,VI,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,100,harmonized7 minus historical7,persistent_omission,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,common_all_fitting,20,harmonized7 minus historical7,persistent_inclusion,0,0,0,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,common_all_fitting,20,harmonized7 minus historical7,VI,0,0,0,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,common_all_fitting,20,harmonized7 minus historical7,persistent_omission,0,0,0,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,common_all_fitting,100,harmonized7 minus historical7,persistent_inclusion,0,0,0,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,common_all_fitting,100,harmonized7 minus historical7,VI,0,0,0,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
