dataset,model,method,schedule,K,invariant_by_construction,vectors_per_product,construction_encodings_per_product,status,basis,sparse_branch,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,Recall,0.30808505676265363,0.2710145128159665,0.34671406905840585,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,nDCG,0.63645103481805798,0.60545007949681773,0.66796662440463961,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,cNDCG,0.75617518672605433,0.73268852933719142,0.77924302981606319,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,judged_coverage,0.79837662337662352,0.76817775974025959,0.82792207792207795,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,persistent_inclusion,0.20950259078991421,0.17579203894287856,0.24501461822953371,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,VI,0.19579381789518388,0.17316557439173746,0.21999178648479367,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,False,1,1,available,observed seven catalog schedules,False,persistent_omission,0.59470359131490191,0.55636945490595358,0.63194590054428501,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,Recall,0.29469993509336295,0.26001333362739948,0.33131393394930192,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,nDCG,0.6323312740348157,0.60134771537171705,0.66333784040579646,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,cNDCG,0.75335305799125429,0.73024937454105865,0.7761269722860642,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,judged_coverage,0.79798237476808898,0.76839053803339519,0.82704197588126149,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,persistent_inclusion,0.20950259078991421,0.17579203894287856,0.24501461822953371,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,VI,0.19579381789518388,0.17316557439173746,0.21999178648479367,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,False,1,1,available,observed seven catalog schedules,False,persistent_omission,0.59470359131490191,0.55636945490595358,0.63194590054428501,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,Recall,0.57883328209245855,0.54044233928638796,0.61687071063964571,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,nDCG,0.62547335750967337,0.59680263384317733,0.65363397348262819,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,cNDCG,0.83460324406039144,0.81745764205214111,0.85090805998540908,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,judged_coverage,0.64850649350649359,0.61688311688311692,0.6791891233766234,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,persistent_inclusion,0.45151085359537541,0.41119566887542131,0.4942152820522096,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,VI,0.21893847451519538,0.19698776180692912,0.24158230020255253,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,False,1,1,available,observed seven catalog schedules,False,persistent_omission,0.32955067188942916,0.29495667200764208,0.36519949458637141,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,Recall,0.56612894199056452,0.52863814861396208,0.60383443329580277,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,nDCG,0.61801624157546087,0.58929340000030761,0.64630980049203468,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,cNDCG,0.83153933054158924,0.81461240599947549,0.84786850582675943,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,judged_coverage,0.64296382189239332,0.61148399814471244,0.67371614100185517,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,persistent_inclusion,0.45151085359537541,0.41119566887542131,0.4942152820522096,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,VI,0.21893847451519538,0.19698776180692912,0.24158230020255253,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,False,1,1,available,observed seven catalog schedules,False,persistent_omission,0.32955067188942916,0.29495667200764208,0.36519949458637141,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,Recall,0.35858711501648571,0.3196981550833719,0.39883608198952963,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,nDCG,0.69957553129806471,0.66831859026892249,0.72999727413646875,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,cNDCG,0.78813617012152082,0.76420707136539445,0.81157478167660779,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,judged_coverage,0.85308441558441561,0.8269480519480521,0.87808441558441575,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,persistent_inclusion,0.29487023783254618,0.25699707717349618,0.33455531628225149,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,VI,0.13701473263546982,0.11907328644755615,0.15616844626798757,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,False,1,1,available,observed seven catalog schedules,True,persistent_omission,0.56811502953198401,0.52791919629372375,0.60639575260972456,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,Recall,0.36017816501161926,0.3223293189335586,0.3993332343841261,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,nDCG,0.69832815300592466,0.66762405715712869,0.72806720569034777,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,cNDCG,0.78608245786022113,0.76295713729697445,0.80905003618257609,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,judged_coverage,0.85303803339517636,0.82731852968460096,0.87785250463821896,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,persistent_inclusion,0.29487023783254618,0.25699707717349618,0.33455531628225149,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,VI,0.13701473263546982,0.11907328644755615,0.15616844626798757,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,20,False,1,1,available,observed seven catalog schedules,True,persistent_omission,0.56811502953198401,0.52791919629372375,0.60639575260972456,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,Recall,0.65322479638114161,0.61467068714521289,0.69115874751129358,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,nDCG,0.68782569672297889,0.65924149188800507,0.71521376613945187,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,cNDCG,0.85095240928216176,0.83384669110387588,0.86747493980333334,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,judged_coverage,0.70636363636363642,0.67782386363636382,0.73431899350649343,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,persistent_inclusion,0.60158651150837561,0.56026401919660362,0.6420139498520242,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,VI,0.11079606182509504,0.095586646129403499,0.12704006073191629,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,100,False,1,1,available,observed seven catalog schedules,True,persistent_omission,0.28761742666652945,0.25336634963829857,0.32269456411204417,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,Recall,0.65547617362704702,0.61779113938813557,0.69254525060833438,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,nDCG,0.68539617961872223,0.65718972605562254,0.71257694307894659,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,cNDCG,0.84917963447545408,0.83214194494488658,0.86562528913990844,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,judged_coverage,0.70567717996289414,0.67742439703154,0.73386363636363627,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,persistent_inclusion,0.60158651150837561,0.56026401919660362,0.6420139498520242,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,VI,0.11079606182509504,0.095586646129403499,0.12704006073191629,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,seven_mean,100,False,1,1,available,observed seven catalog schedules,True,persistent_omission,0.28761742666652945,0.25336634963829857,0.32269456411204417,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,Recall,0.36595128529214821,0.32782070456157703,0.40554645161522029,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,nDCG,0.69884190057482987,0.6681701243638708,0.7288037507108186,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,cNDCG,0.78568690048426193,0.76196957349190941,0.80897096190555751,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,judged_coverage,0.85324675324675314,0.82743506493506502,0.87840909090909092,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,persistent_inclusion,0.36595128529214821,0.32782070456157703,0.40554645161522029,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,20,True,1,1,available,structural: single deterministic fixed index,True,persistent_omission,0.63404871470785173,0.59445354838477971,0.67217929543842303,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,100,True,1,1,available,structural: single deterministic fixed index,True,Recall,0.65709994517276671,0.6193556986763451,0.69476362503681643,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,100,True,1,1,available,structural: single deterministic fixed index,True,nDCG,0.68513883285156207,0.65712694302084573,0.71219817628669468,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,100,True,1,1,available,structural: single deterministic fixed index,True,cNDCG,0.84863055985931879,0.83165796538645098,0.86508891559946077,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,100,True,1,1,available,structural: single deterministic fixed index,True,judged_coverage,0.7052272727272727,0.67668831168831156,0.73302029220779208,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,canonical_hybrid_field_priority_type,fixed,100,True,1,1,available,structural: single deterministic fixed index,True,persistent_inclusion,0.65709994517276671,0.6193556986763451,0.69476362503681643,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
