dataset,model,support,family,K,profile,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.19834244414714314,0.14545375455214699,0.25408022266501251,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.20833871197369452,0.16833209065517782,0.25284569707218224,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.59331884387916234,0.53404556851758911,0.65108612532980581,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.43637918510452256,0.37251919987269205,0.49969813224088161,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.23297487642987452,0.19504946676530116,0.27399269755527605,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.33064593846560286,0.27437956411972175,0.39072062637415961,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,16,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.18436389721132532,0.13310325073148915,0.23870711108644257,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,16,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.24490143435871822,0.2037769943806973,0.28957707007782441,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,16,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.57073466842995635,0.5125443684500014,0.62765002971570039,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,16,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.40918629593660322,0.34619514407625579,0.47203704363953619,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,16,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.29236749603457657,0.24798676441351192,0.33865005139341081,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,16,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.29844620802882016,0.24488429925012767,0.35604823586612294,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,32,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.17192726260926786,0.12206658300579497,0.22501850283874655,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,32,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.28015520013296669,0.23576372067641235,0.32812001458557255,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,32,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.54791753725776537,0.48937019790483355,0.60459589549634662,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,32,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.38685950009318382,0.32373952131050043,0.44961036125515075,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,32,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.34231110981423346,0.29561442514393016,0.3903478345392537,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,32,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.27082939009258272,0.2216033140463379,0.32438199155706759,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.16315701537741012,0.08847103212029199,0.25089042201706679,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.11364938905699773,0.058468142540832761,0.17630884086726475,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.72319359556559215,0.62942770831751094,0.81228110383278784,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.4504163168279301,0.34014834559456986,0.56100654410901829,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.18358338719823272,0.1072801435423897,0.26870452633869751,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.36600029597383715,0.2627813808693743,0.47304771906334397,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,16,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.15799065396104869,0.082602264861722091,0.24668732971158952,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,16,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.15348552665128753,0.088086230898730883,0.22597304240646629,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,16,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.68852381938766383,0.58965103787445394,0.78003953553769412,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,16,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.41967844057374953,0.31087274065150561,0.53133955526037535,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,16,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.25796454147069137,0.16789709401024117,0.35269172103044732,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,16,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.32235701795555921,0.22250125048430255,0.42642573413838786,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,32,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.1500787163616111,0.075820584447229181,0.23743135359706077,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,32,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.16613202367278454,0.098993632424338965,0.23905157518608605,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,32,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_omission,0.68378925996560425,0.58578051063427206,0.77527666922198168,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,32,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,persistent_inclusion,0.39429179018709909,0.28731139173591258,0.50555039536142932,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,32,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed,VI,0.31318073731188717,0.21476869884210414,0.41599571124948337,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
