method,mode,pairs,queries,Recall@20,VI@20,Robust@20,Never@20,C0_Recall@20,C1_Recall@20,C2s1_Recall@20,C2s2_Recall@20,C2s3_Recall@20,C2s4_Recall@20,C2s5_Recall@20,Recall@100,VI@100,Robust@100,Never@100,C0_Recall@100,C1_Recall@100,C2s1_Recall@100,C2s2_Recall@100,C2s3_Recall@100,C2s4_Recall@100,C2s5_Recall@100,rank_range,worst_schedule@20,schedule_spread@20,worst_schedule@100,schedule_spread@100
Original,catalog,21299,308,0.36037983988205796,0.11931807342696618,0.3047234009976918,0.575958525575342,0.3610458935456568,0.36198517248888673,0.3619616716772757,0.3612378317711461,0.36248760975207694,0.3564179504051075,0.35752274953425595,0.6362025687113682,0.12304874805427349,0.5718027461163259,0.3051485058294007,0.6317092063148236,0.6300003161905716,0.641666463919265,0.6366248480618246,0.6325584219093809,0.6445275685169447,0.6363311560667662,281.96112534455204,0.3350841592729357,0.05220448879548503,0.6027423626675699,0.06256273216055935
Canonical,catalog,21299,308,0.36072423810213533,0.0,0.36072423810213533,0.6392757618978646,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.6323688141357365,0.0,0.6323688141357365,0.3676311858642634,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.0,0.36072423810213533,0.0,0.6323688141357365,0.0
Set-Mean,catalog,21299,308,0.3530097183020647,0.0,0.3530097183020647,0.6469902816979354,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.6182003875366853,0.0,0.6182003875366853,0.3817996124633148,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.0,0.3530097183020647,0.0,0.6182003875366853,0.0
Set-Attention_s42,catalog,21299,308,0.3524271488324723,0.0,0.3524271488324723,0.6475728511675278,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.6217291536896218,0.0,0.6217291536896218,0.3782708463103782,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.0,0.3524271488324723,0.0,0.6217291536896218,0.0
Original,catalog_fully_fitting,6797,239,0.2465511962557684,0.0838461901045228,0.2119740808266966,0.7041797290687806,0.24722307589324088,0.2557029976048333,0.243430550637447,0.24651645829187496,0.2451418903157249,0.24387311569660253,0.24397028535065513,0.5651602987194306,0.1121575065915725,0.5051095477047355,0.382732945703692,0.5449472001781215,0.5758095054695096,0.5661375585283468,0.5715851059073542,0.5594885255838266,0.5679602589953614,0.5701939363734942,270.8439347018943,0.22951233932686627,0.04379129275509341,0.5233832415117742,0.0770156554381761
Canonical,catalog_fully_fitting,6797,239,0.24833297749811575,0.0,0.24833297749811575,0.7516670225018842,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.5639453194358232,0.0,0.5639453194358232,0.43605468056417696,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.0,0.24833297749811575,0.0,0.5639453194358232,0.0
Set-Mean,catalog_fully_fitting,6797,239,0.3005747696779471,0.0,0.3005747696779471,0.6994252303220528,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.5975709096627618,0.0,0.5975709096627618,0.4024290903372381,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.0,0.3005747696779471,0.0,0.5975709096627618,0.0
Set-Attention_s42,catalog_fully_fitting,6797,239,0.29782854990205093,0.0,0.29782854990205093,0.7021714500979491,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.603424498031976,0.0,0.603424498031976,0.39657550196802405,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.0,0.29782854990205093,0.0,0.603424498031976,0.0
Original,target,21299,308,0.3563693096715543,0.10831734636745576,0.30176463163936296,0.5899180219931813,0.3610458935456568,0.3539928768779781,0.3571559412372111,0.3560155037985534,0.35702450317988443,0.3524831744549062,0.35686727460669,0.6320576790684961,0.12111896840638421,0.569533452110206,0.30934757948340985,0.6317092063148236,0.6249271765456447,0.635520469367418,0.631446822935543,0.6319799010066864,0.6395792402646607,0.6292409370446955,290.87840048798296,0.3220803054475771,0.0638500534333147,0.5938997382544068,0.07256621684020212
Canonical,target,21299,308,0.36072423810213533,0.0,0.36072423810213533,0.6392757618978646,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.36072423810213533,0.6323688141357365,0.0,0.6323688141357365,0.3676311858642634,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.6323688141357365,0.0,0.36072423810213533,0.0,0.6323688141357365,0.0
Set-Mean,target,21299,308,0.3530097183020647,0.0,0.3530097183020647,0.6469902816979354,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.6182003875366853,0.0,0.6182003875366853,0.3817996124633148,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.0,0.3530097183020647,0.0,0.6182003875366853,0.0
Set-Attention_s42,target,21299,308,0.3524271488324723,0.0,0.3524271488324723,0.6475728511675278,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.3524271488324723,0.6217291536896218,0.0,0.6217291536896218,0.3782708463103782,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.6217291536896218,0.0,0.3524271488324723,0.0,0.6217291536896218,0.0
Original,target_fully_fitting,6797,239,0.2435209086824832,0.07160400288974102,0.21332588997639365,0.7150701071338653,0.24722307589324088,0.2473807651892296,0.2398435756662444,0.24373901605586537,0.242431064804863,0.24182439812567996,0.24220446504225918,0.5574451331849614,0.10882648151908228,0.50176695326735,0.38940656521356765,0.5449472001781215,0.5625101124239841,0.5585402220219567,0.5582198874216872,0.5530835592927168,0.5596550873218544,0.5651598636344092,265.91994531585925,0.2239172062991019,0.0436855389714452,0.5175734820153338,0.07793025306753638
Canonical,target_fully_fitting,6797,239,0.24833297749811575,0.0,0.24833297749811575,0.7516670225018842,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.5639453194358232,0.0,0.5639453194358232,0.43605468056417696,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.0,0.24833297749811575,0.0,0.5639453194358232,0.0
Set-Mean,target_fully_fitting,6797,239,0.3005747696779471,0.0,0.3005747696779471,0.6994252303220528,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.5975709096627618,0.0,0.5975709096627618,0.4024290903372381,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.0,0.3005747696779471,0.0,0.5975709096627618,0.0
Set-Attention_s42,target_fully_fitting,6797,239,0.29782854990205093,0.0,0.29782854990205093,0.7021714500979491,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.29782854990205093,0.603424498031976,0.0,0.603424498031976,0.39657550196802405,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.603424498031976,0.0,0.29782854990205093,0.0,0.603424498031976,0.0
