dataset,model,query_id,product_id,schedule,historical_rank,harmonized_rank,decision20_changed,decision100_changed
wands,minilm,1,16679,C1,815,817,False,False
wands,minilm,1,16679,C2s1,447,452,False,False
wands,minilm,1,16679,C2s2,559,557,False,False
wands,minilm,1,16679,C2s5,683,685,False,False
wands,minilm,1,20054,C0,292,293,False,False
wands,minilm,1,20054,C2s1,408,411,False,False
wands,minilm,1,20054,C2s2,397,398,False,False
wands,minilm,1,20054,C2s3,465,466,False,False
wands,minilm,1,20054,C2s5,378,379,False,False
wands,minilm,1,25973,C0,975,973,False,False
wands,minilm,1,25973,C2s1,999,997,False,False
wands,minilm,1,25973,C2s5,677,679,False,False
wands,minilm,1,29449,C2s1,427,424,False,False
wands,minilm,1,29449,C2s5,219,218,False,False
wands,minilm,1,33698,C0,1137,1140,False,False
wands,minilm,1,33698,C1,1137,1140,False,False
wands,minilm,1,33698,C2s1,1137,1140,False,False
wands,minilm,1,33698,C2s2,1137,1140,False,False
wands,minilm,1,33698,C2s3,1137,1140,False,False
wands,minilm,1,33698,C2s4,1137,1140,False,False
wands,minilm,1,33698,C2s5,1137,1140,False,False
wands,minilm,1,37304,C1,377,372,False,False
wands,minilm,1,37304,C2s1,1124,1122,False,False
wands,minilm,1,37304,C2s3,927,928,False,False
wands,minilm,1,37304,C2s4,1032,1031,False,False
wands,minilm,1,37304,C2s5,589,590,False,False
wands,minilm,1,5235,C0,1161,1162,False,False
wands,minilm,1,5235,C2s1,1269,1268,False,False
wands,minilm,1,5235,C2s3,1010,1009,False,False
wands,minilm,1,9929,C0,307,306,False,False
wands,minilm,1,9929,C1,944,945,False,False
wands,minilm,1,9929,C2s5,347,348,False,False
wands,minilm,2,10306,C2s1,14,15,False,False
wands,minilm,2,10437,C0,242,240,False,False
wands,minilm,2,10437,C2s1,483,484,False,False
wands,minilm,2,10437,C2s4,250,249,False,False
wands,minilm,2,10437,C2s5,358,357,False,False
wands,minilm,2,10539,C2s1,98,99,False,False
wands,minilm,2,10550,C1,106,105,False,False
wands,minilm,2,10550,C2s1,84,83,False,False
wands,minilm,2,11033,C2s5,94,95,False,False
wands,minilm,2,11840,C2s4,146,145,False,False
wands,minilm,2,11878,C1,28,27,False,False
wands,minilm,2,12020,C0,14898,14917,False,False
wands,minilm,2,12020,C1,14898,14917,False,False
wands,minilm,2,12020,C2s1,14898,14917,False,False
wands,minilm,2,12020,C2s2,14898,14917,False,False
wands,minilm,2,12020,C2s3,14898,14917,False,False
wands,minilm,2,12020,C2s4,14898,14917,False,False
wands,minilm,2,12020,C2s5,14898,14917,False,False
wands,minilm,2,12165,C2s4,120,121,False,False
wands,minilm,2,12969,C0,300,305,False,False
wands,minilm,2,12969,C1,672,669,False,False
wands,minilm,2,12969,C2s1,384,381,False,False
wands,minilm,2,12969,C2s5,392,393,False,False
wands,minilm,2,14034,C0,82,81,False,False
wands,minilm,2,14678,C2s4,131,132,False,False
wands,minilm,2,15617,C2s4,126,127,False,False
wands,minilm,2,16226,C2s4,94,95,False,False
wands,minilm,2,16226,C2s5,92,93,False,False
wands,minilm,2,16227,C2s5,104,105,False,False
wands,minilm,2,17275,C2s4,39,38,False,False
wands,minilm,2,18868,C2s4,213,217,False,False
wands,minilm,2,20665,C2s2,84,85,False,False
wands,minilm,2,20957,C1,414,413,False,False
wands,minilm,2,20957,C2s4,399,403,False,False
wands,minilm,2,20971,C0,345,350,False,False
wands,minilm,2,20971,C1,2088,2082,False,False
wands,minilm,2,20971,C2s1,2331,2327,False,False
wands,minilm,2,20971,C2s2,668,669,False,False
wands,minilm,2,20971,C2s5,2252,2261,False,False
wands,minilm,2,21043,C1,334,333,False,False
wands,minilm,2,21043,C2s1,279,281,False,False
wands,minilm,2,21043,C2s2,437,436,False,False
wands,minilm,2,21043,C2s4,243,244,False,False
wands,minilm,2,21045,C0,401,403,False,False
wands,minilm,2,21045,C1,2367,2393,False,False
wands,minilm,2,21045,C2s1,3112,3123,False,False
wands,minilm,2,21045,C2s2,4893,4927,False,False
wands,minilm,2,21045,C2s3,6280,6307,False,False
wands,minilm,2,21045,C2s4,1357,1359,False,False
wands,minilm,2,21045,C2s5,1817,1834,False,False
wands,minilm,2,21046,C0,14728,14812,False,False
wands,minilm,2,21046,C1,20257,20278,False,False
wands,minilm,2,21046,C2s1,24030,23996,False,False
wands,minilm,2,21046,C2s2,13325,13308,False,False
wands,minilm,2,21046,C2s3,30064,30083,False,False
wands,minilm,2,21046,C2s4,20999,20898,False,False
wands,minilm,2,21046,C2s5,18209,18159,False,False
wands,minilm,2,21048,C2s2,63,64,False,False
wands,minilm,2,21062,C1,216,217,False,False
wands,minilm,2,21062,C2s3,220,221,False,False
wands,minilm,2,21064,C2s1,220,219,False,False
wands,minilm,2,21073,C0,357,358,False,False
wands,minilm,2,21073,C1,1620,1639,False,False
wands,minilm,2,21073,C2s1,1478,1476,False,False
wands,minilm,2,21073,C2s2,1101,1096,False,False
wands,minilm,2,21073,C2s3,1348,1339,False,False
wands,minilm,2,21073,C2s5,2124,2107,False,False
wands,minilm,2,21083,C2s3,123,124,False,False
wands,minilm,2,24196,C2s3,42,43,False,False
wands,minilm,2,25320,C2s4,88,89,False,False
wands,minilm,2,26729,C2s1,202,201,False,False
wands,minilm,2,27508,C0,81,82,False,False
wands,minilm,2,27508,C2s5,50,49,False,False
wands,minilm,2,27511,C1,113,114,False,False
wands,minilm,2,27512,C2s3,78,79,False,False
wands,minilm,2,27513,C2s2,71,70,False,False
wands,minilm,2,27513,C2s4,43,42,False,False
wands,minilm,2,27516,C2s5,43,44,False,False
wands,minilm,2,28472,C2s3,82,83,False,False
wands,minilm,2,28482,C0,3430,3450,False,False
wands,minilm,2,28482,C1,3094,3097,False,False
wands,minilm,2,28482,C2s1,3455,3456,False,False
wands,minilm,2,28482,C2s2,4078,4052,False,False
wands,minilm,2,28482,C2s4,2179,2172,False,False
wands,minilm,2,28482,C2s5,2444,2445,False,False
wands,minilm,2,29146,C2s3,39,38,False,False
wands,minilm,2,29776,C2s2,67,68,False,False
wands,minilm,2,29777,C1,39,40,False,False
wands,minilm,2,30926,C2s4,76,75,False,False
wands,minilm,2,30926,C2s5,86,87,False,False
wands,minilm,2,32604,C2s3,25,26,False,False
wands,minilm,2,32873,C1,45,46,False,False
wands,minilm,2,32893,C0,512,513,False,False
wands,minilm,2,32893,C1,355,356,False,False
wands,minilm,2,32893,C2s1,325,326,False,False
wands,minilm,2,32893,C2s4,556,555,False,False
wands,minilm,2,32893,C2s5,273,274,False,False
wands,minilm,2,34735,C2s5,3,2,False,False
wands,minilm,2,34737,C2s3,24,23,False,False
wands,minilm,2,34948,C2s4,160,159,False,False
wands,minilm,2,36533,C2s3,30,31,False,False
wands,minilm,2,36628,C1,55,54,False,False
wands,minilm,2,36628,C2s3,53,52,False,False
wands,minilm,2,36672,C2s3,120,119,False,False
wands,minilm,2,37068,C2s2,30,31,False,False
wands,minilm,2,37068,C2s4,53,52,False,False
wands,minilm,2,3756,C0,28,27,False,False
wands,minilm,2,38581,C0,45,46,False,False
wands,minilm,2,38581,C2s1,64,63,False,False
wands,minilm,2,39494,C1,1492,1502,False,False
wands,minilm,2,39494,C2s3,2593,2601,False,False
wands,minilm,2,39494,C2s4,1761,1747,False,False
wands,minilm,2,39494,C2s5,1477,1474,False,False
wands,minilm,2,39495,C2s2,706,710,False,False
wands,minilm,2,39495,C2s3,249,250,False,False
wands,minilm,2,39495,C2s4,646,650,False,False
wands,minilm,2,39496,C2s1,93,94,False,False
wands,minilm,2,39496,C2s3,90,89,False,False
wands,minilm,2,39497,C0,165,166,False,False
wands,minilm,2,39497,C2s4,157,158,False,False
wands,minilm,2,39497,C2s5,259,260,False,False
wands,minilm,2,4202,C2s3,138,139,False,False
wands,minilm,2,42516,C2s2,137,138,False,False
wands,minilm,2,42528,C0,27,28,False,False
wands,minilm,2,42530,C2s5,93,94,False,False
wands,minilm,2,8093,C0,46,45,False,False
wands,minilm,2,9547,C1,16108,16098,False,False
