query_id,query,n_judged,n_exact,cNDCG@10,cNDCG@20,Recall@10,ExactHit@10,JudgedCoverage@10,Recall@20,ExactHit@20,JudgedCoverage@20,Recall@50,ExactHit@50,JudgedCoverage@50,MRR,ExplicitIrrelevant@10,Unjudged@10,Top20BoundaryTied
0,salon chair,3301,39,0.7585235179181541,0.7360913864057139,0.0026533996683250414,1.0,1.0,0.005638474295190713,1.0,1.0,0.011940298507462687,1.0,0.9,1.0,0.2,0.0,0.0
1,smart coffee table,1436,8,0.3649302102017378,0.5019686701365814,0.006346967559943582,0.0,0.9,0.013399153737658674,1.0,0.95,0.03173483779971791,1.0,0.9,1.0,0.0,0.09999999999999998,0.0
2,dinosaur,165,151,1.0,1.0,0.06329113924050633,1.0,1.0,0.12658227848101267,1.0,1.0,0.31645569620253167,1.0,1.0,1.0,0.0,0.0,0.0
3,turquoise pillows,997,55,0.8188458073987622,0.786466567028699,0.011658031088082901,1.0,1.0,0.023316062176165803,1.0,0.95,0.05181347150259067,1.0,0.84,1.0,0.1,0.0,0.0
4,chair and a half recliner,239,23,0.3965255762463672,0.37411554358535465,0.005263157894736842,0.0,0.1,0.021052631578947368,1.0,0.2,0.07894736842105263,1.0,0.3,0.2,0.0,0.9,0.0
5,sofa with ottoman,1344,179,0.8878984756873929,0.8347421621376221,0.0053475935828877,1.0,0.7,0.0106951871657754,1.0,0.7,0.029793735676088617,1.0,0.8,1.0,0.0,0.30000000000000004,0.0
6,acrylic clear chair,109,43,0.9216017310213247,0.9257309770864401,0.06060606060606061,1.0,0.7,0.10101010101010101,1.0,0.55,0.1717171717171717,1.0,0.36,0.5,0.1,0.30000000000000004,0.0
7,driftwood mirror,603,23,0.9537125187088151,0.9027591478314461,0.018691588785046728,1.0,1.0,0.037383177570093455,1.0,1.0,0.08971962616822429,1.0,1.0,1.0,0.0,0.0,0.0
8,home sweet home sign,105,25,0.7680587924239461,0.7079198755788148,0.0425531914893617,1.0,0.4,0.09574468085106383,1.0,0.45,0.24468085106382978,1.0,0.46,1.0,0.0,0.6,0.0
9,coffee table fire pit,1516,74,1.0,1.0,0.006622516556291391,1.0,1.0,0.013245033112582781,1.0,1.0,0.031125827814569535,1.0,0.94,1.0,0.0,0.0,0.0
