query_id,query,n_judged,n_exact,cNDCG@10,cNDCG@20,Recall@10,ExactHit@10,JudgedCoverage@10,Recall@20,ExactHit@20,JudgedCoverage@20,Recall@50,ExactHit@50,JudgedCoverage@50,MRR,ExplicitIrrelevant@10,Unjudged@10,Top20BoundaryTied
0,salon chair,3301,39,0.7663491917568948,0.7261869213227856,0.002321724709784411,1.0,0.9,0.005306799336650083,1.0,0.9,0.012603648424543947,1.0,0.82,1.0,0.2,0.09999999999999998,0.0
1,smart coffee table,1436,8,0.3649302102017378,0.47100925925184517,0.006346967559943582,0.0,0.9,0.012693935119887164,0.0,0.9,0.03314527503526093,0.0,0.94,1.0,0.0,0.09999999999999998,0.0
2,dinosaur,165,151,1.0,1.0,0.06329113924050633,1.0,1.0,0.12658227848101267,1.0,1.0,0.31645569620253167,1.0,1.0,1.0,0.0,0.0,0.0
3,turquoise pillows,997,55,0.4853645299957567,0.47076439883286747,0.010362694300518135,1.0,1.0,0.022020725388601035,1.0,1.0,0.06088082901554404,1.0,1.0,1.0,0.2,0.0,0.0
4,chair and a half recliner,239,23,0.38559884598578353,0.4634001443075306,0.021052631578947368,0.0,0.4,0.031578947368421054,1.0,0.3,0.07894736842105263,1.0,0.3,0.5,0.0,0.6,0.0
5,sofa with ottoman,1344,179,0.6844085530609253,0.6781602925347842,0.007639419404125287,1.0,1.0,0.014514896867838044,1.0,0.95,0.03437738731856379,1.0,0.9,1.0,0.0,0.0,0.0
6,acrylic clear chair,109,43,0.9008240627729516,0.8150281169894664,0.0,0.0,0.0,0.010101010101010102,1.0,0.05,0.030303030303030304,1.0,0.06,0.07142857142857142,0.0,1.0,0.0
7,driftwood mirror,603,23,0.8485585501205013,0.6907140322619302,0.018691588785046728,1.0,1.0,0.037383177570093455,1.0,1.0,0.09345794392523364,1.0,1.0,1.0,0.0,0.0,0.0
8,home sweet home sign,105,25,0.6673155115661744,0.6395061951103747,0.010638297872340425,1.0,0.1,0.031914893617021274,1.0,0.15,0.2553191489361702,1.0,0.48,0.2,0.0,0.9,0.0
9,coffee table fire pit,1516,74,1.0,0.9744102412230782,0.006622516556291391,1.0,1.0,0.013245033112582781,1.0,1.0,0.03245033112582781,1.0,0.98,1.0,0.0,0.0,0.0
10,king poster bed,177,21,0.7996492687209279,0.7045938134407573,0.045454545454545456,1.0,0.8,0.09090909090909091,1.0,0.8,0.16477272727272727,1.0,0.58,1.0,0.0,0.19999999999999996,0.0
11,ombre rug,1428,65,0.9368077570869662,0.8475818577110046,0.007042253521126761,1.0,1.0,0.014084507042253521,1.0,1.0,0.035211267605633804,1.0,1.0,1.0,0.0,0.0,0.0
12,large spoon and fork wall decor,225,27,0.9510907186004265,0.7912162646874482,0.05113636363636364,1.0,0.9,0.10227272727272728,1.0,0.95,0.20454545454545456,1.0,0.74,1.0,0.0,0.09999999999999998,0.0
13,outdoor privacy wall,122,46,0.8774322487183986,0.8624752627108838,0.08771929824561403,1.0,0.5,0.12280701754385964,1.0,0.4,0.3157894736842105,1.0,0.4,1.0,0.0,0.5,0.0
14,beds that have leds,2692,20,0.5994606803625334,0.4815089238670131,0.004455760661998727,1.0,0.8,0.008911521323997454,1.0,0.85,0.0241884150222788,1.0,0.86,0.5,0.1,0.19999999999999996,0.0
15,black 5 drawer dresser by guilford,613,2,0.5821032065260975,0.6833800218492042,0.011705685618729096,0.0,0.7,0.02508361204013378,0.0,0.75,0.06856187290969899,1.0,0.82,1.0,0.0,0.30000000000000004,0.0
16,blk 18x18 seat cushions,493,4,0.4700182601018591,0.6182352989112888,0.007518796992481203,0.0,0.2,0.011278195488721804,0.0,0.15,0.03383458646616541,0.0,0.18,0.5,0.0,0.8,0.0
17,closet storage with zipper,103,21,0.806493476686957,0.7338311737499169,0.05825242718446602,1.0,0.6,0.10679611650485436,1.0,0.55,0.2621359223300971,1.0,0.54,1.0,0.0,0.4,0.0
18,chrome bathroom 4 light vanity light,1053,34,0.5270830899677266,0.5510096078666589,0.032846715328467155,1.0,0.9,0.06569343065693431,1.0,0.9,0.1678832116788321,1.0,0.92,1.0,0.0,0.09999999999999998,0.0
19,gurney  slade 56,14,0,0.8572048559638626,0.9764049016523146,0.1,,0.1,0.2,,0.1,0.2,,0.04,0.5,0.0,0.9,0.0
20,foutains with brick look,94,12,0.18754917361656334,0.33685733908676796,0.0,0.0,0.1,0.022222222222222223,0.0,0.2,0.03333333333333333,0.0,0.12,0.058823529411764705,0.1,0.9,0.0
