query_id,query,n_judged,n_exact,cNDCG@10,cNDCG@20,Recall@10,ExactHit@10,JudgedCoverage@10,Recall@20,ExactHit@20,JudgedCoverage@20,Recall@50,ExactHit@50,JudgedCoverage@50,MRR,ExplicitIrrelevant@10,Unjudged@10,Top20BoundaryTied
0,salon chair,3301,39,0.7788065869851873,0.6716724609507991,0.002321724709784411,1.0,1.0,0.004311774461028192,1.0,1.0,0.011608623548922056,1.0,1.0,1.0,0.3,0.0,0.0
1,smart coffee table,1436,8,0.46628041186554436,0.5554304033754583,0.004231311706629055,1.0,0.6,0.004231311706629055,1.0,0.3,0.004231311706629055,1.0,0.12,1.0,0.0,0.4,0.0
2,dinosaur,165,151,1.0,1.0,0.06329113924050633,1.0,1.0,0.12658227848101267,1.0,1.0,0.31645569620253167,1.0,1.0,1.0,0.0,0.0,0.0
3,turquoise pillows,997,55,0.6524818946951783,0.6925857265597178,0.0038860103626943004,1.0,0.4,0.012953367875647668,1.0,0.55,0.03626943005181347,1.0,0.6,1.0,0.1,0.6,1.0
4,chair and a half recliner,239,23,0.48006117753205346,0.42802669308910507,0.04736842105263158,1.0,0.9,0.06842105263157895,1.0,0.65,0.11578947368421053,1.0,0.46,1.0,0.0,0.09999999999999998,0.0
5,sofa with ottoman,1344,179,0.8379347378101539,0.8705372045521107,0.006875477463712758,1.0,0.9,0.013750954927425516,1.0,0.9,0.029029793735676088,1.0,0.76,1.0,0.0,0.09999999999999998,0.0
6,acrylic clear chair,109,43,1.0,0.9676617088516802,0.08080808080808081,1.0,0.8,0.16161616161616163,1.0,0.8,0.1919191919191919,1.0,0.46,1.0,0.0,0.19999999999999996,0.0
7,driftwood mirror,603,23,0.8590331472570637,0.8610516905551245,0.018691588785046728,1.0,1.0,0.03551401869158879,1.0,0.95,0.052336448598130844,1.0,0.64,1.0,0.0,0.0,0.0
8,home sweet home sign,105,25,0.9048032373092417,0.8450068918935439,0.10638297872340426,1.0,1.0,0.19148936170212766,1.0,0.9,0.2553191489361702,1.0,0.5,1.0,0.0,0.0,0.0
9,coffee table fire pit,1516,74,1.0,1.0,0.005960264900662252,1.0,0.9,0.011920529801324504,1.0,0.9,0.030463576158940398,1.0,0.92,1.0,0.0,0.09999999999999998,0.0
10,king poster bed,177,21,0.9575861412006988,0.9045394333943592,0.056818181818181816,1.0,1.0,0.10795454545454546,1.0,0.95,0.2556818181818182,1.0,0.9,1.0,0.0,0.0,0.0
11,ombre rug,1428,65,1.0,0.9780900196216153,0.007042253521126761,1.0,1.0,0.014084507042253521,1.0,1.0,0.035211267605633804,1.0,1.0,1.0,0.0,0.0,0.0
12,large spoon and fork wall decor,225,27,1.0,0.9206870786453859,0.056818181818181816,1.0,1.0,0.10227272727272728,1.0,0.95,0.16477272727272727,1.0,0.64,1.0,0.0,0.0,0.0
13,outdoor privacy wall,122,46,0.8043628744017064,0.8473281422884277,0.12280701754385964,1.0,0.7,0.2807017543859649,1.0,0.8,0.7894736842105263,1.0,0.9,1.0,0.0,0.30000000000000004,0.0
14,beds that have leds,2692,20,0.07336392209936006,0.0832553500815411,0.0006365372374283895,0.0,0.4,0.0006365372374283895,0.0,0.55,0.008274984086569064,0.0,0.74,1.0,0.3,0.6,0.0
15,black 5 drawer dresser by guilford,613,2,0.6797096927697376,0.7573316865292233,0.015050167224080268,1.0,1.0,0.03177257525083612,1.0,1.0,0.07859531772575251,1.0,0.96,1.0,0.1,0.0,0.0
16,blk 18x18 seat cushions,493,4,0.704001177685908,0.7647586973728638,0.015037593984962405,1.0,0.4,0.015037593984962405,1.0,0.2,0.06390977443609022,1.0,0.34,1.0,0.0,0.6,0.0
17,closet storage with zipper,103,21,0.7027621406415305,0.5717506231505438,0.05825242718446602,1.0,0.6,0.07766990291262135,1.0,0.4,0.23300970873786409,1.0,0.48,1.0,0.0,0.4,0.0
18,chrome bathroom 4 light vanity light,1053,34,0.695335283321509,0.7121245108142756,0.029197080291970802,1.0,0.8,0.06569343065693431,1.0,0.9,0.17153284671532848,1.0,0.94,1.0,0.0,0.19999999999999996,0.0
19,gurney  slade 56,14,0,0.9363792118010483,0.9941862118847538,0.6,,0.6,0.6,,0.3,0.7,,0.14,0.5,0.0,0.4,0.0
20,foutains with brick look,94,12,0.2599694112339733,0.3651240246337084,0.022222222222222223,0.0,0.3,0.07777777777777778,0.0,0.4,0.12222222222222222,0.0,0.26,0.14285714285714285,0.1,0.7,0.0
21,living curtains pearl,127,1,1.0,1.0,0.047244094488188976,1.0,0.6,0.047244094488188976,1.0,0.3,0.047244094488188976,1.0,0.12,1.0,0.0,0.4,0.0
22,light and navy blue decorative pillow,251,22,0.6473574366416849,0.610319146206468,0.03571428571428571,1.0,0.7,0.07142857142857142,1.0,0.7,0.1377551020408163,1.0,0.54,1.0,0.0,0.30000000000000004,0.0
23,stoneford end tables white and wood,1266,0,1.0,1.0,0.008143322475570033,,1.0,0.014657980456026058,,0.9,0.03908794788273615,,0.96,1.0,0.0,0.0,0.0
24,wood coffee table set by storage,2559,84,0.5726361401144231,0.5109383330239131,0.004287756074321105,1.0,0.9,0.006669842782277275,1.0,0.7,0.01810385898046689,1.0,0.76,1.0,0.0,0.09999999999999998,0.0
25,sunflower,242,227,1.0,1.0,0.04329004329004329,1.0,1.0,0.08658008658008658,1.0,1.0,0.21212121212121213,1.0,0.98,1.0,0.0,0.0,0.0
26,leather chairs,3746,876,1.0,0.975128833089037,0.0030422878004259203,1.0,1.0,0.0060845756008518406,1.0,1.0,0.014298752662001825,1.0,0.94,1.0,0.0,0.0,0.0
27,outdoor welcome rug,344,100,0.7367599437581304,0.8052422959837756,0.02631578947368421,1.0,0.9,0.03216374269005848,1.0,0.55,0.07017543859649122,1.0,0.48,1.0,0.0,0.09999999999999998,0.0
28,rooster decor,725,175,0.955830517697074,0.9714944583233123,0.03333333333333333,1.0,1.0,0.06666666666666667,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,0.0
29,bathroom vanity knobs,802,138,0.29345568839744024,0.26125301740849627,0.014492753623188406,1.0,0.9,0.028985507246376812,1.0,0.95,0.11594202898550725,1.0,0.94,1.0,0.7,0.09999999999999998,0.0
30,3 1/2 inch drawer pull,549,88,0.484774783212832,0.5739342421956154,0.01764705882352941,1.0,0.6,0.04411764705882353,1.0,0.75,0.1264705882352941,1.0,0.86,1.0,0.0,0.4,0.0
31,burnt orange curtains,168,1,0.8259896754927477,0.8740472256188766,0.017857142857142856,0.0,0.3,0.02976190476190476,1.0,0.25,0.1130952380952381,1.0,0.38,1.0,0.0,0.7,0.0
32,dark gray dresser,211,3,0.9673399266021623,0.9745547361871417,0.03296703296703297,1.0,0.6,0.06593406593406594,1.0,0.6,0.11538461538461539,1.0,0.42,1.0,0.0,0.4,0.0
33,non slip shower floor tile,669,125,0.6862959220248255,0.6518145067295966,0.02077922077922078,1.0,0.8,0.04155844155844156,1.0,0.8,0.10649350649350649,1.0,0.82,1.0,0.0,0.19999999999999996,0.0
34,bar stool with backrest,740,374,0.8585157560180571,0.8148089613476095,0.012244897959183673,1.0,0.9,0.02585034013605442,1.0,0.95,0.055782312925170066,1.0,0.82,0.5,0.0,0.09999999999999998,0.0
35,enclosed shoe rack,174,51,0.37574719213263447,0.3607058529245928,0.05813953488372093,1.0,1.0,0.11627906976744186,1.0,1.0,0.29069767441860467,1.0,1.0,1.0,0.0,0.0,0.0
36,laundry basket with wheels,157,37,0.7398216272283393,0.6461285314322441,0.03205128205128205,1.0,0.5,0.07692307692307693,1.0,0.65,0.2564102564102564,1.0,0.82,1.0,0.0,0.5,0.0
37,bar stool 24 inches height,875,110,0.4264120970358327,0.44034950175829257,0.00850546780072904,1.0,0.7,0.020656136087484813,1.0,0.85,0.05710814094775213,1.0,0.94,1.0,0.0,0.30000000000000004,0.0
38,calvin patio chair,255,1,0.9539959859595428,0.9123480741539846,0.02830188679245283,1.0,0.6,0.05188679245283019,1.0,0.6,0.10377358490566038,1.0,0.52,1.0,0.0,0.4,0.0
39,door jewelry organizer,149,31,0.6516696021387126,0.5894287370804623,0.06040268456375839,1.0,0.9,0.12751677852348994,1.0,0.95,0.3288590604026846,1.0,0.98,1.0,0.0,0.09999999999999998,0.0
40,elegant executive chair,166,40,0.7516714220411039,0.6260237245731226,0.054878048780487805,1.0,0.9,0.10975609756097561,1.0,0.9,0.2926829268292683,1.0,0.96,1.0,0.0,0.09999999999999998,0.0
41,closet pull out valet rod,143,19,0.5662182253913374,0.6445125199845411,0.1,1.0,1.0,0.225,1.0,1.0,0.4375,1.0,0.94,1.0,0.2,0.0,0.0
42,toddler couch fold out,149,3,0.6952183761297667,0.7475795542522607,0.10666666666666667,1.0,0.8,0.17333333333333334,1.0,0.65,0.22666666666666666,1.0,0.4,1.0,0.0,0.19999999999999996,0.0
43,solid teak end table,1231,22,1.0,0.9316010174962649,0.009514747859181731,1.0,1.0,0.017126546146527116,1.0,0.9,0.0390104662226451,1.0,0.84,1.0,0.0,0.0,0.0
