query_id,query,n_judged,n_exact,cNDCG@10,cNDCG@20,Recall@10,ExactHit@10,JudgedCoverage@10,Recall@20,ExactHit@20,JudgedCoverage@20,Recall@50,ExactHit@50,JudgedCoverage@50,MRR,ExplicitIrrelevant@10,Unjudged@10,Top20BoundaryTied
0,salon chair,3301,39,0.9134166588977729,0.8863202679004962,0.003316749585406302,1.0,1.0,0.006301824212271974,1.0,1.0,0.013266998341625208,1.0,0.96,1.0,0.0,0.0,0.0
1,smart coffee table,1436,8,0.3649302102017378,0.5037445654553807,0.007052186177715092,0.0,1.0,0.013399153737658674,1.0,0.95,0.03244005641748942,1.0,0.92,1.0,0.0,0.0,0.0
2,dinosaur,165,151,1.0,1.0,0.06329113924050633,1.0,1.0,0.12658227848101267,1.0,1.0,0.31645569620253167,1.0,1.0,1.0,0.0,0.0,0.0
3,turquoise pillows,997,55,0.9510907186004265,0.8139609958071478,0.012953367875647668,1.0,1.0,0.02461139896373057,1.0,1.0,0.05181347150259067,1.0,0.86,1.0,0.0,0.0,0.0
4,chair and a half recliner,239,23,0.48006117753205346,0.44993667346748967,0.010526315789473684,1.0,0.2,0.021052631578947368,1.0,0.2,0.08947368421052632,1.0,0.34,1.0,0.0,0.8,0.0
5,sofa with ottoman,1344,179,0.9477344873475497,0.8956794768128695,0.006111535523300229,1.0,0.8,0.012987012987012988,1.0,0.85,0.03208556149732621,1.0,0.84,0.5,0.0,0.19999999999999996,0.0
6,acrylic clear chair,109,43,1.0,0.9197895220399404,0.09090909090909091,1.0,0.9,0.15151515151515152,1.0,0.75,0.21212121212121213,1.0,0.44,1.0,0.0,0.09999999999999998,0.0
7,driftwood mirror,603,23,0.9053206285482486,0.8722614021491524,0.018691588785046728,1.0,1.0,0.037383177570093455,1.0,1.0,0.09158878504672897,1.0,1.0,1.0,0.0,0.0,0.0
8,home sweet home sign,105,25,0.8481064169964802,0.7124972468919143,0.07446808510638298,1.0,0.7,0.09574468085106383,1.0,0.45,0.2765957446808511,1.0,0.52,1.0,0.0,0.30000000000000004,0.0
9,coffee table fire pit,1516,74,1.0,1.0,0.006622516556291391,1.0,1.0,0.013245033112582781,1.0,1.0,0.031788079470198675,1.0,0.96,1.0,0.0,0.0,0.0
10,king poster bed,177,21,0.955830517697074,0.8512460788179873,0.056818181818181816,1.0,1.0,0.11363636363636363,1.0,1.0,0.26136363636363635,1.0,0.92,1.0,0.0,0.0,0.0
11,ombre rug,1428,65,0.9477344873475497,0.9662695446835886,0.007042253521126761,1.0,1.0,0.014084507042253521,1.0,1.0,0.035211267605633804,1.0,1.0,1.0,0.0,0.0,0.0
12,large spoon and fork wall decor,225,27,0.955830517697074,0.8459246962131899,0.056818181818181816,1.0,1.0,0.10227272727272728,1.0,0.95,0.17613636363636365,1.0,0.68,1.0,0.0,0.0,0.0
13,outdoor privacy wall,122,46,0.9368077570869662,0.9369261288248365,0.14035087719298245,1.0,0.8,0.3157894736842105,1.0,0.9,0.5789473684210527,1.0,0.7,1.0,0.0,0.19999999999999996,0.0
14,beds that have leds,2692,20,0.4032683563902403,0.3775677805963978,0.004455760661998727,1.0,0.9,0.008274984086569064,1.0,0.8,0.01782304264799491,1.0,0.76,1.0,0.2,0.09999999999999998,0.0
15,black 5 drawer dresser by guilford,613,2,0.6675139551208341,0.7480915721080779,0.016722408026755852,1.0,1.0,0.033444816053511704,1.0,1.0,0.07859531772575251,1.0,0.96,1.0,0.0,0.0,0.0
16,blk 18x18 seat cushions,493,4,0.6123372897938478,0.6713566605004466,0.011278195488721804,0.0,0.3,0.03383458646616541,1.0,0.45,0.06390977443609022,1.0,0.36,1.0,0.0,0.7,0.0
17,closet storage with zipper,103,21,0.7322633779828331,0.6670310872762792,0.04854368932038835,1.0,0.5,0.11650485436893204,1.0,0.6,0.2815533980582524,1.0,0.58,1.0,0.0,0.5,0.0
18,chrome bathroom 4 light vanity light,1053,34,0.7123053030583436,0.6487314280568164,0.029197080291970802,1.0,0.8,0.06569343065693431,1.0,0.9,0.17518248175182483,1.0,0.96,1.0,0.0,0.19999999999999996,0.0
19,gurney  slade 56,14,0,0.9363792118010483,0.9958564045300905,0.5,,0.5,0.6,,0.3,0.6,,0.12,0.5,0.0,0.5,0.0
20,foutains with brick look,94,12,0.23158837202009963,0.34197444484616885,0.03333333333333333,0.0,0.5,0.08888888888888889,0.0,0.5,0.1111111111111111,0.0,0.26,0.5,0.2,0.5,0.0
21,living curtains pearl,127,1,0.8032285550939751,0.857572190184248,0.023622047244094488,0.0,0.3,0.05511811023622047,1.0,0.35,0.11811023622047244,1.0,0.3,0.3333333333333333,0.0,0.7,0.0
22,light and navy blue decorative pillow,251,22,0.4589627680851436,0.5330679306731299,0.04081632653061224,1.0,0.8,0.07653061224489796,1.0,0.75,0.14285714285714285,1.0,0.56,1.0,0.0,0.19999999999999996,0.0
23,stoneford end tables white and wood,1266,0,1.0,1.0,0.007328990228013029,,0.9,0.015472312703583062,,0.95,0.03664495114006515,,0.92,1.0,0.0,0.09999999999999998,0.0
24,wood coffee table set by storage,2559,84,0.558656096551199,0.5961499483035531,0.004764173415912339,1.0,1.0,0.009528346831824679,1.0,1.0,0.023820867079561697,1.0,1.0,1.0,0.0,0.0,0.0
25,sunflower,242,227,1.0,1.0,0.04329004329004329,1.0,1.0,0.08658008658008658,1.0,1.0,0.21645021645021645,1.0,1.0,1.0,0.0,0.0,0.0
26,leather chairs,3746,876,0.9537125187088151,0.9222461512321547,0.0030422878004259203,1.0,1.0,0.0060845756008518406,1.0,1.0,0.014298752662001825,1.0,0.96,1.0,0.0,0.0,0.0
27,outdoor welcome rug,344,100,0.5876535327723719,0.569738760141011,0.02631578947368421,1.0,0.9,0.03508771929824561,1.0,0.6,0.06140350877192982,1.0,0.42,1.0,0.0,0.09999999999999998,0.0
28,rooster decor,725,175,1.0,1.0,0.03333333333333333,1.0,1.0,0.06666666666666667,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,0.0
29,bathroom vanity knobs,802,138,0.7542686714597936,0.5970313085887465,0.050724637681159424,1.0,1.0,0.07246376811594203,1.0,1.0,0.15942028985507245,1.0,0.98,1.0,0.3,0.0,0.0
30,3 1/2 inch drawer pull,549,88,0.5315796557430237,0.5342182677215221,0.026470588235294117,1.0,0.9,0.05588235294117647,1.0,0.95,0.12941176470588237,1.0,0.88,1.0,0.0,0.09999999999999998,0.0
31,burnt orange curtains,168,1,0.6943559465628248,0.7787676299523247,0.05357142857142857,0.0,0.9,0.09523809523809523,0.0,0.8,0.17261904761904762,0.0,0.58,1.0,0.0,0.09999999999999998,0.0
32,dark gray dresser,211,3,0.8864335680588812,0.9115210861339315,0.027472527472527472,1.0,0.5,0.06043956043956044,1.0,0.55,0.11538461538461539,1.0,0.42,1.0,0.0,0.5,0.0
33,non slip shower floor tile,669,125,0.45086673773561947,0.5255720088498653,0.01818181818181818,1.0,0.7,0.04155844155844156,1.0,0.8,0.09610389610389611,1.0,0.74,1.0,0.0,0.30000000000000004,0.0
34,bar stool with backrest,740,374,0.7568371608459036,0.7493433224654342,0.013605442176870748,1.0,1.0,0.02585034013605442,1.0,0.95,0.0653061224489796,1.0,0.96,1.0,0.0,0.0,0.0
35,enclosed shoe rack,174,51,0.3333333333333333,0.35974737803721046,0.05813953488372093,0.0,1.0,0.11046511627906977,1.0,0.95,0.27325581395348836,1.0,0.94,1.0,0.0,0.0,0.0
36,laundry basket with wheels,157,37,0.7890254564105805,0.7263721274949249,0.05128205128205128,1.0,0.8,0.08974358974358974,1.0,0.7,0.23717948717948717,1.0,0.74,1.0,0.0,0.19999999999999996,0.0
37,bar stool 24 inches height,875,110,0.4891005388287368,0.433860401720917,0.010935601458080195,1.0,0.9,0.023086269744835967,1.0,0.95,0.05953827460510328,1.0,0.98,1.0,0.0,0.09999999999999998,0.0
38,calvin patio chair,255,1,0.6943559465628248,0.8299559804270543,0.03773584905660377,0.0,0.8,0.07547169811320754,0.0,0.8,0.16037735849056603,1.0,0.68,1.0,0.0,0.19999999999999996,0.0
39,door jewelry organizer,149,31,0.48006117753205346,0.4522642184147975,0.06711409395973154,1.0,1.0,0.1342281879194631,1.0,1.0,0.33557046979865773,1.0,1.0,1.0,0.0,0.0,0.0
40,elegant executive chair,166,40,0.4891005388287368,0.5304769726125719,0.06097560975609756,1.0,1.0,0.12195121951219512,1.0,1.0,0.2926829268292683,1.0,0.96,1.0,0.0,0.0,0.0
41,closet pull out valet rod,143,19,0.8650111786183293,0.8088469106904146,0.125,1.0,1.0,0.25,1.0,1.0,0.4875,1.0,0.9,1.0,0.0,0.0,0.0
42,toddler couch fold out,149,3,0.7788424178534618,0.8276974777924082,0.12,1.0,0.9,0.22666666666666666,1.0,0.85,0.4266666666666667,1.0,0.64,1.0,0.0,0.09999999999999998,0.0
43,solid teak end table,1231,22,0.9575861412006988,0.7984282611680239,0.009514747859181731,1.0,1.0,0.01807802093244529,1.0,1.0,0.04091341579448145,1.0,0.92,1.0,0.0,0.0,0.0
44,chrome shower head and valve,219,33,0.5479670261258659,0.5900913854390026,0.04608294930875576,1.0,1.0,0.09216589861751152,1.0,1.0,0.22580645161290322,1.0,0.98,1.0,0.0,0.0,0.0
45,70s inspired furniture,169,20,0.3333333333333333,0.33549114279195735,0.018691588785046728,1.0,0.3,0.056074766355140186,1.0,0.35,0.14953271028037382,1.0,0.42,0.1111111111111111,0.1,0.7,0.0
46,beach blue headboard,104,5,0.6490650483905592,0.7167909375841298,0.049019607843137254,1.0,0.5,0.0784313725490196,1.0,0.4,0.12745098039215685,1.0,0.26,1.0,0.0,0.5,0.0
47,porcelain loaf pan,105,0,1.0,1.0,0.1,,1.0,0.2,,1.0,0.49,,1.0,1.0,0.0,0.0,0.0
48,arwen table lamp,282,1,0.6943559465628248,0.8318219102981712,0.03546099290780142,0.0,1.0,0.06028368794326241,1.0,0.85,0.14893617021276595,1.0,0.84,1.0,0.0,0.0,0.0
49,moen matte black hooks,135,0,1.0,1.0,0.0603448275862069,,0.7,0.11206896551724138,,0.65,0.1724137931034483,,0.4,1.0,0.0,0.30000000000000004,0.0
50,tufted chair with gold legs,404,28,0.5690654355727758,0.5550159050113341,0.023017902813299233,1.0,0.9,0.04092071611253197,1.0,0.8,0.0741687979539642,1.0,0.58,1.0,0.0,0.09999999999999998,0.0
51,kohen 5 drawer dresser,595,1,0.6943559465628248,0.8368742090805228,0.017006802721088437,0.0,1.0,0.034013605442176874,1.0,1.0,0.08333333333333333,1.0,0.98,1.0,0.0,0.0,0.0
52,westling coffee table,1433,0,1.0,1.0,0.007042253521126761,,1.0,0.014084507042253521,,1.0,0.03309859154929577,,0.94,1.0,0.0,0.0,0.0
53,carolyn console table,610,0,1.0,1.0,0.01639344262295082,,1.0,0.03278688524590164,,1.0,0.08196721311475409,,1.0,1.0,0.0,0.0,0.0
54,wayfair sleep zippered,143,5,0.6267490438585046,0.7419042915113703,0.06521739130434782,1.0,0.9,0.13043478260869565,1.0,0.9,0.3333333333333333,1.0,0.92,1.0,0.0,0.09999999999999998,0.0
55,tollette teal outdoor rug,171,1,0.6943559465628248,0.840478838926804,0.058823529411764705,0.0,1.0,0.11764705882352941,1.0,1.0,0.28823529411764703,1.0,0.98,1.0,0.0,0.0,0.0
56,royal blue counter height chairs,344,0,0.4283650469300963,0.3888906418408695,0.008658008658008658,,0.8,0.030303030303030304,,0.75,0.05194805194805195,,0.58,1.0,0.6,0.19999999999999996,0.0
57,jordanna solid wood rocking,1406,1,0.7523951423373073,0.7376368326802737,0.02631578947368421,1.0,0.9,0.04736842105263158,1.0,0.7,0.14210526315789473,1.0,0.78,1.0,0.4,0.09999999999999998,0.0
58,medium size chandelier,164,63,0.5752579402228116,0.6048087314088928,0.030864197530864196,1.0,0.5,0.04938271604938271,1.0,0.4,0.1111111111111111,1.0,0.36,1.0,0.0,0.5,0.0
59,broadway lever,165,43,1.0,1.0,0.06451612903225806,1.0,1.0,0.12903225806451613,1.0,1.0,0.3225806451612903,1.0,1.0,1.0,0.0,0.0,0.0
60,capricorn chest,332,3,0.3029410231246128,0.4569256062697803,0.012345679012345678,1.0,1.0,0.040123456790123455,1.0,0.95,0.1111111111111111,1.0,0.86,0.25,0.6,0.0,0.0
61,overstreet rustic pub stools,162,1,0.6943559465628248,0.8340757224642434,0.04938271604938271,0.0,0.8,0.08641975308641975,0.0,0.7,0.19135802469135801,1.0,0.62,1.0,0.0,0.19999999999999996,0.0
62,7qt slow cooker,157,9,0.5483415126333788,0.6567419125677878,0.06756756756756757,1.0,1.0,0.13513513513513514,1.0,1.0,0.33783783783783783,1.0,1.0,1.0,0.0,0.0,0.0
63,monthly calendar,115,72,1.0,0.9565311588560688,0.09433962264150944,1.0,1.0,0.18867924528301888,1.0,1.0,0.4716981132075472,1.0,1.0,1.0,0.0,0.0,0.0
64,zachary 72.5,77,1,1.0,0.9478786845897117,0.02702702702702703,1.0,0.2,0.02702702702702703,1.0,0.1,0.02702702702702703,1.0,0.04,0.16666666666666666,0.0,0.8,0.0
65,gnome fairy garden,156,38,0.5534250996314135,0.5017874176708679,0.06535947712418301,1.0,1.0,0.13071895424836602,1.0,1.0,0.32679738562091504,1.0,1.0,1.0,0.0,0.0,0.0
66,novara pergola,69,1,0.8871958738785231,0.9183497146685337,0.15625,1.0,1.0,0.3125,1.0,1.0,0.78125,1.0,1.0,1.0,0.0,0.0,0.0
67,osgood mirror,587,0,0.9216017310213247,0.9120975666589382,0.017857142857142856,,1.0,0.03571428571428571,,1.0,0.08531746031746032,,0.96,1.0,0.1,0.0,0.0
68,nautical platters,204,89,0.8235865181817077,0.7435750667522952,0.05952380952380952,1.0,1.0,0.11904761904761904,1.0,1.0,0.2976190476190476,1.0,1.0,1.0,0.0,0.0,0.0
69,wall sconce with usb port,235,13,0.433395817168949,0.46041278892753895,0.04477611940298507,1.0,1.0,0.0845771144278607,1.0,0.95,0.21890547263681592,1.0,0.98,1.0,0.1,0.0,0.0
70,annex dresser,504,1,0.6943559465628248,0.7787676299523247,0.019880715705765408,0.0,1.0,0.03777335984095427,0.0,0.95,0.09343936381709742,1.0,0.96,1.0,0.0,0.0,0.0
71,infant girl crib bedding,139,47,0.769814415927571,0.8016184558508591,0.07246376811594203,1.0,1.0,0.14492753623188406,1.0,1.0,0.36231884057971014,1.0,1.0,1.0,0.0,0.0,0.0
72,fold in half table,174,85,1.0,1.0,0.06134969325153374,1.0,1.0,0.12269938650306748,1.0,1.0,0.3006134969325153,1.0,1.0,1.0,0.0,0.0,0.0
73,certified international melamine,181,0,1.0,1.0,0.05660377358490566,,0.9,0.1069182389937107,,0.85,0.27672955974842767,,0.88,1.0,0.0,0.09999999999999998,0.0
74,serta kleinmon,87,3,0.9673399266021623,0.9745547361871417,0.07142857142857142,1.0,0.6,0.10714285714285714,1.0,0.45,0.2261904761904762,1.0,0.38,1.0,0.0,0.4,0.0
75,sheffield home bath set,231,4,0.44011532792627894,0.5937462622125669,0.06569343065693431,0.0,0.9,0.10948905109489052,0.0,0.8,0.23357664233576642,1.0,0.72,0.5,0.0,0.09999999999999998,0.0
76,46 inch closet door,135,2,0.4865104587627948,0.48733113589247273,0.10909090909090909,0.0,0.8,0.18181818181818182,0.0,0.75,0.3090909090909091,1.0,0.58,1.0,0.2,0.19999999999999996,0.0
77,sancroft armchair,661,1,0.6943559465628248,0.7787676299523247,0.015128593040847202,0.0,1.0,0.028744326777609682,0.0,0.95,0.06656580937972768,0.0,0.88,1.0,0.0,0.0,0.0
78,dorel vanity,948,3,0.5159958223394444,0.6229152997582164,0.011723329425556858,0.0,1.0,0.022274325908558032,0.0,0.95,0.05744431418522861,0.0,0.98,1.0,0.0,0.0,0.0
79,palram harmony greenhouses,122,0,1.0,0.8524213126144046,0.09523809523809523,,1.0,0.1523809523809524,,1.0,0.4,,0.96,1.0,0.0,0.0,0.0
80,7 draw white dresser,198,39,0.6353762499034359,0.6714135877999616,0.03571428571428571,1.0,0.7,0.07653061224489796,1.0,0.75,0.1989795918367347,1.0,0.78,1.0,0.0,0.30000000000000004,0.0
81,orren ellis l shape desk,233,75,0.5882764760557853,0.5701547880339448,0.0410958904109589,1.0,0.9,0.0867579908675799,1.0,0.95,0.1872146118721461,1.0,0.82,1.0,0.0,0.09999999999999998,0.0
82,bathroom vanity with counter space,668,53,0.49120494769811857,0.4352185184930255,0.013761467889908258,1.0,0.9,0.0290519877675841,1.0,0.95,0.06574923547400612,1.0,0.86,1.0,0.0,0.09999999999999998,0.0
83,wall art fiji,103,0,0.9337457765456111,0.9572416874849684,0.041237113402061855,,0.4,0.061855670103092786,,0.3,0.12371134020618557,,0.26,1.0,0.0,0.6,0.0
84,full metal bed rose gold,299,1,0.09421399586938177,0.14549964064171764,0.0,0.0,0.7,0.009569377990430622,0.0,0.65,0.05263157894736842,0.0,0.62,0.09090909090909091,0.7,0.30000000000000004,0.0
85,3/4 size mattress,152,0,1.0,1.0,0.018867924528301886,,0.2,0.03773584905660377,,0.2,0.10377358490566038,,0.22,0.3333333333333333,0.0,0.8,0.0
86,aloe vera plant pot,142,15,0.3965255762463672,0.501087597857232,0.07246376811594203,1.0,1.0,0.14492753623188406,1.0,1.0,0.36231884057971014,1.0,1.0,1.0,0.0,0.0,0.0
87,vlad modular sectional,221,0,1.0,1.0,0.04524886877828054,,1.0,0.09049773755656108,,1.0,0.22171945701357465,,0.98,1.0,0.0,0.0,0.0
88,rose gold lounge,159,1,0.17119384430339893,0.23200260152079627,0.027777777777777776,0.0,0.8,0.037037037037037035,0.0,0.7,0.1111111111111111,0.0,0.54,0.25,0.5,0.19999999999999996,0.0
89,whimsical solar lights,142,68,0.8382547631433311,0.8025908558514172,0.05925925925925926,1.0,0.8,0.11851851851851852,1.0,0.8,0.32592592592592595,1.0,0.88,1.0,0.0,0.19999999999999996,0.0
90,filaret outdoor sofa,242,0,1.0,1.0,0.03734439834024896,,0.9,0.07883817427385892,,0.95,0.16182572614107885,,0.8,1.0,0.0,0.09999999999999998,0.0
91,industrial pipe dining  table,686,8,0.5856427970576012,0.7210414543528428,0.014925373134328358,1.0,1.0,0.028358208955223882,1.0,0.95,0.05373134328358209,1.0,0.82,1.0,0.0,0.0,0.0
92,antique silver entry table,170,0,1.0,0.961615361834617,0.030120481927710843,,0.5,0.06626506024096386,,0.55,0.09036144578313253,,0.32,0.3333333333333333,0.0,0.5,0.0
93,outdoor sectional dining,233,58,0.5534250996314135,0.5249541994701136,0.03619909502262444,1.0,0.8,0.05429864253393665,1.0,0.6,0.10407239819004525,1.0,0.48,0.5,0.0,0.19999999999999996,0.0
94,kohler whitehaven farmhouse kitchen sink,197,4,0.6005540286277394,0.7219769421630922,0.06666666666666667,1.0,1.0,0.13333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
95,entertainment stand end table,820,49,0.49507857019000223,0.4842476142183822,0.006134969325153374,1.0,0.5,0.011042944785276074,1.0,0.45,0.026993865030674847,1.0,0.44,1.0,0.0,0.5,0.0
96,bar room wall decor,384,75,0.955830517697074,0.9057339562562386,0.03546099290780142,1.0,1.0,0.06028368794326241,1.0,0.85,0.1595744680851064,1.0,0.9,1.0,0.0,0.0,0.0
97,regner power loom red,197,1,0.7962372977085499,0.8525117533015497,0.05102040816326531,1.0,1.0,0.07653061224489796,1.0,0.75,0.14795918367346939,1.0,0.58,1.0,0.0,0.0,0.0
98,gracie oaks 62 oller 14 ceiling fan,124,0,1.0,1.0,0.08849557522123894,,1.0,0.17699115044247787,,1.0,0.4336283185840708,,1.0,1.0,0.0,0.0,0.0
99,arched christmas tree,121,0,1.0,1.0,0.09009009009009009,,1.0,0.18018018018018017,,1.0,0.42342342342342343,,0.96,1.0,0.0,0.0,0.0
100,tufted upholstered bed diamond,887,211,0.9008240627729516,0.7963027667129696,0.009852216748768473,1.0,0.8,0.019704433497536946,1.0,0.8,0.04433497536945813,1.0,0.72,1.0,0.0,0.19999999999999996,0.0
101,48 in entry table with side by side drawer,283,4,0.6005540286277394,0.6434758689372788,0.015444015444015444,1.0,0.4,0.04247104247104247,1.0,0.55,0.06177606177606178,1.0,0.36,1.0,0.0,0.6,0.0
102,flamingo,68,57,0.92663607790064,0.9526533201221142,0.15789473684210525,1.0,1.0,0.3333333333333333,1.0,1.0,0.8421052631578947,1.0,1.0,1.0,0.1,0.0,0.0
