dataset,model,method,schedule,metric,old_mean,corrected_mean,delta,ci_low,ci_high,eligible_queries
esci,bge_base,canonical_hybrid_field_priority_type,fixed,nDCG@10,0.6144913732568795,0.6249840732609104,0.010492700004030986,0.006710212768519028,0.014365155994092136,499
esci,bge_base,canonical_hybrid_field_priority_type,fixed,nDCG@20,0.664147865471382,0.6709062017417844,0.006758336270402225,0.0027189219836010557,0.01084196893330785,499
esci,bge_base,canonical_hybrid_field_priority_type,fixed,cNDCG@10,0.707854766428888,0.7283874739520826,0.02053270752319455,0.016227849836617063,0.025045687493911565,499
esci,bge_base,canonical_hybrid_field_priority_type,fixed,cNDCG@20,0.7864929777358821,0.8067771345227114,0.020284156786829266,0.016121294174455764,0.02463485152443648,499
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,nDCG@10,0.6150839675719632,0.625626547233807,0.0105425796618438,0.0067478812231266455,0.014415612837234281,499
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,nDCG@20,0.6641915434632888,0.6709543716897672,0.006762828226478466,0.002726877159650115,0.010859154964930298,499
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,cNDCG@10,0.7081952748391556,0.7286877825084108,0.020492507669255235,0.016162574681322532,0.025012777044193718,499
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,cNDCG@20,0.7864446056278009,0.8067504653295452,0.020305859701744127,0.016152458901872314,0.024653983639492342,499
esci,bge_base,canonical_hybrid_lexical_descending,fixed,nDCG@10,0.6129360759953696,0.623783605462875,0.010847529467505536,0.007169509115070246,0.014651323188673416,499
esci,bge_base,canonical_hybrid_lexical_descending,fixed,nDCG@20,0.6620172108478714,0.6689919136885818,0.006974702840710547,0.003134061842688009,0.010926666230450929,499
esci,bge_base,canonical_hybrid_lexical_descending,fixed,cNDCG@10,0.7039408291912956,0.7250228984755394,0.021082069284243884,0.016645193030942973,0.025643343625009703,499
esci,bge_base,canonical_hybrid_lexical_descending,fixed,cNDCG@20,0.7847803733316496,0.8053593775333434,0.020579004201693868,0.01641560000260215,0.024959749347174175,499
esci,bge_base,centroid_2,fixed,nDCG@10,0.6007935918265976,0.6145682675953498,0.013774675768752138,0.010065346741771423,0.017667278621930894,499
esci,bge_base,centroid_2,fixed,nDCG@20,0.6516188575144973,0.6621037168459223,0.010484859331425003,0.006884998084509268,0.014243184330265767,499
esci,bge_base,centroid_2,fixed,cNDCG@10,0.7122286047254002,0.7358305578972731,0.023601953171873028,0.019510501284523748,0.027913619750501342,499
esci,bge_base,centroid_2,fixed,cNDCG@20,0.7901672995992673,0.8129092325874568,0.022741932988189273,0.01877635420282883,0.02697427391839828,499
esci,bge_base,centroid_4,fixed,nDCG@10,0.6008816841433907,0.614746157683049,0.013864473539658301,0.010254130668456457,0.017717303388568504,499
esci,bge_base,centroid_4,fixed,nDCG@20,0.6512792114870327,0.6616897780867207,0.01041056659968793,0.00685117608185495,0.014123555644289344,499
esci,bge_base,centroid_4,fixed,cNDCG@10,0.7132502203294648,0.7368973469547647,0.023647126625299855,0.01956424229264533,0.027965297565980696,499
esci,bge_base,centroid_4,fixed,cNDCG@20,0.7906039349234903,0.8133919976924866,0.02278806276899619,0.018827596129508354,0.027016158649350388,499
