dataset,model,method,K,aggregation,eligible_queries,highest_pairs,basis,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high,VI,VI_ci_low,VI_ci_high,mean_recall,mean_recall_ci_low,mean_recall_ci_high,source_recall,source_recall_ci_low,source_recall_ci_high
esci,bge_base,BM25,20,query_macro,499,4434,structural: single deterministic fixed index,0.6768505832258405,0.6460319047308123,0.7064358283685264,0.32314941677415954,0.29356417163147364,0.3539680952691876,0.0,0.0,0.0,0.6768505832258405,0.6460319047308123,0.7064358283685264,0.6768505832258405,0.6460319047308123,0.7064358283685264
esci,bge_base,BM25,20,pair_micro,499,4434,structural: single deterministic fixed index,0.6344158773116825,0.60313376774078,0.6649941819687073,0.3655841226883175,0.33500581803129265,0.39686623225921996,0.0,0.0,0.0,0.6344158773116825,0.60313376774078,0.6649941819687073,0.6344158773116825,0.60313376774078,0.6649941819687073
esci,bge_base,BM25,100,query_macro,499,4434,structural: single deterministic fixed index,0.8283191483962087,0.8025295237314413,0.8531709939597035,0.17168085160379132,0.14682900604029636,0.19747047626855868,0.0,0.0,0.0,0.8283191483962087,0.8025295237314413,0.8531709939597035,0.8283191483962087,0.8025295237314413,0.8531709939597035
esci,bge_base,BM25,100,pair_micro,499,4434,structural: single deterministic fixed index,0.8385205232295896,0.8093824978691302,0.8661529892477685,0.16147947677041047,0.1338470107522315,0.19061750213086984,0.0,0.0,0.0,0.8385205232295896,0.8093824978691302,0.8661529892477685,0.8385205232295896,0.8093824978691302,0.8661529892477685
esci,bge_base,canonical_hybrid_field_priority_type,20,query_macro,499,4434,structural: single deterministic fixed index,0.7503281503741699,0.7237333519746059,0.776083726435778,0.24967184962583008,0.22391627356422186,0.27626664802539413,0.0,0.0,0.0,0.7503281503741699,0.7237333519746059,0.776083726435778,0.7503281503741699,0.7237333519746059,0.776083726435778
esci,bge_base,canonical_hybrid_field_priority_type,20,pair_micro,499,4434,structural: single deterministic fixed index,0.6878664862426703,0.6581419366636547,0.718015554329584,0.31213351375732973,0.2819844456704161,0.3418580633363452,0.0,0.0,0.0,0.6878664862426703,0.6581419366636547,0.718015554329584,0.6878664862426703,0.6581419366636547,0.718015554329584
esci,bge_base,canonical_hybrid_field_priority_type,100,query_macro,499,4434,structural: single deterministic fixed index,0.9156983260221854,0.8963201210412488,0.9337589904480846,0.08430167397781471,0.0662410095519153,0.10367987895875122,0.0,0.0,0.0,0.9156983260221854,0.8963201210412488,0.9337589904480846,0.9156983260221854,0.8963201210412488,0.9337589904480846
esci,bge_base,canonical_hybrid_field_priority_type,100,pair_micro,499,4434,structural: single deterministic fixed index,0.9163283716734326,0.8938555949227858,0.936749892051702,0.08367162832656744,0.06325010794829808,0.10614440507721423,0.0,0.0,0.0,0.9163283716734326,0.8938555949227858,0.936749892051702,0.9163283716734326,0.8938555949227858,0.936749892051702
esci,bge_base,canonical_hybrid_lexical_ascending,20,query_macro,499,4434,structural: single deterministic fixed index,0.7500776493721659,0.7234706177216241,0.7758081290984971,0.2499223506278341,0.2241918709015028,0.2765293822783761,0.0,0.0,0.0,0.7500776493721659,0.7234706177216241,0.7758081290984971,0.7500776493721659,0.7234706177216241,0.7758081290984971
esci,bge_base,canonical_hybrid_lexical_ascending,20,pair_micro,499,4434,structural: single deterministic fixed index,0.6876409562471809,0.6580701462011437,0.7178653123373744,0.31235904375281914,0.2821346876626255,0.3419298537988564,0.0,0.0,0.0,0.6876409562471809,0.6580701462011437,0.7178653123373744,0.6876409562471809,0.6580701462011437,0.7178653123373744
esci,bge_base,canonical_hybrid_lexical_ascending,100,query_macro,499,4434,structural: single deterministic fixed index,0.9155441715594136,0.8961091339042704,0.933604835985313,0.08445582844058641,0.06639516401468701,0.1038908660957295,0.0,0.0,0.0,0.9155441715594136,0.8961091339042704,0.933604835985313,0.9155441715594136,0.8961091339042704,0.933604835985313
esci,bge_base,canonical_hybrid_lexical_ascending,100,pair_micro,499,4434,structural: single deterministic fixed index,0.9161028416779432,0.8936848086165406,0.9365153828610843,0.08389715832205684,0.06348461713891577,0.10631519138345935,0.0,0.0,0.0,0.9161028416779432,0.8936848086165406,0.9365153828610843,0.9161028416779432,0.8936848086165406,0.9365153828610843
esci,bge_base,canonical_hybrid_lexical_descending,20,query_macro,499,4434,structural: single deterministic fixed index,0.7476137515763718,0.7208691403070923,0.7736479624749643,0.2523862484236282,0.2263520375250358,0.2791308596929078,0.0,0.0,0.0,0.7476137515763718,0.7208691403070923,0.7736479624749643,0.7476137515763718,0.7208691403070923,0.7736479624749643
esci,bge_base,canonical_hybrid_lexical_descending,20,pair_micro,499,4434,structural: single deterministic fixed index,0.6858367162832657,0.6561791565552744,0.7161232533673152,0.3141632837167343,0.2838767466326848,0.3438208434447256,0.0,0.0,0.0,0.6858367162832657,0.6561791565552744,0.7161232533673152,0.6858367162832657,0.6561791565552744,0.7161232533673152
esci,bge_base,canonical_hybrid_lexical_descending,100,query_macro,499,4434,structural: single deterministic fixed index,0.9155167417599397,0.8960576922101844,0.9335632438168624,0.08448325824006028,0.06643675618313753,0.10394230778981556,0.0,0.0,0.0,0.9155167417599397,0.8960576922101844,0.9335632438168624,0.9155167417599397,0.8960576922101844,0.9335632438168624
esci,bge_base,canonical_hybrid_lexical_descending,100,pair_micro,499,4434,structural: single deterministic fixed index,0.9158773116824538,0.8932567655640355,0.936365779737606,0.08412268831754624,0.06363422026239401,0.10674323443596449,0.0,0.0,0.0,0.9158773116824538,0.8932567655640355,0.936365779737606,0.9158773116824538,0.8932567655640355,0.936365779737606
esci,bge_base,centroid_2,20,query_macro,499,4434,structural: single deterministic fixed index,0.7386222436054389,0.7114494758769389,0.7655406342624133,0.2613777563945612,0.23445936573758683,0.28855052412306115,0.0,0.0,0.0,0.7386222436054389,0.7114494758769389,0.7655406342624133,0.7386222436054389,0.7114494758769389,0.7655406342624133
esci,bge_base,centroid_2,20,pair_micro,499,4434,structural: single deterministic fixed index,0.6797474064050518,0.6485449368368342,0.7108328408699565,0.3202525935949481,0.28916715913004354,0.3514550631631657,0.0,0.0,0.0,0.6797474064050518,0.6485449368368342,0.7108328408699565,0.6797474064050518,0.6485449368368342,0.7108328408699565
esci,bge_base,centroid_2,100,query_macro,499,4434,structural: single deterministic fixed index,0.910661008922026,0.8912995643581175,0.9294555391123505,0.08933899107797401,0.07054446088764955,0.10870043564188239,0.0,0.0,0.0,0.910661008922026,0.8912995643581175,0.9294555391123505,0.910661008922026,0.8912995643581175,0.9294555391123505
esci,bge_base,centroid_2,100,pair_micro,499,4434,structural: single deterministic fixed index,0.9057284618854308,0.8815631531115343,0.9277569417948347,0.09427153811456923,0.0722430582051653,0.11843684688846569,0.0,0.0,0.0,0.9057284618854308,0.8815631531115343,0.9277569417948347,0.9057284618854308,0.8815631531115343,0.9277569417948347
