batch,retrieval_loss,consistency,loss,seconds
0,1.4236360788345337,0.0780988335609436,1.4314459562301636,5.093999999924563
1,0.5204458832740784,0.08221951127052307,0.5286678075790405,5.890999999945052
2,0.1124291643500328,0.09671181440353394,0.1221003457903862,6.562999999965541
3,0.12133581936359406,0.08909684419631958,0.13024550676345825,7.218999999924563
4,0.03780534863471985,0.08376264572143555,0.046181611716747284,7.890999999945052
5,0.3532322943210602,0.08085152506828308,0.3613174557685852,8.547000000020489
6,0.05577874556183815,0.08366808295249939,0.06414555013179779,9.405999999959022
7,0.8079879283905029,0.08570614457130432,0.8165585398674011,10.297000000020489
8,0.26297909021377563,0.08935651183128357,0.2719147503376007,11.187999999965541
9,0.09742056578397751,0.08378788828849792,0.1057993546128273,11.858999999938533
10,0.1414761245250702,0.07453471422195435,0.14892959594726562,12.530999999959022
11,0.19811531901359558,0.0820954442024231,0.20632486045360565,13.187999999965541
12,0.1313946545124054,0.09155470132827759,0.14055012166500092,13.858999999938533
13,0.20250532031059265,0.07809823751449585,0.21031513810157776,14.530999999959022
14,0.6437928676605225,0.11232355237007141,0.6550252437591553,15.187999999965541
15,0.13053730130195618,0.07787933945655823,0.13832522928714752,15.922000000020489
16,0.5610982775688171,0.08113306760787964,0.5692116022109985,16.593999999924563
17,0.08604888617992401,0.0761900544166565,0.0936678946018219,17.108999999938533
18,0.2287651002407074,0.08391085267066956,0.23715618252754211,17.79700000002049
19,0.14653989672660828,0.09371751546859741,0.1559116542339325,18.45299999997951
20,0.07374853640794754,0.10178980231285095,0.08392751961946487,19.125
21,0.3360493779182434,0.0952455997467041,0.34557393193244934,19.79700000002049
22,0.10456819832324982,0.08402144908905029,0.11297034472227097,20.468999999924563
23,0.12101566791534424,0.09333866834640503,0.1303495317697525,21.18799999996554
24,0.27703407406806946,0.09034880995750427,0.28606894612312317,21.858999999938533
25,0.2857080101966858,0.08051133155822754,0.29375913739204407,22.530999999959022
26,0.47783708572387695,0.083624929189682,0.48619958758354187,23.20299999997951
27,0.2229883223772049,0.07818302512168884,0.2308066189289093,23.858999999938533
