seed,epoch,step,loss,gradient_norm_before_clip,presentations
42,1,0,0.23894010484218597,0.0012823338620364666,16
42,1,1,0.19332048296928406,0.0009072109241969883,16
42,1,2,0.28172025084495544,0.0014559229603037238,16
42,1,3,0.2654914855957031,0.0012249861611053348,16
42,1,4,0.2795422673225403,0.0011061307741329074,16
42,1,5,0.2128433883190155,0.000818443251773715,16
42,1,6,0.2768038809299469,0.001455055782571435,16
42,1,7,0.3394754230976105,0.0018949853256344795,16
42,1,8,0.2338971495628357,0.0014684752095490694,16
42,1,9,0.24156230688095093,0.0011293826391920447,16
42,1,10,0.24737408757209778,0.0011933604255318642,16
42,1,11,0.28692784905433655,0.001514327246695757,16
42,1,12,0.306914746761322,0.0017193879466503859,16
42,1,13,0.2907937467098236,0.0015713425818830729,16
42,1,14,0.2198517620563507,0.0014516458613798022,16
42,1,15,0.202982097864151,0.0007801595493219793,16
42,1,16,0.25531071424484253,0.0010790628148242831,16
42,1,17,0.2874043583869934,0.0011484869755804539,16
42,1,18,0.22029238939285278,0.0017849851865321398,16
42,1,19,0.26287418603897095,0.002083600265905261,16
42,1,20,0.24908040463924408,0.0012578435707837343,16
42,1,21,0.40786460041999817,0.002506132936105132,16
42,1,22,0.26419398188591003,0.0013183223782107234,16
42,1,23,0.22497808933258057,0.0013004066422581673,16
42,1,24,0.22572705149650574,0.0008896732470020652,16
42,1,25,0.21279814839363098,0.0014350084820762277,16
42,1,26,0.2719361186027527,0.0013764100149273872,16
42,1,27,0.21137936413288116,0.0013279847335070372,16
42,1,28,0.22705474495887756,0.0014412407763302326,16
42,1,29,0.24689684808254242,0.0014868746511638165,16
42,1,30,0.2611927390098572,0.0013594323536381125,16
42,1,31,0.2713252604007721,0.0011854787589982152,16
42,1,32,0.20856711268424988,0.0013181569520384073,16
42,1,33,0.2848050594329834,0.0021166426595300436,16
42,1,34,0.2990296185016632,0.0014912554761394858,16
42,1,35,0.3281657099723816,0.0011211029486730695,16
42,1,36,0.24795332551002502,0.0012423451989889145,16
42,1,37,0.2553592920303345,0.0009757076040841639,16
42,1,38,0.24552156031131744,0.0012515626149252057,16
42,1,39,0.27822792530059814,0.0017850145231932402,16
42,1,40,0.3393658995628357,0.0016607679426670074,16
42,1,41,0.28344210982322693,0.001279143150895834,16
42,1,42,0.1778988540172577,0.0008928310708142817,16
42,1,43,0.25844883918762207,0.0011180186411365867,16
42,1,44,0.26428139209747314,0.0012316423235461116,16
42,1,45,0.25480252504348755,0.0012884584721177816,16
42,1,46,0.21472503244876862,0.001267364015802741,16
42,1,47,0.26457124948501587,0.001330730738118291,16
42,1,48,0.2860686182975769,0.001416801824234426,16
42,1,49,0.25142931938171387,0.0012025322066619992,16
42,1,50,0.24940815567970276,0.0012019649147987366,16
42,1,51,0.305270254611969,0.0012864046730101109,16
42,1,52,0.22845448553562164,0.0014289678074419498,16
42,1,53,0.2740398347377777,0.001119724242016673,16
42,1,54,0.20245613157749176,0.0009689229191280901,16
42,1,55,0.28508809208869934,0.0013068538391962647,16
42,1,56,0.22651571035385132,0.0015693079913035035,16
42,1,57,0.3202562630176544,0.002280972898006439,16
42,1,58,0.19385594129562378,0.0009232967859134078,16
42,1,59,0.30314451456069946,0.0011194689432159066,16
42,1,60,0.23616641759872437,0.001396364183165133,16
42,1,61,0.22895294427871704,0.001354777137748897,16
42,1,62,0.21282175183296204,0.0011623011669144034,16
42,1,63,0.34169864654541016,0.002391655230894685,16
42,1,64,0.24089252948760986,0.0015172282001003623,16
42,1,65,0.23012036085128784,0.0012257930357009172,16
