epoch,step,loss,batch_rows,mean_valid_negatives,seconds
0,0,4.2642822265625,128,499.0078125,28.906000000075437
0,1,4.2147216796875,128,498.3828125,53.67200000002049
0,2,3.898193359375,128,498.1875,78.95300000009593
0,3,1.8454484939575195,23,88.73913043478261,83.56200000003446
1,4,2.6562042236328125,128,498.4140625,107.82800000009593
1,5,2.4996337890625,128,498.0703125,132.10900000005495
1,6,2.253509521484375,128,499.0546875,156.48400000005495
1,7,1.07479727268219,23,88.91304347826087,161.0470000000205
2,8,1.691009521484375,128,497.90625,186.76500000001397
2,9,1.7776107788085938,128,496.5703125,211.4220000000205
2,10,1.534942626953125,128,497.9765625,236.46900000004098
2,11,0.48116400837898254,23,89.1304347826087,241.2970000000205
3,12,1.4064292907714844,128,497.84375,265.89000000001397
3,13,1.2440223693847656,128,499.1953125,290.719000000041
3,14,0.9851770401000977,128,497.984375,316.10900000005495
3,15,0.3231731951236725,23,88.26086956521739,320.56200000003446
4,16,1.1213626861572266,128,498.796875,345.65600000007544
4,17,0.9996519088745117,128,498.8984375,370.76500000001397
4,18,1.005584716796875,128,497.78125,395.56200000003446
4,19,0.7079494595527649,23,88.21739130434783,399.9220000000205
