query_id,eligible,development
165,True,False
433,True,False
500,True,False
541,True,False
598,True,False
600,True,False
602,True,False
622,True,False
637,True,False
861,True,False
933,True,False
978,True,False
1210,True,False
1293,True,False
1310,True,False
1458,True,False
1476,True,False
1530,True,False
1659,True,False
1816,True,False
2286,True,False
2390,True,False
2692,True,False
2855,True,False
3012,True,False
3492,True,False
3494,True,False
3986,True,False
4299,True,False
4321,True,False
4860,True,False
4956,True,False
5079,True,False
5094,True,False
5419,True,False
5787,True,False
5921,True,False
6138,True,False
6685,True,False
7034,True,False
7126,True,False
7303,True,False
7340,True,False
7545,True,False
7581,True,False
8063,True,False
8519,True,False
8605,True,False
8740,True,False
9096,True,False
9695,True,False
9776,True,False
9967,True,False
10312,True,False
10370,True,False
11509,True,False
11621,True,False
11875,True,False
11925,True,False
12176,True,False
12432,True,False
12557,True,False
12664,True,False
12809,True,False
13089,True,False
13169,True,False
13471,True,False
13639,True,False
13785,True,False
13954,True,False
14346,True,False
14880,True,False
14882,True,False
15154,True,False
15164,True,False
15311,True,False
15647,True,False
15716,True,False
15777,True,False
15807,True,False
16613,True,False
16684,True,False
17384,True,False
17607,True,False
17689,True,False
17742,True,False
18356,True,False
18553,True,False
18679,True,False
18682,True,False
18932,True,False
19053,True,False
19134,True,False
19268,True,False
19369,True,False
19372,True,False
19380,True,False
19619,True,False
19694,True,False
19953,True,False
20037,True,False
20185,True,False
20307,True,False
20315,True,False
20385,True,False
20500,True,False
20523,True,False
20788,True,False
21481,True,False
21645,True,False
22173,True,False
22211,True,False
22441,True,False
22639,True,False
23148,True,False
23260,True,False
23744,True,False
24082,True,False
24402,True,False
24504,True,False
24668,True,False
24697,True,False
24831,True,False
25132,True,False
25426,True,False
25497,True,False
25516,True,False
25591,True,False
26321,True,False
26642,True,False
26872,True,False
27927,True,False
28198,True,False
28637,True,False
29049,True,False
29123,True,False
29488,True,False
29596,True,False
29729,True,False
29868,True,False
29928,True,False
29941,True,False
29945,True,False
29952,True,False
30020,True,False
30318,True,False
31573,True,False
31659,True,False
31724,True,False
31889,True,False
32142,True,False
32164,True,False
32311,True,False
32350,True,False
32351,True,False
32430,True,False
32612,True,False
32812,True,False
32917,True,False
33004,True,False
33735,True,False
34128,True,False
34229,True,False
34443,True,False
34775,True,False
34817,True,False
35117,True,False
35242,True,False
35755,True,False
36669,True,False
36678,True,False
36753,True,False
36912,True,False
36960,True,False
37451,True,False
37466,True,False
37498,True,False
37670,True,False
37789,True,False
38679,True,False
39022,True,False
39107,True,False
39157,True,False
39263,True,False
40165,True,False
40292,True,False
40356,True,False
40483,True,False
40528,True,False
40573,True,False
40615,True,False
40834,True,False
41423,True,False
41492,True,False
41502,True,False
41795,True,False
42118,True,False
42332,True,False
42405,True,False
42445,True,False
42964,True,False
42968,True,False
43579,True,False
43948,True,False
43961,True,False
43983,True,False
44424,True,False
44706,True,False
44816,True,False
44845,True,False
44960,True,False
45294,True,False
45464,True,False
45588,True,False
45713,True,False
45745,True,False
45843,True,False
45928,False,False
45990,True,False
46008,True,False
46089,True,False
46097,True,False
46149,True,False
46177,True,False
46471,True,False
46910,True,False
47106,True,False
47213,True,False
47217,True,False
47526,True,False
47631,True,False
47857,True,False
47892,True,False
48397,True,False
48914,True,False
48929,True,False
49077,True,False
49201,True,False
49481,True,False
49972,True,False
50118,True,False
50311,True,False
50356,True,False
50494,True,False
51056,True,False
51227,True,False
51454,True,False
52230,True,False
52255,True,False
52348,True,False
52482,True,False
52830,True,False
53042,True,False
53114,True,False
53284,True,False
53328,True,False
53451,True,False
54039,True,False
54044,True,False
54558,True,False
54634,True,False
54889,True,False
55280,True,False
55365,True,False
55531,True,False
55677,True,False
56281,True,False
56758,True,False
57100,True,False
57276,True,False
57921,True,False
58044,True,False
58233,True,False
58514,True,False
58597,True,False
59963,True,False
60628,True,False
61329,True,False
61522,True,False
61574,True,False
61598,True,False
61723,True,False
61798,True,False
61830,True,False
61961,True,False
62478,True,False
62513,True,False
62558,True,False
62858,True,False
62937,True,False
62954,True,False
63291,True,False
63701,True,False
63917,True,False
63927,True,False
64191,True,False
64212,True,False
64296,True,False
64880,True,False
65197,True,False
65347,True,False
65397,True,False
65683,True,False
65798,True,False
66004,True,False
66062,True,False
66396,True,False
66421,True,False
66476,True,False
66494,True,False
67075,True,False
67189,True,False
67570,True,False
67637,True,False
67712,True,False
67844,True,False
67894,True,False
68340,True,False
68572,True,False
69025,True,False
69269,True,False
69657,True,False
69695,True,False
69739,True,False
70263,True,False
70625,True,False
70787,True,False
71186,True,False
71356,True,False
71655,True,False
71902,True,False
72088,True,False
72127,True,False
72915,True,False
73215,True,False
73282,True,False
73400,True,False
73401,True,False
73522,True,False
73746,True,False
73944,True,False
74270,True,False
74336,True,False
74620,True,False
74628,True,False
74654,True,False
