query_id,eligible,development
0,True,False
1,True,False
2,True,False
3,True,False
4,True,False
5,True,False
6,True,False
7,True,False
8,False,True
9,True,False
10,True,False
11,True,False
12,False,True
13,True,False
14,True,False
15,False,True
16,True,False
17,True,False
18,False,True
19,False,False
20,True,False
21,False,True
22,True,False
23,False,True
24,False,True
25,False,True
26,True,False
27,True,False
28,True,False
29,False,True
30,False,True
31,True,False
32,False,True
33,False,True
34,False,True
35,True,False
36,True,False
37,True,False
38,True,False
39,True,False
40,True,False
41,True,False
42,True,False
43,False,True
44,True,False
45,True,False
46,True,False
47,False,False
48,True,False
49,False,False
50,True,False
51,True,False
52,False,False
53,False,False
54,True,False
55,True,False
56,False,True
57,False,True
58,False,True
59,True,False
60,True,False
61,False,True
62,True,False
63,True,False
64,True,False
65,True,False
66,True,False
67,False,False
68,True,False
69,True,False
70,True,False
71,True,False
72,True,False
73,False,False
74,True,False
75,True,False
76,True,False
77,True,False
78,True,False
79,False,False
80,False,True
81,True,False
82,True,False
83,False,True
84,True,False
85,False,False
86,True,False
87,False,False
88,True,False
89,True,False
90,False,False
91,True,False
92,False,False
93,True,False
94,True,False
95,True,False
96,False,True
97,True,False
98,False,False
99,False,False
100,False,True
101,True,False
102,True,False
103,False,True
104,True,False
105,False,True
106,False,True
107,True,False
108,True,False
109,True,False
110,False,False
111,True,False
112,True,False
113,False,True
114,True,False
115,True,False
116,False,True
117,False,True
118,False,True
119,True,False
120,True,False
121,True,False
122,True,False
123,True,False
124,True,False
125,True,False
126,True,False
127,True,False
128,True,False
129,True,False
130,True,False
131,True,False
132,True,False
133,False,True
134,False,True
135,False,True
136,False,False
137,True,False
138,True,False
139,False,False
140,True,False
141,True,False
142,True,False
143,True,False
144,True,False
145,True,False
146,True,False
147,True,False
148,True,False
149,False,True
150,True,False
151,True,False
152,False,True
153,True,False
155,True,False
156,False,True
157,False,True
158,True,False
159,True,False
160,True,False
161,True,False
162,False,True
163,True,False
164,True,False
165,True,False
166,True,False
167,True,False
168,False,False
169,True,False
170,True,False
171,False,False
172,True,False
173,True,False
174,False,False
175,True,False
176,True,False
177,True,False
178,True,False
179,False,False
180,True,False
181,False,True
182,True,False
183,True,False
184,True,False
185,True,False
186,True,False
188,False,True
189,True,False
190,True,False
191,False,False
193,False,False
194,False,False
195,True,False
196,False,False
197,True,False
198,True,False
199,False,False
200,True,False
201,False,False
202,True,False
203,True,False
204,True,False
205,False,True
206,True,False
207,False,False
208,False,False
209,False,False
210,True,False
211,False,False
212,True,False
213,True,False
214,False,False
215,True,False
216,True,False
218,False,True
219,False,True
220,True,False
221,True,False
222,True,False
223,True,False
224,False,True
225,False,True
226,True,False
227,True,False
228,False,True
229,True,False
230,True,False
231,True,False
232,True,False
233,True,False
234,True,False
235,True,False
236,True,False
237,False,True
238,True,False
239,True,False
240,False,True
241,True,False
242,True,False
243,True,False
244,True,False
245,True,False
246,True,False
247,True,False
248,True,False
249,True,False
250,True,False
251,True,False
252,True,False
253,True,False
254,True,False
255,True,False
256,False,True
257,True,False
258,False,True
259,False,False
260,True,False
261,False,True
262,False,True
263,True,False
264,True,False
265,False,False
266,True,False
267,True,False
268,True,False
269,False,False
270,True,False
271,True,False
272,False,False
273,True,False
274,True,False
275,True,False
276,False,False
277,True,False
278,True,False
279,True,False
280,False,True
281,True,False
282,True,False
283,False,True
284,False,False
285,True,False
286,False,False
287,False,True
288,False,False
289,True,False
290,False,True
291,True,False
292,True,False
293,False,True
294,False,False
295,True,False
296,True,False
297,True,False
298,True,False
300,True,False
301,True,False
302,True,False
303,True,False
304,False,False
305,True,False
306,True,False
307,True,False
308,True,False
309,False,True
310,True,False
311,True,False
312,False,True
313,True,False
314,False,True
315,True,False
316,True,False
317,True,False
318,False,True
319,True,False
320,True,False
321,False,True
322,False,False
323,True,False
324,False,True
325,True,False
