query_id,selection_hash
0,9d81936ab1384d1657a031b04e09c23f85dce6dcecf67bfdf702c36243e05f8c
9,586f5c1c58a1338a2faa8432bfdf1a6fb6ca0ad90a12c6928bfb50abbefad82c
11,4ecd643f421aff819d8e29a7e5ad0fae90b286c6e8d2984b295b2878736d0cc7
13,e7a9c49fe397d768337c0dd3faf463d000dd8d6ac3a48557567856064aea79cb
17,0c603c1f89df0ffde4e384dfe03c4905dce2519239839a56fcea4c8f73be23e5
28,8610f1c2713156d711a5c6b77705b4578b8b947c54a8ad498e0c43cfcffd9d69
36,0c6183f4724f4553e9ca6843c0488f2fd19726bfbf2986c0f6990b9585b009e5
41,2469139195b235d6a9afd29d35e754c23f4d356636e81088a590511d7029908e
45,a171efabda66baa9615837054e9ac1d09a07c958f79a20fad606d6077b171db3
50,8a00b26e34d7267f656ffd84ad46407c02c6e7583bca28c909fb6d0e5e8cd775
59,44a3cbda25a764b59aa9003d47af0896655ae3c3daace97c4c3bdc2267b03d69
63,c338070e8dfaafe605c50e5ba48bd38f3725320ae5eec6cf805fa4e63baa8327
65,548ea790e442196d68c1d72637c9ac31e1a74b6e401e856870cae0876abf7357
89,aa22555f4a0ca46f944c952c8dcc1dcbe669a1b61826f9d85d750f0ea8a372c4
102,4b97ff407fa28cc0adeadc1ee15fd00d6e4fc2c49b676e0f20818d815c0af788
108,b38817f65fe238f40b4e8717123641469dd6074f20a13c0135b7e83873f7779b
109,5df38c86bcb3c1968cc634b8c84c371c40f7c0657c482e1f03279806aa07d9be
112,28595521bd591a8c5fcd1e146e11f475ca1998002aecc2e303686b91eaa6ddf3
115,c5276d3970ef91d61b6e9098927646ba390ac7c43812d3442ac80c3262e895c1
119,ef74fa221347060c0f6a0b8df74a111bd7d142126dd3aaed5ff338f3dbeefe9a
124,c27c336a305fbd703eafe6f6577d1a7628357cb239e07481f0e08a4b29fe24a2
126,71305de7e8712c9deba5fef70abac30636d1185c58ea08604080fe7e67cfca74
127,34139e2e166bc52163a0540069cd6d0ff2817a8620e2ef8f2ea393420604f8fc
129,7f0fd9a6dd8df4aedbb7c4e35d8e72f228c0d2cb33452dc9dcdc39dd1f194473
138,0de899355cc0e9ce0ff236ee7020e682631533e0b951cc3df4daf7111f094138
144,0731f39d21f198b8566ad11a7106ed17a2d14a4bd4b699a87e341f5235f589b6
148,6048542449d98d8abe9ee3bdd00a0eaa1195abb8739892bd3fc4e3512769731c
153,7a7e07f58520b2052c05ac0c14159fcfbd9d0e99087f825340feef50bac2fde7
159,229493e5341c97c9011ce7bb4784bf7f780aeec846431fd53acd2ba3093c01a3
163,7a92da40f41e17596577f605172b5d3cd8bac8d486ff345b436438d21b3d5d3b
164,d9385c2a8f8ceccca0cfd8b2e8a05947f68a82e42206ce69e346e8124e3c9ad0
172,ba29c5e99275e25088af5dab5070c9b24f69a53eb561d6fe00b657498c0dfad8
180,f6972562ed5710739247908602c94ec4fb13c463feac0519fd58905eb9e5da03
182,2f9ce2414120a9760c04c6dcc282d47ab25c0852b417b17aa5e411fa9adbe4c0
185,25b8a37b13d68d633e4c7ae1f25f1c482e09a64471de351266548302c61b47df
189,61fe4efd8d08aeb3f923325947c989443dfc82936527a8c477dc0ff9d86e9f22
197,c6a0773b8469d9cc0a3f3d9f997d2f9eba47b5901e7375dac899b01286b9450b
203,c1bf7a30b169969439e776f7abaae2843ffede6f0497f7168d11a9c0e4191bba
220,9b96b83222aabe7d5510540b55e4e8c847e1efdce523b1c526d4a82684652a63
226,4f058d5a3ba0731308f9b158a9ad6bef8eeb6ecdc30197b0afe79b746719c0b6
227,d6525a729895ccb526bae6e64205bc98e8d12fb07c69e02249d0c53ee833a4a4
229,2c88c51c450e4e2f788afde334e3009272b74d3adf17d5751b8c24aa6c1b9ad1
231,068cc8a89c58452b45f1ecf764b2470b0ee9c0cfd25966ba3762301c265cfb9d
234,ddfa96d6d0cf9d5d211f4ded0a5b168c6e02919a218f9de3196407735b7e1b23
235,178a6f078c10b7c7f9d1783685c0d5672c9eb3e3472a58a70608cde290b45f10
239,1a8548fb2cde2ca5f6562689ed8b9a6c31c06e400e67f7de025b2ea3dade35c9
245,a5397ad4d5fe97dc91816cca0cc3554d37dd07775269b67fd9eba7a2ffe190df
247,452592d81740e89656ca44733155f1f98e3495604cd1a6807f424b144949b829
248,7be2127afa62c5d529d20408db27570649b33efca1ef90fbb8b593070d8f9970
250,10ec3a09915d2640c341c3c8aa21f3a3ee781f55a8a2d85695fbc4bd3a6aa952
277,cc33778eea53223ac42c85600baad44c5c1d6b8f45080fa15db3b382c2cdb4f6
278,800ddcfec4c08c527febcaf2dd6c71f626d542919e9b6b6be54e08cbc329bb62
331,2194ba05e81119d2393ed9d385b062136b574a2db7bb9be0adf48885db03c7fc
335,71784cdffeef5d6bb2398e11d67cadc7af390eec9bbd9f045e3e499d039afb27
341,98da93fea140ecf932efa7138fd746efc95471d28139be25b6354ee0e9c315fd
355,455032cd862aaf27fd8a8d1c3776b1e186479992523e3e945b19d5c5ef2561f6
357,784e20c423e92fe867147c031a151e2c792e8ebdcbd3c048224a93e120f22bbc
367,dea6bd7bcd6fafa623f835669ccd2e5e9e745cde5dd0cb3ce7b6f119bd72b2eb
368,d8cf856aa8e7d5709a518ec76eafaca08041bff096883f35231e867a71a351fd
398,ce332af54410ded9f4ea1a455bc8048ad75ba1d6768cdf721fd64cc6239f0aac
418,c5c2460f475dc9759515b978436e2082afdc1788542f203c5e3355a51e80da6f
423,53f637885154abbdb38d11fc2516db686a48bc8e063829059d88d4aad0ec4f2e
434,111c96849c152bd4cc0e63339b27bd9bc331329e4865cf9017c60195f7d6625f
437,cbd011970cde87b4c2c00dfd5c3722a3943e5e744a2ee77dc03e5d0937a2f5ec
438,c8ef482c453ae570f10a4e508eb2151cbf332a2ffb3c74dc885ad324bcb6ae06
442,8a38a7e39bb82e2292d44eb720aa88c0c4927ed9da4e0b1f63924385c2612fb3
443,df2a3af5098f0334a1a61da3f83839ea504f8bbba99548da8926f14daae8c5a9
448,285ae22adae8744dcfcb457daace3c1e9c2cbedc8ecdb18dd120934b1279ca15
453,ae657bec667bf6553ae9308a7eee386710a2ad04efbcab693f9b37afbf5e35a5
464,41de317de88256151ca7d27276e8dc2e8d0d6fd960013a81a4f966a79450721a
469,15c84191b0a7444c8aa14dd1d0e12a2965195bc4a6a5c905850cdf28454eae9f
470,e4098339ce828ec91b35cd5138afdc3f7504a246ddd2216dc6b2726754ce8a29
472,660543d6ec823c5021407096ab5d1ce91d403f1dfb7d9d5fce143cd8cbd72547
