query_id,persistent_inclusion,VI,persistent_omission,source_order_inclusion,seven_schedule_mean_inclusion,n_highest,dataset,model,intervention,target_support,K,status,schedule_family,catalog_size
0,0.23076923076923078,0.25641025641025639,0.51282051282051277,0.30769230769230771,0.34065934065934067,39,wands,minilm,target_only,full,20,available,original seven,42994
1,0,0,1,0,0,8,wands,minilm,target_only,full,20,available,original seven,42994
2,0.066225165562913912,0.13907284768211919,0.79470198675496684,0.13245033112582782,0.12488174077578051,151,wands,minilm,target_only,full,20,available,original seven,42994
3,0.090909090909090912,0.16363636363636364,0.74545454545454548,0.12727272727272726,0.15844155844155844,55,wands,minilm,target_only,full,20,available,original seven,42994
4,0,0.13043478260869565,0.86956521739130432,0.086956521739130432,0.062111801242236024,23,wands,minilm,target_only,full,20,available,original seven,42994
5,0,0.12290502793296089,0.87709497206703912,0.05027932960893855,0.0518754988028731,179,wands,minilm,target_only,full,20,available,original seven,42994
6,0,0.093023255813953487,0.90697674418604646,0.046511627906976744,0.049833887043189369,43,wands,minilm,target_only,full,20,available,original seven,42994
7,0.17391304347826086,0.30434782608695654,0.52173913043478259,0.34782608695652173,0.29192546583850931,23,wands,minilm,target_only,full,20,available,original seven,42994
9,0.12162162162162163,0.28378378378378377,0.59459459459459463,0.27027027027027029,0.24710424710424708,74,wands,minilm,target_only,full,20,available,original seven,42994
10,0.23809523809523808,0.33333333333333331,0.42857142857142855,0.52380952380952384,0.40816326530612246,21,wands,minilm,target_only,full,20,available,original seven,42994
11,0.1076923076923077,0.24615384615384617,0.64615384615384619,0.29230769230769232,0.1956043956043956,65,wands,minilm,target_only,full,20,available,original seven,42994
13,0.2391304347826087,0.19565217391304349,0.56521739130434778,0.30434782608695654,0.32608695652173914,46,wands,minilm,target_only,full,20,available,original seven,42994
14,0.25,0.34999999999999998,0.40000000000000002,0.29999999999999999,0.40000000000000002,20,wands,minilm,target_only,full,20,available,original seven,42994
16,0,0.25,0.75,0.25,0.10714285714285714,4,wands,minilm,target_only,full,20,available,original seven,42994
17,0.23809523809523808,0.2857142857142857,0.47619047619047616,0.33333333333333331,0.38095238095238093,21,wands,minilm,target_only,full,20,available,original seven,42994
20,0,0,1,0,0,12,wands,minilm,target_only,full,20,available,original seven,42994
22,0.045454545454545456,0.18181818181818182,0.77272727272727271,0.045454545454545456,0.07792207792207792,22,wands,minilm,target_only,full,20,available,original seven,42994
26,0.0011415525114155251,0.050228310502283102,0.94863013698630139,0.017123287671232876,0.018101761252446183,876,wands,minilm,target_only,full,20,available,original seven,42994
27,0.01,0.040000000000000001,0.94999999999999996,0.01,0.015714285714285715,100,wands,minilm,target_only,full,20,available,original seven,42994
28,0.057142857142857141,0.10857142857142857,0.8342857142857143,0.11428571428571428,0.096326530612244901,175,wands,minilm,target_only,full,20,available,original seven,42994
31,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
35,0.019607843137254902,0.058823529411764705,0.92156862745098034,0.019607843137254902,0.042016806722689072,51,wands,minilm,target_only,full,20,available,original seven,42994
36,0.081081081081081086,0.27027027027027029,0.64864864864864868,0.16216216216216217,0.20463320463320461,37,wands,minilm,target_only,full,20,available,original seven,42994
37,0.0090909090909090905,0.0090909090909090905,0.98181818181818181,0.018181818181818181,0.012987012987012988,110,wands,minilm,target_only,full,20,available,original seven,42994
38,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
39,0,0.064516129032258063,0.93548387096774188,0.064516129032258063,0.036866359447004608,31,wands,minilm,target_only,full,20,available,original seven,42994
40,0.17499999999999999,0.29999999999999999,0.52500000000000002,0.27500000000000002,0.29285714285714282,40,wands,minilm,target_only,full,20,available,original seven,42994
41,0.57894736842105265,0.10526315789473684,0.31578947368421051,0.68421052631578949,0.66165413533834583,19,wands,minilm,target_only,full,20,available,original seven,42994
42,0.66666666666666663,0,0.33333333333333331,0.66666666666666663,0.66666666666666663,3,wands,minilm,target_only,full,20,available,original seven,42994
44,0.060606060606060608,0.21212121212121213,0.72727272727272729,0.21212121212121213,0.14285714285714285,33,wands,minilm,target_only,full,20,available,original seven,42994
45,0,0.050000000000000003,0.94999999999999996,0.050000000000000003,0.035714285714285712,20,wands,minilm,target_only,full,20,available,original seven,42994
46,0.40000000000000002,0.20000000000000001,0.40000000000000002,0.59999999999999998,0.42857142857142855,5,wands,minilm,target_only,full,20,available,original seven,42994
48,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
50,0,0.25,0.75,0.071428571428571425,0.10714285714285714,28,wands,minilm,target_only,full,20,available,original seven,42994
51,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
54,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.59999999999999998,0.2857142857142857,5,wands,minilm,target_only,full,20,available,original seven,42994
55,0,1,0,1,0.7142857142857143,1,wands,minilm,target_only,full,20,available,original seven,42994
59,0,0.55813953488372092,0.44186046511627908,0.46511627906976744,0.28239202657807305,43,wands,minilm,target_only,full,20,available,original seven,42994
60,0,0.66666666666666663,0.33333333333333331,0.66666666666666663,0.23809523809523805,3,wands,minilm,target_only,full,20,available,original seven,42994
62,0.33333333333333331,0.22222222222222221,0.44444444444444442,0.55555555555555558,0.4285714285714286,9,wands,minilm,target_only,full,20,available,original seven,42994
63,0.15277777777777779,0.18055555555555555,0.66666666666666663,0.22222222222222221,0.25,72,wands,minilm,target_only,full,20,available,original seven,42994
64,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
65,0.10526315789473684,0.078947368421052627,0.81578947368421051,0.13157894736842105,0.13157894736842105,38,wands,minilm,target_only,full,20,available,original seven,42994
66,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
68,0.02247191011235955,0.14606741573033707,0.8314606741573034,0.14606741573033707,0.085072231139646862,89,wands,minilm,target_only,full,20,available,original seven,42994
69,0.076923076923076927,0.076923076923076927,0.84615384615384615,0.076923076923076927,0.087912087912087905,13,wands,minilm,target_only,full,20,available,original seven,42994
70,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
71,0.085106382978723402,0.2978723404255319,0.61702127659574468,0.1702127659574468,0.22796352583586624,47,wands,minilm,target_only,full,20,available,original seven,42994
72,0.10588235294117647,0.24705882352941178,0.6470588235294118,0.20000000000000001,0.21680672268907561,85,wands,minilm,target_only,full,20,available,original seven,42994
74,0.66666666666666663,0.33333333333333331,0,1,0.95238095238095244,3,wands,minilm,target_only,full,20,available,original seven,42994
75,0.25,0,0.75,0.25,0.25,4,wands,minilm,target_only,full,20,available,original seven,42994
76,0,0,1,0,0,2,wands,minilm,target_only,full,20,available,original seven,42994
77,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
78,0,0,1,0,0,3,wands,minilm,target_only,full,20,available,original seven,42994
81,0.026666666666666668,0.10666666666666667,0.8666666666666667,0.066666666666666666,0.055238095238095232,75,wands,minilm,target_only,full,20,available,original seven,42994
82,0.018867924528301886,0.11320754716981132,0.86792452830188682,0.075471698113207544,0.075471698113207544,53,wands,minilm,target_only,full,20,available,original seven,42994
84,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
86,0.20000000000000001,0.46666666666666667,0.33333333333333331,0.33333333333333331,0.35238095238095235,15,wands,minilm,target_only,full,20,available,original seven,42994
88,0,1,0,0,0.14285714285714285,1,wands,minilm,target_only,full,20,available,original seven,42994
89,0.029411764705882353,0.17647058823529413,0.79411764705882348,0.088235294117647065,0.090336134453781511,68,wands,minilm,target_only,full,20,available,original seven,42994
91,0,0.25,0.75,0.125,0.10714285714285714,8,wands,minilm,target_only,full,20,available,original seven,42994
93,0,0.017241379310344827,0.98275862068965514,0,0.0024630541871921183,58,wands,minilm,target_only,full,20,available,original seven,42994
94,0,0.25,0.75,0.25,0.071428571428571425,4,wands,minilm,target_only,full,20,available,original seven,42994
95,0,0.020408163265306121,0.97959183673469385,0,0.0029154518950437317,49,wands,minilm,target_only,full,20,available,original seven,42994
97,0,1,0,1,0.14285714285714285,1,wands,minilm,target_only,full,20,available,original seven,42994
101,0,0,1,0,0,4,wands,minilm,target_only,full,20,available,original seven,42994
102,0.070175438596491224,0.45614035087719296,0.47368421052631576,0.35087719298245612,0.31328320802005011,57,wands,minilm,target_only,full,20,available,original seven,42994
104,0.25,0.083333333333333329,0.66666666666666663,0.33333333333333331,0.32142857142857145,12,wands,minilm,target_only,full,20,available,original seven,42994
107,0,0.11627906976744186,0.88372093023255816,0.069767441860465115,0.036544850498338867,43,wands,minilm,target_only,full,20,available,original seven,42994
108,0.20987654320987653,0.07407407407407407,0.71604938271604934,0.24691358024691357,0.2433862433862434,81,wands,minilm,target_only,full,20,available,original seven,42994
109,0.10256410256410256,0.71794871794871795,0.17948717948717949,0.51282051282051277,0.45421245421245426,39,wands,minilm,target_only,full,20,available,original seven,42994
111,0.15942028985507245,0.2608695652173913,0.57971014492753625,0.24637681159420291,0.25465838509316768,69,wands,minilm,target_only,full,20,available,original seven,42994
112,0.033834586466165412,0.15789473684210525,0.80827067669172936,0.075187969924812026,0.10580021482277122,266,wands,minilm,target_only,full,20,available,original seven,42994
114,0,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.095238095238095233,3,wands,minilm,target_only,full,20,available,original seven,42994
115,0.034653465346534656,0.099009900990099015,0.86633663366336633,0.099009900990099015,0.082743988684582742,202,wands,minilm,target_only,full,20,available,original seven,42994
119,0.037974683544303799,0.044303797468354431,0.91772151898734178,0.050632911392405063,0.052441229656419522,158,wands,minilm,target_only,full,20,available,original seven,42994
120,0.39393939393939392,0.060606060606060608,0.54545454545454541,0.45454545454545453,0.44588744588744594,33,wands,minilm,target_only,full,20,available,original seven,42994
121,0.0041322314049586778,0.060606060606060608,0.93526170798898067,0.024793388429752067,0.022628886265249899,726,wands,minilm,target_only,full,20,available,original seven,42994
122,0.0026666666666666666,0.040000000000000001,0.95733333333333337,0.037333333333333336,0.016,375,wands,minilm,target_only,full,20,available,original seven,42994
123,0,0.080213903743315509,0.9197860962566845,0.0106951871657754,0.021390374331550801,187,wands,minilm,target_only,full,20,available,original seven,42994
124,0,0.027777777777777776,0.97222222222222221,0.0092592592592592587,0.0074955908289241618,324,wands,minilm,target_only,full,20,available,original seven,42994
125,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
126,0.0082987551867219917,0.13278008298755187,0.85892116182572609,0.062240663900414939,0.050978067575577941,241,wands,minilm,target_only,full,20,available,original seven,42994
127,0.018867924528301886,0.20754716981132076,0.77358490566037741,0.10062893081761007,0.10152740341419586,159,wands,minilm,target_only,full,20,available,original seven,42994
128,0.017699115044247787,0.23893805309734514,0.74336283185840712,0.097345132743362831,0.11504424778761062,113,wands,minilm,target_only,full,20,available,original seven,42994
129,0.071428571428571425,0.035714285714285712,0.8928571428571429,0.071428571428571425,0.076530612244897961,28,wands,minilm,target_only,full,20,available,original seven,42994
130,0.0106951871657754,0.037433155080213901,0.95187165775401072,0.0106951871657754,0.016042780748663103,187,wands,minilm,target_only,full,20,available,original seven,42994
131,0.017341040462427744,0.20231213872832371,0.78034682080924855,0.092485549132947972,0.10074318744838975,173,wands,minilm,target_only,full,20,available,original seven,42994
132,0,0.19047619047619047,0.80952380952380953,0.14285714285714285,0.091836734693877542,42,wands,minilm,target_only,full,20,available,original seven,42994
137,0.025000000000000001,0.13750000000000001,0.83750000000000002,0.074999999999999997,0.071428571428571425,80,wands,minilm,target_only,full,20,available,original seven,42994
138,0.063380281690140844,0.19718309859154928,0.73943661971830987,0.14084507042253522,0.12374245472837021,142,wands,minilm,target_only,full,20,available,original seven,42994
140,0.33333333333333331,0,0.66666666666666663,0.33333333333333331,0.33333333333333331,3,wands,minilm,target_only,full,20,available,original seven,42994
141,0.33333333333333331,0,0.66666666666666663,0.33333333333333331,0.33333333333333331,3,wands,minilm,target_only,full,20,available,original seven,42994
142,0,0.20000000000000001,0.80000000000000004,0,0.028571428571428571,5,wands,minilm,target_only,full,20,available,original seven,42994
143,0,0,1,0,0,3,wands,minilm,target_only,full,20,available,original seven,42994
144,0.034482758620689655,0.34482758620689657,0.62068965517241381,0.16379310344827586,0.1539408866995074,116,wands,minilm,target_only,full,20,available,original seven,42994
145,0.0625,0.125,0.8125,0.125,0.1294642857142857,32,wands,minilm,target_only,full,20,available,original seven,42994
146,0,0.25,0.75,0.25,0.10714285714285714,4,wands,minilm,target_only,full,20,available,original seven,42994
147,0.83333333333333337,0,0.16666666666666666,0.83333333333333337,0.83333333333333337,12,wands,minilm,target_only,full,20,available,original seven,42994
148,0.020618556701030927,0.067010309278350513,0.91237113402061853,0.046391752577319589,0.048600883652430045,194,wands,minilm,target_only,full,20,available,original seven,42994
150,0.61904761904761907,0.2857142857142857,0.095238095238095233,0.7142857142857143,0.85034013605442182,21,wands,minilm,target_only,full,20,available,original seven,42994
151,0.0015873015873015873,0.031746031746031744,0.96666666666666667,0.015873015873015872,0.012698412698412698,630,wands,minilm,target_only,full,20,available,original seven,42994
153,0.068965517241379309,0.11724137931034483,0.81379310344827582,0.10344827586206896,0.11133004926108374,145,wands,minilm,target_only,full,20,available,original seven,42994
155,0.125,0.25,0.625,0.125,0.19642857142857142,8,wands,minilm,target_only,full,20,available,original seven,42994
158,0.20454545454545456,0.5,0.29545454545454547,0.38636363636363635,0.44805194805194809,44,wands,minilm,target_only,full,20,available,original seven,42994
159,0.15053763440860216,0.16129032258064516,0.68817204301075274,0.20430107526881722,0.23348694316436253,93,wands,minilm,target_only,full,20,available,original seven,42994
160,0.039823008849557522,0.10176991150442478,0.8584070796460177,0.070796460176991149,0.0720606826801517,226,wands,minilm,target_only,full,20,available,original seven,42994
161,0,0.34210526315789475,0.65789473684210531,0.052631578947368418,0.11654135338345863,38,wands,minilm,target_only,full,20,available,original seven,42994
163,0.34042553191489361,0.1276595744680851,0.53191489361702127,0.40425531914893614,0.3981762917933131,47,wands,minilm,target_only,full,20,available,original seven,42994
164,0.0078125,0.0546875,0.9375,0.0546875,0.03125,128,wands,minilm,target_only,full,20,available,original seven,42994
165,0.15942028985507245,0.14492753623188406,0.69565217391304346,0.2318840579710145,0.2236024844720497,69,wands,minilm,target_only,full,20,available,original seven,42994
166,0.5,0.30769230769230771,0.19230769230769232,0.61538461538461542,0.63186813186813184,26,wands,minilm,target_only,full,20,available,original seven,42994
167,0.10344827586206896,0.16091954022988506,0.73563218390804597,0.21839080459770116,0.19211822660098524,87,wands,minilm,target_only,full,20,available,original seven,42994
169,0.037037037037037035,0.18518518518518517,0.77777777777777779,0.1111111111111111,0.12698412698412698,27,wands,minilm,target_only,full,20,available,original seven,42994
170,0.12121212121212122,0.15151515151515152,0.72727272727272729,0.17171717171717171,0.20057720057720058,99,wands,minilm,target_only,full,20,available,original seven,42994
172,0.2857142857142857,0.38095238095238093,0.33333333333333331,0.47619047619047616,0.48979591836734687,42,wands,minilm,target_only,full,20,available,original seven,42994
173,0,0,1,0,0,4,wands,minilm,target_only,full,20,available,original seven,42994
175,0.12857142857142856,0.15714285714285714,0.7142857142857143,0.21428571428571427,0.22244897959183674,70,wands,minilm,target_only,full,20,available,original seven,42994
176,0.43478260869565216,0.17391304347826086,0.39130434782608697,0.52173913043478259,0.50931677018633537,23,wands,minilm,target_only,full,20,available,original seven,42994
