query_id,Recall@20,VI@20,Robust@20,Never@20,C0_Recall@20,C1_Recall@20,C2s1_Recall@20,C2s2_Recall@20,C2s3_Recall@20,C2s4_Recall@20,C2s5_Recall@20,Recall@100,VI@100,Robust@100,Never@100,C0_Recall@100,C1_Recall@100,C2s1_Recall@100,C2s2_Recall@100,C2s3_Recall@100,C2s4_Recall@100,C2s5_Recall@100,rank_range,worst_schedule@20,schedule_spread@20,worst_schedule@100,schedule_spread@100
0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7948717948717948,0.0,0.7948717948717948,0.20512820512820512,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.0,0.3333333333333333,0.0,0.7948717948717948,0.0
1,0.125,0.0,0.125,0.875,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.875,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0
2,0.12582781456953643,0.0,0.12582781456953643,0.8741721854304636,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.6556291390728477,0.0,0.6556291390728477,0.3443708609271523,0.6556291390728477,0.6556291390728477,0.6556291390728477,0.6556291390728477,0.6556291390728477,0.6556291390728477,0.6556291390728477,0.0,0.12582781456953643,0.0,0.6556291390728477,0.0
3,0.10909090909090909,0.0,0.10909090909090909,0.8909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.18181818181818182,0.0,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.10909090909090909,0.0,0.18181818181818182,0.0
4,0.17391304347826086,0.0,0.17391304347826086,0.8260869565217391,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.30434782608695654,0.0,0.30434782608695654,0.6956521739130435,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.0,0.17391304347826086,0.0,0.30434782608695654,0.0
5,0.1005586592178771,0.0,0.1005586592178771,0.8994413407821229,0.1005586592178771,0.1005586592178771,0.1005586592178771,0.1005586592178771,0.1005586592178771,0.1005586592178771,0.1005586592178771,0.3743016759776536,0.0,0.3743016759776536,0.6256983240223464,0.3743016759776536,0.3743016759776536,0.3743016759776536,0.3743016759776536,0.3743016759776536,0.3743016759776536,0.3743016759776536,0.0,0.1005586592178771,0.0,0.3743016759776536,0.0
6,0.13953488372093023,0.0,0.13953488372093023,0.8604651162790697,0.13953488372093023,0.13953488372093023,0.13953488372093023,0.13953488372093023,0.13953488372093023,0.13953488372093023,0.13953488372093023,0.20930232558139536,0.0,0.20930232558139536,0.7906976744186046,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.0,0.13953488372093023,0.0,0.20930232558139536,0.0
7,0.4782608695652174,0.0,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.6086956521739131,0.0,0.6086956521739131,0.391304347826087,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.0,0.4782608695652174,0.0,0.6086956521739131,0.0
9,0.24324324324324326,0.0,0.24324324324324326,0.7567567567567568,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.7702702702702703,0.0,0.7702702702702703,0.22972972972972974,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.0,0.24324324324324326,0.0,0.7702702702702703,0.0
10,0.5238095238095238,0.0,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9047619047619048,0.0,0.9047619047619048,0.09523809523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.0,0.5238095238095238,0.0,0.9047619047619048,0.0
11,0.2923076923076923,0.0,0.2923076923076923,0.7076923076923077,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.9538461538461539,0.0,0.9538461538461539,0.046153846153846156,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.0,0.2923076923076923,0.0,0.9538461538461539,0.0
13,0.2608695652173913,0.0,0.2608695652173913,0.7391304347826086,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.717391304347826,0.0,0.717391304347826,0.2826086956521739,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.0,0.2608695652173913,0.0,0.717391304347826,0.0
14,0.45,0.0,0.45,0.55,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.7,0.0,0.7,0.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.45,0.0,0.7,0.0
16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
17,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.3333333333333333,0.0,0.7142857142857143,0.0
