run,stage,seconds
S1_s42,final_catalog_generation,1.0940000000409782
S1_s42,independent_schedule_audit,24.219000000040978
S1_s42,test_ranking,1.297000000020489
S1_s42_lr0.0003,dev_catalog_generation,4.030999999726191
S1_s42_lr0.0003,dev_ranking,0.3270000002812594
S1_s42_lr0.0003,invariance,0.563000000314787
S1_s42_lr0.0003,training,1.733999999705702
S1_s42_lr0.001,dev_catalog_generation,4.046999999554828
S1_s42_lr0.001,dev_ranking,0.5169999999925494
S1_s42_lr0.001,invariance,0.5779999999795109
S1_s42_lr0.001,training,2.4210000003222376
S2_s42,final_catalog_generation,1.0
S2_s42,independent_schedule_audit,25.469000000040978
S2_s42,test_ranking,1.297000000020489
S2_s42_lr0.0003,dev_catalog_generation,4.172000000020489
S2_s42_lr0.0003,dev_ranking,0.37599999993108213
S2_s42_lr0.0003,invariance,0.5620000001508743
S2_s42_lr0.0003,training,1.7490000000689179
S2_s42_lr0.001,dev_catalog_generation,4.1890000000130385
S2_s42_lr0.001,dev_ranking,0.37400000006891787
S2_s42_lr0.001,invariance,0.5479999999515712
S2_s42_lr0.001,training,1.8429999998770654
S3_s42,final_catalog_generation,0.75
S3_s42,independent_schedule_audit,33.281999999890104
S3_s42,test_ranking,1.25
S3_s42_lr0.0003,dev_catalog_generation,3.0020000003278255
S3_s42_lr0.0003,dev_ranking,0.4660000002477318
S3_s42_lr0.0003,invariance,0.5769999998155981
S3_s42_lr0.0003,training,1.0479999999515712
S3_s42_lr0.001,dev_catalog_generation,2.327999999979511
S3_s42_lr0.001,dev_ranking,0.3589999999385327
S3_s42_lr0.001,invariance,0.5009999999310821
S3_s42_lr0.001,training,1.0300000002607703
S4_s42,final_catalog_generation,0.9689999998081475
S4_s42,independent_schedule_audit,23.47000000020489
S4_s42,test_ranking,1.25
S4_s42_lr0.0003,dev_catalog_generation,2.4369999999180436
S4_s42_lr0.0003,dev_ranking,0.39100000029429793
S4_s42_lr0.0003,invariance,0.4839999999385327
S4_s42_lr0.0003,training,0.8440000000409782
S4_s42_lr0.001,dev_catalog_generation,2.452999999979511
S4_s42_lr0.001,dev_ranking,0.3589999999385327
S4_s42_lr0.001,invariance,0.46899999980814755
S4_s42_lr0.001,training,0.8280000002123415
prepare,cache_validation_and_setup,5.7810000001918525
