method,query_id,rescued,newly_missed,net,formerly_robust_now_never,formerly_never_now_robust
S1_s42,0,2.1978021978021975,33.33333333333333,-31.135531135531135,33.33333333333333,0.0
S1_s42,1,0.0,10.714285714285714,-10.714285714285714,0.0,0.0
S1_s42,2,5.203405865657521,10.501419110690634,-5.298013245033112,5.960264900662252,3.9735099337748347
S1_s42,3,3.6363636363636362,13.506493506493507,-9.87012987012987,9.090909090909092,3.6363636363636362
S1_s42,4,13.664596273291925,10.559006211180124,3.1055900621118013,4.3478260869565215,8.695652173913043
S1_s42,5,20.989624900239424,7.102952913008778,13.886671987230647,2.2346368715083798,11.1731843575419
S1_s42,6,0.0,15.282392026578073,-15.282392026578073,2.3255813953488373,0.0
S1_s42,7,12.422360248447205,6.211180124223603,6.2111801242236035,4.3478260869565215,8.695652173913043
S1_s42,9,4.440154440154441,69.11196911196912,-64.67181467181466,64.86486486486487,0.0
S1_s42,10,1.3605442176870748,14.285714285714285,-12.925170068027212,14.285714285714285,0.0
S1_s42,11,2.1978021978021975,5.4945054945054945,-3.296703296703297,4.615384615384616,0.0
S1_s42,13,1.8633540372670807,25.15527950310559,-23.29192546583851,21.73913043478261,0.0
S1_s42,14,2.857142857142857,8.571428571428571,-5.714285714285714,5.0,0.0
S1_s42,16,0.0,50.0,-50.0,50.0,0.0
S1_s42,17,0.6802721088435374,25.850340136054424,-25.170068027210885,23.809523809523807,0.0
S1_s42,20,0.0,0.0,0.0,0.0,0.0
S1_s42,22,4.545454545454546,11.03896103896104,-6.493506493506494,9.090909090909092,4.545454545454546
S1_s42,26,4.28897586431833,4.615133724722766,-0.3261578604044357,2.3972602739726026,3.5388127853881275
S1_s42,27,2.857142857142857,32.0,-29.142857142857142,28.000000000000004,1.0
S1_s42,28,14.285714285714285,14.857142857142858,-0.5714285714285714,9.714285714285714,5.714285714285714
S1_s42,31,0.0,0.0,0.0,0.0,0.0
