dataset,model,support,family,K,aggregation,metric,mean,ci_low,ci_high,queries,pairs,distinct_texts_mean,bootstrap_seed,bootstrap_draws,intervention,not_coherent_catalog_recall
wands,minilm,full,7,20,query_macro,persistent_inclusion,0.1982339372026987,0.14534524760770254,0.2538632087761236,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,query_macro,VI,0.20848855430958252,0.16848046690618046,0.25294852497318104,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,query_macro,persistent_omission,0.5932775084877187,0.5339663595728141,0.6509877204521113,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,query_macro,tested_order_inclusion_frequency,0.2868847373930214,0.23455295194102757,0.3415053754031371,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,persistent_inclusion,0.05291228070175438,0.03606742819334048,0.07754870592828972,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,VI,0.1232280701754386,0.10082051434655104,0.15367818983914042,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,persistent_omission,0.8238596491228071,0.7722589538703591,0.8605356984193163,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,tested_order_inclusion_frequency,0.10177443609022556,0.0766055502238881,0.13800572786195692,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,persistent_inclusion,0.43633322922216966,0.3724742968440758,0.4996981322408816,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,VI,0.2330250437349881,0.19507492271699442,0.27405305467418967,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,persistent_omission,0.3306417270428422,0.2743718836791323,0.39074607512222403,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,tested_order_inclusion_frequency,0.5572196675196617,0.49684048116464735,0.6150790298650497,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,persistent_inclusion,0.21936842105263157,0.15868586051259853,0.3060780347592871,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,VI,0.23214035087719298,0.20273896536389807,0.2702670404911768,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,persistent_omission,0.5484912280701755,0.4422200823894129,0.6285781049659003,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,tested_order_inclusion_frequency,0.3264761904761904,0.2532481061721011,0.42646684960510106,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,persistent_inclusion,0.18435459661608722,0.13310235029795045,0.23869982340246365,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,VI,0.2449755689788526,0.2038967376917457,0.2896703050967893,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,persistent_omission,0.5706698344050603,0.5125023185470808,0.6275659670428575,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,tested_order_inclusion_frequency,0.2855710152856426,0.23247674297037912,0.34065346961096993,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,persistent_inclusion,0.04463157894736842,0.029909533559157875,0.06648912543917555,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,VI,0.16224561403508772,0.13380806692648442,0.20055980573433332,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,persistent_omission,0.7931228070175439,0.7375166512800774,0.8333825456900544,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,tested_order_inclusion_frequency,0.10182456140350878,0.07663314162151438,0.13831513750591018,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,query_macro,persistent_inclusion,0.4093202496873083,0.3464632196135825,0.4721876015525018,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,query_macro,VI,0.2923401526194519,0.24796233257295844,0.338616136859559,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,query_macro,persistent_omission,0.2983395976932398,0.24480438093176812,0.3558992274207079,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,query_macro,tested_order_inclusion_frequency,0.5574382929535371,0.49770905162897516,0.6151700360087244,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,pair_micro,persistent_inclusion,0.19817543859649123,0.14109950670995317,0.2802258088024521,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,pair_micro,VI,0.2923508771929825,0.25638676589537573,0.33735826954339193,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,pair_micro,persistent_omission,0.5094736842105263,0.40330394951036486,0.58947665940613,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,100,pair_micro,tested_order_inclusion_frequency,0.3280877192982456,0.2555164088561079,0.42751257141874166,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,query_macro,persistent_inclusion,0.17016014951402975,0.12133731083648198,0.22297798597858567,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,query_macro,VI,0.28209606387388564,0.2376026065615066,0.3295017192104728,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,query_macro,persistent_omission,0.5477437866120844,0.48919428952346483,0.6044533719006608,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,query_macro,tested_order_inclusion_frequency,0.2868319786707867,0.2336765503113046,0.34193387390976293,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,pair_micro,persistent_inclusion,0.03859649122807018,0.025288537086035606,0.05825757797323593,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,pair_micro,VI,0.19705263157894737,0.1632173828368133,0.2425587952707906,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,32,20,pair_micro,persistent_omission,0.7643508771929824,0.7044251112874828,0.8079790858136764,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True
