dataset,model,support,K,contrast,aggregation,quantity,mean,ci_low,ci_high,queries,pairs
wands,minilm,full,20,16 minus 7,query_macro,incremental_crossing,0.036487014669270054,0.027659919115531343,0.04670348003206291,128,7125
wands,minilm,full,20,16 minus 7,query_macro,from_original_always_in,0.013879340586611494,0.007254498033544185,0.02270281382836044,128,7125
wands,minilm,full,20,16 minus 7,query_macro,from_original_always_out,0.022607674082658572,0.0166048549340012,0.029302341059645787,128,7125
wands,minilm,full,20,16 minus 7,pair_micro,incremental_crossing,0.039017543859649124,0.031566548453167614,0.04896923560472718,128,7125
wands,minilm,full,20,16 minus 7,pair_micro,from_original_always_in,0.008280701754385965,0.005540475849198916,0.012140535094499288,128,7125
wands,minilm,full,20,16 minus 7,pair_micro,from_original_always_out,0.030736842105263156,0.024566017068245315,0.03852776833930194,128,7125
wands,minilm,full,100,16 minus 7,query_macro,incremental_crossing,0.05931510888446378,0.042629278785921654,0.08030200949557548,128,7125
wands,minilm,full,100,16 minus 7,query_macro,from_original_always_in,0.02701297953486139,0.016727139506253107,0.03965318079574086,128,7125
wands,minilm,full,100,16 minus 7,query_macro,from_original_always_out,0.032302129349602395,0.01949965197015693,0.05112167102258904,128,7125
wands,minilm,full,100,16 minus 7,pair_micro,incremental_crossing,0.06021052631578947,0.051705353722842566,0.06981864985706795,128,7125
wands,minilm,full,100,16 minus 7,pair_micro,from_original_always_in,0.02119298245614035,0.015891534637141567,0.028292547844024206,128,7125
wands,minilm,full,100,16 minus 7,pair_micro,from_original_always_out,0.039017543859649124,0.0317627277446464,0.04631238475611203,128,7125
wands,minilm,full,20,32 minus 16,query_macro,incremental_crossing,0.037120494895033065,0.026817760735057723,0.04876547737297186,128,7125
wands,minilm,full,20,32 minus 16,query_macro,from_original_always_in,0.014194447102057438,0.006194759147813164,0.024090983081380784,128,7125
wands,minilm,full,20,32 minus 16,query_macro,from_original_always_out,0.022926047792975624,0.016714361712907983,0.030529220321713207,128,7125
wands,minilm,full,20,32 minus 16,pair_micro,incremental_crossing,0.03480701754385965,0.028222095587331974,0.043682908688816975,128,7125
wands,minilm,full,20,32 minus 16,pair_micro,from_original_always_in,0.006035087719298246,0.003999941211052322,0.008892193168735126,128,7125
wands,minilm,full,20,32 minus 16,pair_micro,from_original_always_out,0.028771929824561403,0.023290739715927405,0.036069037615368914,128,7125
wands,minilm,full,100,32 minus 16,query_macro,incremental_crossing,0.04992865147890553,0.03789656518224248,0.06378602396449239,128,7125
wands,minilm,full,100,32 minus 16,query_macro,from_original_always_in,0.02232679584341941,0.015210608791607372,0.03052643122383249,128,7125
wands,minilm,full,100,32 minus 16,query_macro,from_original_always_out,0.027601855635486127,0.017794487874197393,0.03967920999536033,128,7125
wands,minilm,full,100,32 minus 16,pair_micro,incremental_crossing,0.052491228070175436,0.04718962149609792,0.058823529411764705,128,7125
wands,minilm,full,100,32 minus 16,pair_micro,from_original_always_in,0.019508771929824562,0.014718153568705634,0.02646517907769403,128,7125
wands,minilm,full,100,32 minus 16,pair_micro,from_original_always_out,0.03298245614035088,0.027690678060040455,0.037320800436274344,128,7125
wands,minilm,common_all_fitting,20,16 minus 7,query_macro,incremental_crossing,0.03983613759428977,0.00935920944242955,0.08832849479928281,48,354
wands,minilm,common_all_fitting,20,16 minus 7,query_macro,from_original_always_in,0.005166361416361416,0.0003720238095238095,0.011763583638583638,48,354
wands,minilm,common_all_fitting,20,16 minus 7,query_macro,from_original_always_out,0.034669776177928345,0.005065699698851873,0.08361993626090093,48,354
wands,minilm,common_all_fitting,20,16 minus 7,pair_micro,incremental_crossing,0.03389830508474576,0.018461254612546128,0.04985337243401759,48,354
wands,minilm,common_all_fitting,20,16 minus 7,pair_micro,from_original_always_in,0.011299435028248588,0.0029411764705882353,0.020450013943112102,48,354
wands,minilm,common_all_fitting,20,16 minus 7,pair_micro,from_original_always_out,0.022598870056497175,0.008771929824561403,0.03939475399152817,48,354
wands,minilm,common_all_fitting,100,16 minus 7,query_macro,incremental_crossing,0.07438115427245862,0.0250822426994302,0.14023319461838482,48,354
wands,minilm,common_all_fitting,100,16 minus 7,query_macro,from_original_always_in,0.030737876254180604,0.009103260869565217,0.059103260869565216,48,354
wands,minilm,common_all_fitting,100,16 minus 7,query_macro,from_original_always_out,0.04364327801827802,0.007523148148148148,0.09506523569023569,48,354
wands,minilm,common_all_fitting,100,16 minus 7,pair_micro,incremental_crossing,0.04519774011299435,0.02475203792464052,0.07407407407407407,48,354
wands,minilm,common_all_fitting,100,16 minus 7,pair_micro,from_original_always_in,0.025423728813559324,0.009900990099009901,0.045627376425855515,48,354
wands,minilm,common_all_fitting,100,16 minus 7,pair_micro,from_original_always_out,0.01977401129943503,0.007791955126585477,0.036290322580645164,48,354
wands,minilm,common_all_fitting,20,32 minus 16,query_macro,incremental_crossing,0.01264649702149702,0.001736111111111111,0.02705717315092315,48,354
wands,minilm,common_all_fitting,20,32 minus 16,query_macro,from_original_always_in,0.0079119375994376,0.0011574074074074073,0.017746142746142748,48,354
wands,minilm,common_all_fitting,20,32 minus 16,query_macro,from_original_always_out,0.004734559422059422,0.0,0.01230222323972324,48,354
wands,minilm,common_all_fitting,20,32 minus 16,pair_micro,incremental_crossing,0.03672316384180791,0.00796812749003984,0.07120841506550389,48,354
wands,minilm,common_all_fitting,20,32 minus 16,pair_micro,from_original_always_in,0.01977401129943503,0.005555170821791321,0.03571428571428571,48,354
wands,minilm,common_all_fitting,20,32 minus 16,pair_micro,from_original_always_out,0.01694915254237288,0.0,0.03975578607172643,48,354
wands,minilm,common_all_fitting,100,32 minus 16,query_macro,incremental_crossing,0.05521619584119584,0.00841255099067599,0.11916600471287966,48,354
wands,minilm,common_all_fitting,100,32 minus 16,query_macro,from_original_always_in,0.02538665038665039,0.0016025641025641027,0.07083174348799348,48,354
wands,minilm,common_all_fitting,100,32 minus 16,query_macro,from_original_always_out,0.029829545454545456,0.0,0.07672821969696936,48,354
wands,minilm,common_all_fitting,100,32 minus 16,pair_micro,incremental_crossing,0.025423728813559324,0.010168632615666515,0.04635809578654381,48,354
wands,minilm,common_all_fitting,100,32 minus 16,pair_micro,from_original_always_in,0.014124293785310734,0.0035087719298245615,0.026881720430107527,48,354
wands,minilm,common_all_fitting,100,32 minus 16,pair_micro,from_original_always_out,0.011299435028248588,0.0,0.02894736842105263,48,354
esci,minilm,full,20,exhaustive_target minus 7,query_macro,incremental_crossing,0.0033612702916828406,0.0016663694435617592,0.005471741852002373,499,4434
esci,minilm,full,20,exhaustive_target minus 7,query_macro,from_original_always_in,0.0012280494710872705,0.0004006370705285776,0.0022767256037676178,499,4434
esci,minilm,full,20,exhaustive_target minus 7,query_macro,from_original_always_out,0.00213322082059557,0.0007514650513147507,0.00398409247732895,499,4434
esci,minilm,full,20,exhaustive_target minus 7,pair_micro,incremental_crossing,0.004285069914298602,0.0023457521392460717,0.006440186773159667,499,4434
esci,minilm,full,20,exhaustive_target minus 7,pair_micro,from_original_always_in,0.0020297699594046007,0.0006963788300835655,0.0035548248800795113,499,4434
esci,minilm,full,20,exhaustive_target minus 7,pair_micro,from_original_always_out,0.0022552999548940008,0.0009317439347055046,0.0036900794711685,499,4434
esci,minilm,full,100,exhaustive_target minus 7,query_macro,incremental_crossing,0.0007561419134565426,7.422251911229866e-05,0.0017442291991390186,499,4434
esci,minilm,full,100,exhaustive_target minus 7,query_macro,from_original_always_in,0.00029689007644919464,0.0,0.0008164477102352854,499,4434
esci,minilm,full,100,exhaustive_target minus 7,query_macro,from_original_always_out,0.000459251837007348,0.0,0.001336005344021376,499,4434
esci,minilm,full,100,exhaustive_target minus 7,pair_micro,incremental_crossing,0.0009021199819576004,0.0002172944675963422,0.0018775155875992188,499,4434
esci,minilm,full,100,exhaustive_target minus 7,pair_micro,from_original_always_in,0.0004510599909788002,0.0,0.0011518216118319357,499,4434
esci,minilm,full,100,exhaustive_target minus 7,pair_micro,from_original_always_out,0.0004510599909788002,0.0,0.0011598304343122675,499,4434
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,query_macro,incremental_crossing,0.0028692724344898256,0.0011619821402430097,0.005017566974088713,460,2578
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,query_macro,from_original_always_in,0.0009863123993558776,0.00018115942028985507,0.002073268921095008,460,2578
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,query_macro,from_original_always_out,0.0018829600351339482,0.0004776021080368907,0.0037550779534475166,460,2578
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,pair_micro,incremental_crossing,0.004654771140418929,0.002113137705464856,0.007597078994323971,460,2578
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,pair_micro,from_original_always_in,0.001939487975174554,0.00039951658648599317,0.003764139053075539,460,2578
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,pair_micro,from_original_always_out,0.0027152831652443757,0.0008139265438535511,0.004867117556688434,460,2578
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,query_macro,incremental_crossing,0.0002566425120772947,0.0,0.0006491545893719807,460,2578
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,query_macro,from_original_always_in,0.00012077294685990338,0.0,0.00036231884057971015,460,2578
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,query_macro,from_original_always_out,0.0001358695652173913,0.0,0.0004076086956521739,460,2578
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,pair_micro,incremental_crossing,0.0007757951900698216,0.0,0.0019786307874950534,460,2578
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,pair_micro,from_original_always_in,0.0003878975950349108,0.0,0.0012275210413508282,460,2578
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,pair_micro,from_original_always_out,0.0003878975950349108,0.0,0.0012106659719785218,460,2578
