dataset,model,rule,dense_always_in_lost,dense_always_out_gained,dense_crossing_included,dense_crossing_omitted,hybrid_always_in_lost,hybrid_always_out_gained,hybrid_crossing_included,hybrid_crossing_omitted
wands,minilm,lexical_ascending,0.0023190235491176,0.004312776422478,0.0757305409304272,0.1200632769647567,0.0021392875364177,0.0041615908361467,0.0677434996748606,0.0692712329606091
wands,minilm,lexical_descending,0.0042014140224026,0.0060014881528457,0.0842574383488072,0.1115363795463766,0.0027389999345968,0.0049901196781125,0.0647616116768186,0.0722531209586511
wands,minilm,field_priority_type,0.0063333330752899,0.0057366700240394,0.0833035321335738,0.11249028576161,0.0013047557534821,0.0046160382431606,0.0677697649699235,0.0692449676655462
wands,bge_base,lexical_ascending,0.0016571713606184,0.0039695212370572,0.0536884872280046,0.0656295861989614,0.0008683231279895,0.0012812386265335,0.0311147920408403,0.0441101128845631
wands,bge_base,lexical_descending,0.0020023371087828,0.0021820601055105,0.0578523259943192,0.0614657474326469,0.0014218723069748,0.0034204378017564,0.0387621179123509,0.0364627870130526
wands,bge_base,field_priority_type,0.0017545945319528,0.0048229376911934,0.0570402029732083,0.0622778704537577,0.0013403400623002,0.0012284485740901,0.033342387150048,0.0418825177753555
esci,minilm,lexical_ascending,0.0002564050660243,0.0001336005344021,0.0204008289808297,0.0199724883229971,0.0003127949019732,0.0001317289751917,0.0165043508196492,0.0161785781777749
esci,minilm,lexical_descending,0.00022772818364,0.0004031050606961,0.0203447229619552,0.0200285943418716,0.0002232581874624,0.0006171034253515,0.016692802393026,0.0159901266043981
esci,minilm,field_priority_type,0.0002564050660243,0.0001943280500394,0.0201781614234929,0.020195155880334,0.0003127949019732,0.0001317289751917,0.0166379513540513,0.0160449776433728
esci,bge_base,lexical_ascending,0.0008679520408861,0.0008267909445264,0.019507612717645,0.0171104489779213,0.0005566077209363,0.0003225868814805,0.0133774715432364,0.0096922633818799
esci,bge_base,lexical_descending,0.0013268962166757,0.0008040213156327,0.0175355597514121,0.0190825019441542,0.0001336005344021,6.2625250501002e-05,0.0107505281918876,0.0123192067332287
esci,bge_base,field_priority_type,0.0008679520408861,0.0008267909445264,0.0192809689539271,0.0173370927416392,0.0005566077209363,0.0003225868814805,0.0136279725452404,0.0094417623798759
