dataset,model,support,family,K,aggregation,metric,mean,ci_low,ci_high,queries,pairs,distinct_texts_mean,bootstrap_seed,bootstrap_draws,intervention,not_coherent_catalog_recall
wands,bge_base,full,7,20,query_macro,persistent_inclusion,0.31806089726559555,0.25705215616268795,0.3801813448713257,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,query_macro,VI,0.11400071162157802,0.08956929224979372,0.14232139129615934,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,query_macro,persistent_omission,0.5679383911128264,0.5067738773218599,0.6299949729316862,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,query_macro,tested_order_inclusion_frequency,0.37630690860624805,0.3146703797431179,0.43860149534122356,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,pair_micro,persistent_inclusion,0.08996491228070175,0.06437341542990843,0.12615405078924188,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,pair_micro,VI,0.09024561403508773,0.07145605735721382,0.11572855812310076,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,pair_micro,persistent_omission,0.8197894736842105,0.7607421393651727,0.8620254903158445,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,20,pair_micro,tested_order_inclusion_frequency,0.12900250626566415,0.09576599070938394,0.17579068081110807,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,query_macro,persistent_inclusion,0.5782370107855797,0.5140614683256013,0.6398489032794002,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,query_macro,VI,0.13206823934430592,0.09979100790686556,0.1686925580652016,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,query_macro,persistent_omission,0.2896947498701145,0.2373739124211539,0.3453566272970557,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,query_macro,tested_order_inclusion_frequency,0.6448744753769262,0.5863837865658393,0.7002728084112059,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,pair_micro,persistent_inclusion,0.33010526315789473,0.24466620044470236,0.4481890211547367,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,pair_micro,VI,0.13543859649122808,0.11553600951047373,0.15722305142436144,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,pair_micro,persistent_omission,0.5344561403508772,0.410664517278233,0.629711754506237,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,7,100,pair_micro,tested_order_inclusion_frequency,0.3942456140350877,0.3036233320233883,0.5147401302348399,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,16,20,query_macro,persistent_inclusion,0.306743957002406,0.2468020075985799,0.36828744123355267,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,16,20,query_macro,VI,0.15029755088740188,0.12066860116696304,0.18325313367292997,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,16,20,query_macro,persistent_omission,0.5429584921101922,0.48081614683241874,0.6045754694911352,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
wands,bge_base,full,16,20,query_macro,tested_order_inclusion_frequency,0.3776060551057645,0.31586879689681674,0.43978926497940335,128,7125,15.980491228070175,2026091701,10000,separate target-only counterfactuals,True
