dataset,model,support,family,K,aggregation,metric,mean,ci_low,ci_high,queries,pairs,distinct_texts_mean,bootstrap_seed,bootstrap_draws,intervention,not_coherent_catalog_recall,mean_pp,CI_low_pp,CI_high_pp
wands,minilm,full,7,20,query_macro,VI,0.2084885543095825,0.1684804669061804,0.252948524973181,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True,20.84885543095825,16.84804669061804,25.2948524973181
wands,minilm,full,16,20,query_macro,VI,0.2449755689788526,0.2038967376917457,0.2896703050967893,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True,24.497556897885257,20.38967376917457,28.96703050967893
wands,minilm,full,32,20,query_macro,VI,0.2820960638738856,0.2376026065615066,0.3295017192104728,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True,28.209606387388558,23.76026065615066,32.95017192104728
wands,minilm,common_all_fitting,7,20,query_macro,VI,0.1136493890569977,0.0584681425408327,0.1763088408672647,48,354,6.858757062146893,2026091701,10000,separate target-only counterfactuals,True,11.36493890569977,5.84681425408327,17.63088408672647
wands,minilm,common_all_fitting,16,20,query_macro,VI,0.1534855266512875,0.0880862308987308,0.2259730424064663,48,354,15.607344632768362,2026091701,10000,separate target-only counterfactuals,True,15.34855266512875,8.80862308987308,22.59730424064663
wands,minilm,common_all_fitting,32,20,query_macro,VI,0.1661320236727845,0.0989936324243389,0.239051575186086,48,354,31.07627118644068,2026091701,10000,separate target-only counterfactuals,True,16.61320236727845,9.899363242433889,23.9051575186086
esci,minilm,full,7,20,query_macro,VI,0.0290919832935762,0.0214280619938691,0.0380541505737535,499,4434,3.4878213802435725,2026091701,10000,separate target-only counterfactuals,True,2.90919832935762,2.14280619938691,3.80541505737535
esci,minilm,full,exhaustive_target,20,query_macro,VI,0.0324532535852591,0.0246056481511891,0.0413838397981489,499,4434,4.542850699142986,2026091701,10000,separate target-only counterfactuals,True,3.24532535852591,2.46056481511891,4.13838397981489
esci,minilm,common_all_fitting,7,20,query_macro,VI,0.0320466703173808,0.0225395418952616,0.0425457430730997,460,2578,3.316524437548487,2026091701,10000,separate target-only counterfactuals,True,3.2046670317380803,2.25395418952616,4.254574307309969
esci,minilm,common_all_fitting,exhaustive_target,20,query_macro,VI,0.0349159427518706,0.0253698658417919,0.0456374841961437,460,2578,4.281613653995345,2026091701,10000,separate target-only counterfactuals,True,3.49159427518706,2.5369865841791897,4.563748419614369
wands,bge_base,full,7,20,query_macro,VI,0.114000711621578,0.0895692922497937,0.1423213912961593,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True,11.4000711621578,8.956929224979369,14.23213912961593
wands,bge_base,full,16,20,query_macro,VI,0.1502975508874018,0.120668601166963,0.1832531336729299,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True,15.02975508874018,12.0668601166963,18.32531336729299
wands,bge_base,full,32,20,query_macro,VI,0.175452993833653,0.1443251642901526,0.2092825405538952,128,7125,31.954105263157896,2026091701,10000,separate target-only counterfactuals,True,17.5452993833653,14.43251642901526,20.92825405538952
wands,bge_base,common_all_fitting,7,20,query_macro,VI,0.0874360079239617,0.05987505631914,0.1195513798377571,92,2186,6.977127172918573,2026091701,10000,separate target-only counterfactuals,True,8.743600792396169,5.987505631914,11.95513798377571
wands,bge_base,common_all_fitting,16,20,query_macro,VI,0.1308556614329457,0.091728815689763,0.17512331453635,92,2186,15.936413540713632,2026091701,10000,separate target-only counterfactuals,True,13.08556614329457,9.172881568976301,17.512331453635
wands,bge_base,common_all_fitting,32,20,query_macro,VI,0.1760046866978214,0.1313077106981512,0.2265773278879917,92,2186,31.850411710887467,2026091701,10000,separate target-only counterfactuals,True,17.600468669782142,13.13077106981512,22.65773278879917
esci,bge_base,full,7,20,query_macro,VI,0.0242363897418906,0.0175834658080465,0.0317870853116244,499,4434,3.4878213802435725,2026091701,10000,separate target-only counterfactuals,True,2.42363897418906,1.7583465808046501,3.17870853116244
esci,bge_base,full,exhaustive_target,20,query_macro,VI,0.0313474066474967,0.023326011113845,0.040354409966062,499,4434,4.542850699142986,2026091701,10000,separate target-only counterfactuals,True,3.1347406647496703,2.3326011113845,4.035440996606201
esci,bge_base,common_all_fitting,7,20,query_macro,VI,0.0255272832489472,0.0186848401484123,0.0331556034613034,488,3587,3.414552550878171,2026091701,10000,separate target-only counterfactuals,True,2.55272832489472,1.86848401484123,3.3155603461303396
esci,bge_base,common_all_fitting,exhaustive_target,20,query_macro,VI,0.0333419638031852,0.0249772303749907,0.0427935697007498,488,3587,4.427376637858935,2026091701,10000,separate target-only counterfactuals,True,3.33419638031852,2.49772303749907,4.27935697007498
