dataset,model,support,queries,support_pairs,state,state_pairs,state_mass,state_mass_ci_low,state_mass_ci_high,conditional_mean,median,p95
esci,bge_base,full,499,4434,persistent_inclusion,2967,0.731922439609942,0.7041502978877974,0.7592873681708655,0.0059137266535685,0.0044087171554565,0.0178368687629699
esci,bge_base,full,499,4434,crossing,140,0.0242363897418906,0.0175834658080465,0.0317870853116244,0.0118053316340264,0.0093764662742614,0.022050142288208
esci,bge_base,full,499,4434,persistent_omission,1327,0.2438411706481673,0.2178488032468952,0.2701499889680333,0.0056061090670103,0.0044575929641723,0.0150470733642578
esci,bge_base,all_seven_fitting,488,3587,persistent_inclusion,2407,0.725896562315088,0.6961223505908719,0.7533290069942659,0.0062904703473497,0.0049238204956054,0.0178377628326416
esci,bge_base,all_seven_fitting,488,3587,crossing,117,0.0255272832489472,0.0186848401484123,0.0331556034613034,0.0125644628286663,0.0093764662742614,0.0268954634666442
esci,bge_base,all_seven_fitting,488,3587,persistent_omission,1063,0.2485761544359647,0.2222080313226957,0.2775395157843548,0.0062355614124,0.0052872896194458,0.0159244537353515
esci,gte_modernbert,full,499,4434,persistent_inclusion,2760,0.6812962562623982,0.6513100578422063,0.7100502543152901,0.009395260389171,0.0081853866577148,0.0250097513198852
esci,gte_modernbert,full,499,4434,crossing,296,0.058833297431182,0.0482606981628535,0.0701909077201328,0.0166667460399803,0.0138072371482849,0.0342437624931335
esci,gte_modernbert,full,499,4434,persistent_omission,1378,0.2598704463064197,0.232805989508967,0.2874830898748134,0.0110285922844187,0.009569227695465,0.0291983485221862
esci,gte_modernbert,all_seven_fitting,499,4434,persistent_inclusion,2760,0.6812962562623982,0.6513100578422063,0.7100502543152901,0.009395260389171,0.0081853866577148,0.0250097513198852
esci,gte_modernbert,all_seven_fitting,499,4434,crossing,296,0.058833297431182,0.0482606981628535,0.0701909077201328,0.0166667460399803,0.0138072371482849,0.0342437624931335
esci,gte_modernbert,all_seven_fitting,499,4434,persistent_omission,1378,0.2598704463064197,0.232805989508967,0.2874830898748134,0.0110285922844187,0.009569227695465,0.0291983485221862
esci,minilm,full,499,4434,persistent_inclusion,2719,0.6616157671762091,0.6314723915357182,0.690675753227627,0.0097181623517041,0.0068205595016479,0.0334716737270355
esci,minilm,full,499,4434,crossing,138,0.0290919832935762,0.0214280619938691,0.0380541505737535,0.0253579719394909,0.0195927917957305,0.0600473880767822
esci,minilm,full,499,4434,persistent_omission,1577,0.3092922495302148,0.280990731141122,0.3384894257139801,0.0091848053401568,0.0059930980205535,0.0297068357467651
esci,minilm,all_seven_fitting,460,2578,persistent_inclusion,1594,0.6549818355486514,0.6220968193233245,0.6875356257607573,0.0117086655695771,0.009242296218872,0.0350604653358459
esci,minilm,all_seven_fitting,460,2578,crossing,93,0.0320466703173808,0.0225395418952616,0.0425457430730997,0.0255190452912937,0.0188463330268859,0.0600473880767822
esci,minilm,all_seven_fitting,460,2578,persistent_omission,891,0.3129714941339677,0.2812877066724691,0.3456690321060733,0.0118869323740799,0.0100014507770538,0.032631516456604
wands,bge_base,full,308,21299,persistent_inclusion,1749,0.3017646316393629,0.2631193293696425,0.3422700103487918,0.015537381619179,0.0127648115158081,0.03279310464859
