method,reference,split,mode,metric,delta_pp,ci_low_pp,ci_high_pp,queries,draws,bootstrap_seed,correction
S1_s42,Original,dev,catalog,Recall@20,-17.176755037365815,-32.710053306206845,-4.361119659492502,17,10000,20260963,none
S1_s42,Original,dev,catalog,Recall@100,-10.268415072788983,-24.626203118678,0.6942101765142216,17,10000,20260963,none
S1_s42,Original,dev,catalog,VI@20,-12.02300075790542,-21.302292937185225,-5.2915131259895105,17,10000,20260963,none
S1_s42,Original,dev,catalog,VI@100,-12.223102433704357,-19.771842010911662,-5.544878439784464,17,10000,20260963,none
S1_s42,Original,dev,catalog,Robust@100,-3.7304229064817442,-18.573072177085706,7.860848396073951,17,10000,20260963,none
S1_s42,Original,dev,catalog,Never@100,15.953525340186104,4.24815238643974,30.699311031716032,17,10000,20260963,none
S1_s42,Canonical,dev,catalog,Recall@20,-17.231703892440663,-32.843344635369355,-4.360819534010963,17,10000,20260963,none
S1_s42,Canonical,dev,catalog,Recall@100,-10.684216164959356,-24.27275052313416,-0.7519911010207384,17,10000,20260963,none
S1_s42,Canonical,dev,catalog,VI@20,0.0,0.0,0.0,17,10000,20260963,none
S1_s42,Canonical,dev,catalog,VI@100,0.0,0.0,0.0,17,10000,20260963,none
S1_s42,Canonical,dev,catalog,Robust@100,-10.684216164959356,-24.27275052313416,-0.7519911010207384,17,10000,20260963,none
S1_s42,Canonical,dev,catalog,Never@100,10.684216164959356,0.7519911010207371,24.272750523134157,17,10000,20260963,none
S1_s42,Set-Mean,dev,catalog,Recall@20,-13.121556175946317,-28.284277599743106,-0.8516599821746881,17,10000,20260963,none
S1_s42,Set-Mean,dev,catalog,Recall@100,-12.262022255426235,-26.77329660139457,-0.13276621644647135,17,10000,20260963,none
S1_s42,Set-Mean,dev,catalog,VI@20,0.0,0.0,0.0,17,10000,20260963,none
S1_s42,Set-Mean,dev,catalog,VI@100,0.0,0.0,0.0,17,10000,20260963,none
S1_s42,Set-Mean,dev,catalog,Robust@100,-12.262022255426235,-26.77329660139457,-0.13276621644647135,17,10000,20260963,none
S1_s42,Set-Mean,dev,catalog,Never@100,12.262022255426235,0.1327662164464717,26.77329660139457,17,10000,20260963,none
S1_s42,Set-Attention_s42,dev,catalog,Recall@20,-12.352621150955926,-27.666160605842165,0.16367953431372506,17,10000,20260963,none
