method,label,split,mode,seed,Params,pairs,queries,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,minimum_macro_schedule100,units,vectors_per_product,Inclusion@20,Inclusion@100,Delta R@100 vs Original,Delta R@100 vs Canonical,Delta Inclusion@100 vs Original,Delta Inclusion@100 vs Canonical
Original,Original,dev,catalog,,0,536,17,55.12403613684388,77.82098597899308,12.02300075790542,12.223102433704357,71.28299381268583,16.493903753609807,73.9686648790251,75.43476349071403,percent; deltas in percentage points,1,,,0.0,-0.4158010921703692,,
Canonical,Canonical,dev,catalog,,0,536,17,55.17898499191873,78.23678707116345,0.0,0.0,78.23678707116345,21.763212928836552,78.23678707116345,78.23678707116345,percent; deltas in percentage points,1,,,0.4158010921703692,0.0,,
Set-Mean,Set-Mean,dev,catalog,,0,536,17,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,79.81459316163033,percent; deltas in percentage points,1,,,1.9936071826372483,1.5778060904668791,,
Set-Attention_s42,Set-Attention,dev,catalog,42.0,98561,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; deltas in percentage points,1,,,1.762926675140136,1.3471255829697668,,
S1_s42,Set Transformer,dev,catalog,42.0,462592,536,17,37.94728109947807,67.5525709062041,0.0,0.0,67.5525709062041,32.447429093795904,67.5525709062041,67.5525709062041,percent; deltas in percentage points,1,,,-10.268415072788983,-10.684216164959352,,
S2_s42,Set Transformer + Field-ID,dev,catalog,42.0,793088,536,17,47.64541754327515,74.14568412575898,0.0,0.0,74.14568412575898,25.85431587424103,74.14568412575898,74.14568412575898,percent; deltas in percentage points,1,,,-3.675301853234103,-4.091102945404472,,
S3_s42,Circular Projection,dev,catalog,42.0,249878,536,17,51.763670841261785,77.1542074228946,0.0,0.0,77.1542074228946,22.845792577105392,77.1542074228946,77.1542074228946,percent; deltas in percentage points,1,,,-0.6667785560984782,-1.0825796482688474,,
S4_s42,DeepSets,dev,catalog,42.0,593920,536,17,51.86751008032346,78.06144072135233,0.0,0.0,78.06144072135233,21.93855927864767,78.06144072135233,78.06144072135233,percent; deltas in percentage points,1,,,0.24045474235924758,-0.17534634981112163,,
Original,Original,test,catalog,,0,21299,308,36.037983988205795,63.62025687113682,11.931807342696619,12.30487480542735,57.18027461163258,30.514850582940067,60.274236266756986,63.00003161905716,percent; deltas in percentage points,1,,,0.0,0.3833754575631616,,
Canonical,Canonical,test,catalog,,0,21299,308,36.072423810213536,63.236881413573656,0.0,0.0,63.236881413573656,36.763118586426344,63.236881413573656,63.236881413573656,percent; deltas in percentage points,1,,,-0.3833754575631616,0.0,,
Set-Mean,Set-Mean,test,catalog,,0,21299,308,35.30097183020647,61.82003875366853,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,61.82003875366853,percent; deltas in percentage points,1,,,-1.8002181174682903,-1.4168426599051287,,
Set-Attention_s42,Set-Attention,test,catalog,42.0,98561,21299,308,35.24271488324723,62.17291536896218,0.0,0.0,62.17291536896218,37.82708463103782,62.17291536896218,62.17291536896218,percent; deltas in percentage points,1,,,-1.4473415021746376,-1.063966044611476,,
S1_s42,Set Transformer,test,catalog,42.0,462592,21299,308,29.879489592524124,55.09741314388711,0.0,0.0,55.09741314388711,44.90258685611288,55.09741314388711,55.09741314388711,percent; deltas in percentage points,1,,,-8.522843727249708,-8.139468269686546,,
S2_s42,Set Transformer + Field-ID,test,catalog,42.0,793088,21299,308,25.25885036889421,48.84641324611375,0.0,0.0,48.84641324611375,51.15358675388626,48.84641324611375,48.84641324611375,percent; deltas in percentage points,1,,,-14.77384362502307,-14.390468167459908,,
S3_s42,Circular Projection,test,catalog,42.0,249878,21299,308,33.45047540102069,59.06768272586933,0.0,0.0,59.06768272586933,40.93231727413066,59.06768272586933,59.06768272586933,percent; deltas in percentage points,1,,,-4.552574145267485,-4.1691986877043234,,
S4_s42,DeepSets,test,catalog,42.0,593920,21299,308,33.432282683200995,60.79469973415015,0.0,0.0,60.79469973415015,39.20530026584985,60.79469973415015,60.79469973415015,percent; deltas in percentage points,1,,,-2.825557136986667,-2.4421816794235056,,
Original,Original,test,catalog_fully_fitting,,0,6797,239,24.65511962557684,56.51602987194306,8.38461901045228,11.21575065915725,50.510954770473546,38.273294570369195,52.33832415117742,54.49472001781215,percent; deltas in percentage points,1,,,0.0,0.12149792836074624,,
Canonical,Canonical,test,catalog_fully_fitting,,0,6797,239,24.833297749811575,56.394531943582315,0.0,0.0,56.394531943582315,43.60546805641769,56.394531943582315,56.394531943582315,percent; deltas in percentage points,1,,,-0.12149792836074624,0.0,,
Set-Mean,Set-Mean,test,catalog_fully_fitting,,0,6797,239,30.05747696779471,59.75709096627618,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,59.75709096627618,percent; deltas in percentage points,1,,,3.2410610943331193,3.3625590226938655,,
Set-Attention_s42,Set-Attention,test,catalog_fully_fitting,42.0,98561,6797,239,29.78285499020509,60.342449803197596,0.0,0.0,60.342449803197596,39.657550196802404,60.342449803197596,60.342449803197596,percent; deltas in percentage points,1,,,3.8264199312545344,3.9479178596152806,,
S1_s42,Set Transformer,test,catalog_fully_fitting,42.0,462592,6797,239,25.422721535363905,50.29250408263813,0.0,0.0,50.29250408263813,49.70749591736187,50.29250408263813,50.29250408263813,percent; deltas in percentage points,1,,,-6.223525789304929,-6.102027860944183,,
