query_id,product_id,models_crossing,largest_range,best_rank,worst_rank,query,query_words,product_title,bge_base_C0,gte_modernbert_C0,minilm_C0,bge_base_C1,gte_modernbert_C1,minilm_C1,bge_base_C2s1,gte_modernbert_C2s1,minilm_C2s1,bge_base_C2s2,gte_modernbert_C2s2,minilm_C2s2,bge_base_C2s3,gte_modernbert_C2s3,minilm_C2s3,bge_base_C2s4,gte_modernbert_C2s4,minilm_C2s4,bge_base_C2s5,gte_modernbert_C2s5,minilm_C2s5,specified_case
162,34536,1,1300,3,1303,turquoise chair,2,"adjustable swivel office chair computer chair task chair mesh chair , turquoise",,,486.0,,,295.0,,,1303.0,,,21.0,,,484.0,,,3.0,,,4.0,True
181,7756,1,1867,14,1881,e12/candelabra,1,"2 watt ( 25 watt equivalent ) , t6 led , dimmable light bulb , warm white ( 2700k ) e12/candelabra base",,,14.0,,,1881.0,,,612.0,,,800.0,,,356.0,,,192.0,,,759.0,True
285,3941,3,48,6,58,"48"" sliding single track , barn door for laundry",9,modern standard single barn door hardware kit,21.0,39.0,23.0,29.0,58.0,22.0,25.0,43.0,26.0,30.0,16.0,18.0,18.0,10.0,6.0,24.0,15.0,12.0,26.0,25.0,10.0,False
210,14102,3,59,4,63,love seat wide faux leather tuxedo arm sofa,8,ethos 57.75 '' faux leather tuxedo arm loveseat,9.0,9.0,4.0,17.0,18.0,63.0,8.0,17.0,49.0,7.0,26.0,9.0,30.0,8.0,40.0,21.0,17.0,15.0,4.0,10.0,8.0,False
197,14192,3,50,5,61,desk for kids tjat ate 10 year old,8,adjustable student desk and chair kit children learning table chair set students writing table,8.0,5.0,36.0,17.0,17.0,50.0,13.0,26.0,61.0,20.0,9.0,51.0,24.0,27.0,29.0,19.0,14.0,34.0,15.0,24.0,11.0,False
224,9520,3,62,2,64,twin over full bunk beds cool desins,7,anze twin over full bunk bed,41.0,9.0,64.0,22.0,4.0,42.0,31.0,22.0,2.0,44.0,22.0,11.0,38.0,26.0,33.0,28.0,50.0,58.0,16.0,13.0,40.0,False
221,28422,3,46,9,55,small space dining table and chairs sets,7,rea 3 piece dining set,25.0,27.0,39.0,28.0,30.0,31.0,41.0,37.0,15.0,49.0,32.0,19.0,27.0,39.0,18.0,55.0,16.0,36.0,9.0,25.0,19.0,False
406,33566,3,41,7,51,refrigerator with ice an water in door,7,36 '' counter depth side by side energy star 21.5 cu . ft. smart refrigerator with family hub,8.0,25.0,25.0,45.0,12.0,30.0,32.0,37.0,32.0,21.0,35.0,12.0,45.0,31.0,10.0,7.0,46.0,50.0,9.0,31.0,51.0,False
406,16122,3,35,2,46,refrigerator with ice an water in door,7,36 '' energy star® french door 22.2 cu . ft. refrigerator with hands-free autofill,13.0,12.0,41.0,8.0,21.0,46.0,23.0,28.0,30.0,20.0,31.0,39.0,30.0,20.0,11.0,4.0,20.0,37.0,2.0,21.0,11.0,False
221,3591,3,28,11,43,small space dining table and chairs sets,7,gaskell 5 piece dining set,31.0,21.0,18.0,20.0,26.0,25.0,11.0,25.0,16.0,25.0,26.0,43.0,19.0,24.0,22.0,11.0,29.0,15.0,16.0,12.0,28.0,False
