dataset,model,K,method,catalog_size,source_ids,view_budget,invariance_basis,reference,alternative_schedule,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,newly_included_fraction,newly_included_fraction_ci_low,newly_included_fraction_ci_high,newly_omitted_fraction,newly_omitted_fraction_ci_low,newly_omitted_fraction_ci_high,absent_in_both_fraction,absent_in_both_fraction_ci_low,absent_in_both_fraction_ci_high,delta_recall,delta_recall_ci_low,delta_recall_ci_high,retained_count,newly_included_count,newly_omitted_count,absent_in_both_count,exact_cancellation_queries,all_query_denominator,changed_query_denominator,cancellation_all_fraction,cancellation_changed_fraction
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C0,query_macro,308,21299,2026091701,10000,0.30808505676265363,0.2710145128159665,0.34671406905840585,0.0,0.0,0.0,0.0,0.0,0.0,0.6919149432373465,0.653285930941594,0.7289854871840333,0.0,0.0,0.0,2273,0,0,19026,0,308,0,0.0,
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C0,pair_micro,308,21299,2026091701,10000,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.0,0.0,0.0,0.0,0.0,0.0,0.8932813747124279,0.8725764488129836,0.9100316777009135,0.0,0.0,0.0,2273,0,0,19026,0,308,0,0.0,
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C1,query_macro,308,21299,2026091701,10000,0.24248846001610014,0.20824528001567352,0.2792602587760674,0.03959368676632471,0.03193007911038953,0.048237546159647635,0.06559659674655346,0.05020585743516541,0.08343659685096329,0.6523212564710217,0.6132382572820094,0.689528339470662,-0.026002909980228757,-0.04557280062350262,-0.008135275525849675,1619,610,654,18416,57,308,211,0.18506493506493507,0.27014218009478674
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C1,pair_micro,308,21299,2026091701,10000,0.07601295835485235,0.06284420668619949,0.09238407560627411,0.028639842246114842,0.02462980012480419,0.033546959890676104,0.030705666932719845,0.026412400582832368,0.035952531684423444,0.8646415324663129,0.8396396395416174,0.88486189450991,-0.002065824686605005,-0.004377661048420457,9.474895290165196e-05,1619,610,654,18416,57,308,211,0.18506493506493507,0.27014218009478674
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C2s1,query_macro,308,21299,2026091701,10000,0.2603050485049319,0.22425186002814756,0.29808256283167534,0.03828959083286023,0.030134918744032773,0.04842867117686104,0.04778000825772172,0.036470109087640486,0.061339629158273026,0.6536253524044862,0.6147903655905521,0.6906236072403571,-0.009490417424861486,-0.025810314069676838,0.005982737177716396,1682,572,591,18454,52,308,207,0.16883116883116883,0.25120772946859904
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C2s1,pair_micro,308,21299,2026091701,10000,0.07897084370158224,0.06522162565182743,0.09608722917881261,0.026855720925865065,0.023031457938540317,0.031354054159468875,0.027747781585989954,0.023935537920407958,0.03224690524298899,0.8664256537865628,0.8419456241356276,0.886530373029726,-0.0008920606601248885,-0.002882183609373033,0.0011023924742170042,1682,572,591,18454,52,308,207,0.16883116883116883,0.25120772946859904
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C2s2,query_macro,308,21299,2026091701,10000,0.2612220641868588,0.2252810537569417,0.2999687113580372,0.0354745230131978,0.02808796738349907,0.04504301692914834,0.0468629925757948,0.03589595794125778,0.05965962630587173,0.6564404202241486,0.6176440800227985,0.693280959286073,-0.011388469562597009,-0.026417217583717095,0.0029638981914426503,1678,591,595,18435,60,308,198,0.19480519480519481,0.30303030303030304
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C2s2,pair_micro,308,21299,2026091701,10000,0.07878304145734541,0.06501692683004898,0.09593595809220642,0.027747781585989954,0.02407516538296328,0.032218891903270035,0.027935583830226773,0.024177376732674918,0.03254180658238618,0.8655335931264379,0.840855869781067,0.8853273331344018,-0.00018780224423681864,-0.0024046089655701906,0.0019721929796843347,1678,591,595,18435,60,308,198,0.19480519480519481,0.30303030303030304
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C2s3,query_macro,308,21299,2026091701,10000,0.25141353834567454,0.21676891018650227,0.28779960289573847,0.03204363576583257,0.02607141383265461,0.038921171577880005,0.05667151841697909,0.04141655641094996,0.07366815214267937,0.6598713074715138,0.6209701675430552,0.6971984325895572,-0.024627882651146505,-0.042631070660127765,-0.008676937770440707,1698,560,575,18466,59,308,195,0.19155844155844157,0.30256410256410254
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,raw_C0,C2s3,pair_micro,308,21299,2026091701,10000,0.07972205267852951,0.06596615653206278,0.0967709989810681,0.026292314193154608,0.022590637586407426,0.030647110939997925,0.026996572609042677,0.02311467438049274,0.031708325346294475,0.8669890605192732,0.8424480487634103,0.8869315170340184,-0.0007042584158880699,-0.0026608496059789496,0.0011362747849636323,1698,560,575,18466,59,308,195,0.19155844155844157,0.30256410256410254
