dataset,model,intervention,target_support,catalog_size,K,eligible_queries,highest_label_pairs,support_ids_sha256
wands,minilm,catalog_wide,full,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,catalog_wide,full,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,catalog_wide,full,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,catalog_wide,full,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,catalog_wide,full,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,catalog_wide,full,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,catalog_wide,fully_fitting,42994,20,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,catalog_wide,fully_fitting,42994,50,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,catalog_wide,fully_fitting,42994,100,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,catalog_wide,fully_fitting,42994,200,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,catalog_wide,fully_fitting,42994,500,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,catalog_wide,fully_fitting,42994,1000,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,target_only,full,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,target_only,full,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,target_only,full,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,target_only,full,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,target_only,full,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,target_only,full,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,minilm,target_only,fully_fitting,42994,20,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,target_only,fully_fitting,42994,50,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,target_only,fully_fitting,42994,100,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,target_only,fully_fitting,42994,200,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,target_only,fully_fitting,42994,500,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,minilm,target_only,fully_fitting,42994,1000,118,925,1382d29380fa5cbed44e1ac6419db859e74c40aac64c8d38e7a1e4b066214cc3
wands,bge_base,catalog_wide,full,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,catalog_wide,full,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,catalog_wide,full,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,catalog_wide,full,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,catalog_wide,full,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,catalog_wide,full,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,catalog_wide,fully_fitting,42994,20,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,catalog_wide,fully_fitting,42994,50,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,catalog_wide,fully_fitting,42994,100,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,catalog_wide,fully_fitting,42994,200,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,catalog_wide,fully_fitting,42994,500,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,catalog_wide,fully_fitting,42994,1000,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,target_only,full,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,target_only,full,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,target_only,full,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
