query_id,source_order_inclusion,mean_schedule_inclusion,persistent_inclusion,VI,persistent_omission,n_highest,dataset,model,intervention,target_support,catalog_size,K
0,0.3076923076923077,0.3186813186813187,0.23076923076923078,0.2564102564102564,0.5128205128205128,39,wands,minilm,catalog_wide,full,42994,20
1,0.0,0.0,0.0,0.0,1.0,8,wands,minilm,catalog_wide,full,42994,20
2,0.13245033112582782,0.130558183538316,0.07947019867549669,0.13245033112582782,0.7880794701986755,151,wands,minilm,catalog_wide,full,42994,20
3,0.12727272727272726,0.12727272727272726,0.09090909090909091,0.12727272727272726,0.7818181818181819,55,wands,minilm,catalog_wide,full,42994,20
4,0.08695652173913043,0.08074534161490683,0.0,0.21739130434782608,0.782608695652174,23,wands,minilm,catalog_wide,full,42994,20
5,0.05027932960893855,0.05027932960893855,0.0,0.12849162011173185,0.8715083798882681,179,wands,minilm,catalog_wide,full,42994,20
6,0.046511627906976744,0.04983388704318937,0.0,0.09302325581395349,0.9069767441860465,43,wands,minilm,catalog_wide,full,42994,20
7,0.34782608695652173,0.3105590062111801,0.17391304347826086,0.391304347826087,0.43478260869565216,23,wands,minilm,catalog_wide,full,42994,20
9,0.2702702702702703,0.2644787644787645,0.13513513513513514,0.2702702702702703,0.5945945945945946,74,wands,minilm,catalog_wide,full,42994,20
10,0.5238095238095238,0.5306122448979591,0.38095238095238093,0.2857142857142857,0.3333333333333333,21,wands,minilm,catalog_wide,full,42994,20
11,0.2923076923076923,0.2967032967032967,0.15384615384615385,0.3230769230769231,0.5230769230769231,65,wands,minilm,catalog_wide,full,42994,20
13,0.30434782608695654,0.3136645962732919,0.21739130434782608,0.2391304347826087,0.5434782608695652,46,wands,minilm,catalog_wide,full,42994,20
14,0.3,0.38571428571428573,0.25,0.3,0.45,20,wands,minilm,catalog_wide,full,42994,20
16,0.25,0.21428571428571427,0.0,0.25,0.75,4,wands,minilm,catalog_wide,full,42994,20
17,0.3333333333333333,0.3401360544217687,0.19047619047619047,0.3333333333333333,0.47619047619047616,21,wands,minilm,catalog_wide,full,42994,20
20,0.0,0.0,0.0,0.0,1.0,12,wands,minilm,catalog_wide,full,42994,20
22,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.7272727272727273,22,wands,minilm,catalog_wide,full,42994,20
26,0.017123287671232876,0.019243313763861708,0.001141552511415525,0.05136986301369863,0.9474885844748858,876,wands,minilm,catalog_wide,full,42994,20
27,0.01,0.01,0.01,0.0,0.99,100,wands,minilm,catalog_wide,full,42994,20
