Method,Label,Split,Mode,Seed,Epoch,LR,Params,Exact_pairs,Exact_queries,cNDCG_queries,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,cNDCG@10,minimum_macro_schedule_R100,Inclusion@20,Inclusion@100
Original,Original,dev,catalog,,,,0,536,17,24,55.12403613684388,77.82098597899308,12.02300075790542,12.223102433704357,71.28299381268583,16.493903753609807,73.9686648790251,83.93848078698402,75.43476349071403,,
Canonical,Canonical,dev,catalog,,,,0,536,17,24,55.17898499191873,78.23678707116345,0.0,0.0,78.23678707116345,21.763212928836552,78.23678707116345,85.0637437249716,78.23678707116345,,
Set-Mean,Set-Mean,dev,catalog,,,,0,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
Set-Attention,Set-Attention,dev,catalog,42.0,1.0,,98561,536,17,24,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,88.02894853818586,79.58391265413321,,
C1,Contextual DeepSets,dev,catalog,42.0,1.0,3e-05,229889,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
C1,Contextual DeepSets,dev,catalog,43.0,1.0,3e-05,229889,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
C1,Contextual DeepSets,dev,catalog,44.0,1.0,3e-05,229889,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
C2,Set Transformer,dev,catalog,42.0,1.0,3e-05,231041,536,17,24,50.65497001283307,79.5713756700301,0.0,0.0,79.5713756700301,20.428624329969892,79.5713756700301,87.12094083899345,79.5713756700301,,
C2,Set Transformer,dev,catalog,43.0,1.0,3e-05,231041,536,17,24,50.7677708149721,79.59993249789959,0.0,0.0,79.59993249789959,20.400067502100406,79.59993249789959,87.67652556587593,79.59993249789959,,
C2,Set Transformer,dev,catalog,44.0,1.0,3e-05,231041,536,17,24,50.883111068720666,79.76419352963677,0.0,0.0,79.76419352963677,20.23580647036323,79.76419352963677,87.47040942136746,79.76419352963677,,
C3,Set Transformer + Field-ID,dev,catalog,42.0,1.0,3e-05,1004545,536,17,24,50.539629759084505,78.88203743473599,0.0,0.0,78.88203743473599,21.117962565264012,78.88203743473599,87.37112972906438,78.88203743473599,,
C3,Set Transformer + Field-ID,dev,catalog,43.0,1.0,3e-05,1004545,536,17,24,50.58812509304696,79.00547092294703,0.0,0.0,79.00547092294703,20.994529077052963,79.00547092294703,87.58057412834553,79.00547092294703,,
C3,Set Transformer + Field-ID,dev,catalog,44.0,1.0,3e-05,1004545,536,17,24,50.7677708149721,79.5873955137965,0.0,0.0,79.5873955137965,20.41260448620351,79.5873955137965,87.60489910001773,79.5873955137965,,
C4,Circular Attention,dev,catalog,42.0,1.0,3e-05,170780,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
C4,Circular Attention,dev,catalog,43.0,1.0,3e-05,170780,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
C4,Circular Attention,dev,catalog,44.0,1.0,3e-05,170780,536,17,24,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,87.84946872666445,79.81459316163033,,
Original,Original,test,catalog,,,,0,21299,308,383,36.037983988205795,63.62025687113682,11.931807342696619,12.30487480542735,57.18027461163258,30.514850582940067,60.274236266756986,82.48268495454354,63.00003161905716,,
Canonical,Canonical,test,catalog,,,,0,21299,308,383,36.072423810213536,63.236881413573656,0.0,0.0,63.236881413573656,36.763118586426344,63.236881413573656,82.30788308805283,63.236881413573656,,
Set-Mean,Set-Mean,test,catalog,,,,0,21299,308,383,35.30097183020647,61.82003875366853,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,81.4984982365363,61.82003875366853,,
Set-Attention,Set-Attention,test,catalog,42.0,1.0,,98561,21299,308,383,35.24271488324723,62.17291536896218,0.0,0.0,62.17291536896218,37.82708463103782,62.17291536896218,81.43789806427417,62.17291536896218,,
C1,Contextual DeepSets,test,catalog,42.0,1.0,3e-05,229889,21299,308,383,35.31277466717941,61.98237641600618,0.0,0.0,61.98237641600618,38.01762358399382,61.98237641600618,81.48761625002443,61.98237641600618,,
C1,Contextual DeepSets,test,catalog,43.0,1.0,3e-05,229889,21299,308,383,35.31277466717941,61.98237641600618,0.0,0.0,61.98237641600618,38.01762358399382,61.98237641600618,81.48761625002443,61.98237641600618,,
C1,Contextual DeepSets,test,catalog,44.0,1.0,3e-05,229889,21299,308,383,35.31277466717941,61.98237641600618,0.0,0.0,61.98237641600618,38.01762358399382,61.98237641600618,81.49974008689684,61.98237641600618,,
