Method,Label,Split,Mode,Epoch,LR,Params,Exact_pairs,Exact_queries,cNDCG_queries,Seeds,Recall@20,Recall@20_seed_sd,Recall@100,Recall@100_seed_sd,VI@20,VI@20_seed_sd,VI@100,VI@100_seed_sd,Robust@100,Robust@100_seed_sd,Never@100,Never@100_seed_sd,worst_schedule@100,worst_schedule@100_seed_sd,cNDCG@10,cNDCG@10_seed_sd,minimum_macro_schedule_R100,minimum_macro_schedule_R100_seed_sd,units,Inclusion@20,Inclusion@20_seed_sd,Inclusion@100,Inclusion@100_seed_sd,Delta_R100_vs_Set-Attention,Delta_R100_vs_Canonical
Original,Original,dev,catalog,,,0,536,17,24,1,55.12403613684388,,77.82098597899308,,12.02300075790542,,12.223102433704357,,71.28299381268583,,16.493903753609807,,73.9686648790251,,83.93848078698402,,75.43476349071403,,percent; seed SD and deltas in percentage points,,,,,-1.762926675140136,-0.4158010921703692
Canonical,Canonical,dev,catalog,,,0,536,17,24,1,55.17898499191873,,78.23678707116345,,0.0,,0.0,,78.23678707116345,,21.763212928836552,,78.23678707116345,,85.0637437249716,,78.23678707116345,,percent; seed SD and deltas in percentage points,,,,,-1.3471255829697668,0.0
Set-Mean,Set-Mean,dev,catalog,,,0,536,17,24,1,51.068837275424386,,79.81459316163033,,0.0,,0.0,,79.81459316163033,,20.18540683836967,,79.81459316163033,,87.84946872666445,,79.81459316163033,,percent; seed SD and deltas in percentage points,,,,,0.23068050749711233,1.5778060904668791
Set-Attention,Set-Attention,dev,catalog,1.0,,98561,536,17,24,1,50.29990225043398,,79.58391265413321,,0.0,,0.0,,79.58391265413321,,20.41608734586679,,79.58391265413321,,88.02894853818586,,79.58391265413321,,percent; seed SD and deltas in percentage points,,,,,0.0,1.3471255829697668
C1,Contextual DeepSets,dev,catalog,1.0,3e-05,229889,536,17,24,3,51.068837275424386,0.0,79.81459316163033,0.0,0.0,0.0,0.0,0.0,79.81459316163033,0.0,20.18540683836967,0.0,79.81459316163033,0.0,87.84946872666445,0.0,79.81459316163033,0.0,percent; seed SD and deltas in percentage points,,,,,0.23068050749711233,1.5778060904668791
C2,Set Transformer,dev,catalog,1.0,3e-05,231041,536,17,24,3,50.768617298841946,0.1140728834850045,79.64516723252216,0.10406400750550285,0.0,0.0,0.0,0.0,79.64516723252216,0.10406400750550285,20.35483276747784,0.10406400750549627,79.64516723252216,0.10406400750550285,87.42262527541227,0.2808577765342653,79.64516723252216,0.10406400750550285,percent; seed SD and deltas in percentage points,,,,,0.06125457838894022,1.408380161358707
C3,Set Transformer + Field-ID,dev,catalog,1.0,3e-05,1004545,536,17,24,3,50.63184188903452,0.12018924258826381,79.15830129049317,0.3766966231029922,0.0,0.0,0.0,0.0,79.15830129049317,0.3766966231029922,20.84169870950683,0.3766966231029893,79.15830129049317,0.3766966231029922,87.51886765247588,0.12852158018080295,79.15830129049317,0.3766966231029922,percent; seed SD and deltas in percentage points,,,,,-0.42561136364004426,0.9215142193297226
C4,Circular Attention,dev,catalog,1.0,3e-05,170780,536,17,24,3,51.068837275424386,0.0,79.81459316163033,0.0,0.0,0.0,0.0,0.0,79.81459316163033,0.0,20.18540683836967,0.0,79.81459316163033,0.0,87.84946872666445,0.0,79.81459316163033,0.0,percent; seed SD and deltas in percentage points,,,,,0.23068050749711233,1.5778060904668791
Original,Original,test,catalog,,,0,21299,308,383,1,36.037983988205795,,63.62025687113682,,11.931807342696619,,12.30487480542735,,57.18027461163258,,30.514850582940067,,60.274236266756986,,82.48268495454354,,63.00003161905716,,percent; seed SD and deltas in percentage points,,,,,1.4473415021746376,0.3833754575631616
Canonical,Canonical,test,catalog,,,0,21299,308,383,1,36.072423810213536,,63.236881413573656,,0.0,,0.0,,63.236881413573656,,36.763118586426344,,63.236881413573656,,82.30788308805283,,63.236881413573656,,percent; seed SD and deltas in percentage points,,,,,1.063966044611476,0.0
Set-Mean,Set-Mean,test,catalog,,,0,21299,308,383,1,35.30097183020647,,61.82003875366853,,0.0,,0.0,,61.82003875366853,,38.17996124633148,,61.82003875366853,,81.4984982365363,,61.82003875366853,,percent; seed SD and deltas in percentage points,,,,,-0.35287661529365266,-1.4168426599051287
Set-Attention,Set-Attention,test,catalog,1.0,,98561,21299,308,383,1,35.24271488324723,,62.17291536896218,,0.0,,0.0,,62.17291536896218,,37.82708463103782,,62.17291536896218,,81.43789806427417,,62.17291536896218,,percent; seed SD and deltas in percentage points,,,,,0.0,-1.063966044611476
C1,Contextual DeepSets,test,catalog,1.0,3e-05,229889,21299,308,383,3,35.31277466717941,0.0,61.98237641600618,0.0,0.0,0.0,0.0,0.0,61.98237641600618,0.0,38.01762358399382,0.0,61.98237641600618,0.0,81.49165752898189,0.0069997004818941585,61.98237641600618,0.0,percent; seed SD and deltas in percentage points,,,,,-0.19053895295599688,-1.254504997567473
C2,Set Transformer,test,catalog,1.0,3e-05,231041,21299,308,383,3,34.87469524670237,0.0916877053342082,62.28433774021613,0.23923837053450017,0.0,0.0,0.0,0.0,62.28433774021613,0.23923837053450017,37.71566225978387,0.2392383705344964,62.28433774021613,0.23923837053450017,81.42940701548727,0.014164736416622272,62.28433774021613,0.23923837053450017,percent; seed SD and deltas in percentage points,,,,,0.11142237125395127,-0.9525436733575248
C3,Set Transformer + Field-ID,test,catalog,1.0,3e-05,1004545,21299,308,383,3,35.16293444016617,0.03395656907957462,62.38758827088585,0.06546133364447083,0.0,0.0,0.0,0.0,62.38758827088585,0.06546133364447083,37.61241172911416,0.065461333644474,62.38758827088585,0.06546133364447083,81.48500879551045,0.027501995558053653,62.38758827088585,0.06546133364447083,percent; seed SD and deltas in percentage points,,,,,0.21467290192367017,-0.8492931426878059
C4,Circular Attention,test,catalog,1.0,3e-05,170780,21299,308,383,3,35.24794152717616,0.04595427217654485,61.822328737605915,0.001983184264040228,0.0,0.0,0.0,0.0,61.822328737605915,0.001983184264040228,38.17767126239408,0.00198318426404433,61.822328737605915,0.001983184264040228,81.49765313399344,0.0005059323805064929,61.822328737605915,0.001983184264040228,percent; seed SD and deltas in percentage points,,,,,-0.3505866313562649,-1.414552675967741
Original,Original,test,catalog_fully_fitting,,,0,6797,239,378,1,24.65511962557684,,56.51602987194306,,8.38461901045228,,11.21575065915725,,50.510954770473546,,38.273294570369195,,52.33832415117742,,84.62428951326034,,54.49472001781215,,percent; seed SD and deltas in percentage points,,,,,-3.8264199312545344,0.12149792836074624
Canonical,Canonical,test,catalog_fully_fitting,,,0,6797,239,378,1,24.833297749811575,,56.394531943582315,,0.0,,0.0,,56.394531943582315,,43.60546805641769,,56.394531943582315,,84.19821708397637,,56.394531943582315,,percent; seed SD and deltas in percentage points,,,,,-3.9479178596152806,0.0
Set-Mean,Set-Mean,test,catalog_fully_fitting,,,0,6797,239,378,1,30.05747696779471,,59.75709096627618,,0.0,,0.0,,59.75709096627618,,40.24290903372381,,59.75709096627618,,84.45891707413186,,59.75709096627618,,percent; seed SD and deltas in percentage points,,,,,-0.5853588369214151,3.3625590226938655
Set-Attention,Set-Attention,test,catalog_fully_fitting,1.0,,98561,6797,239,378,1,29.78285499020509,,60.342449803197596,,0.0,,0.0,,60.342449803197596,,39.657550196802404,,60.342449803197596,,84.37532127833086,,60.342449803197596,,percent; seed SD and deltas in percentage points,,,,,0.0,3.9479178596152806
C1,Contextual DeepSets,test,catalog_fully_fitting,1.0,3e-05,229889,6797,239,378,3,30.05747696779471,0.0,60.17092822077465,0.003960150004742869,0.0,0.0,0.0,0.0,60.17092822077465,0.003960150004742869,39.82907177922534,0.003960150004730561,60.17092822077465,0.003960150004742869,84.4450751029689,0.006929967284804072,60.17092822077465,0.003960150004742869,percent; seed SD and deltas in percentage points,,,,,-0.17152158242294746,3.776396277192333
C2,Set Transformer,test,catalog_fully_fitting,1.0,3e-05,231041,6797,239,378,3,29.709047381432935,0.23759893427618847,60.5206210004022,0.5356099651477162,0.0,0.0,0.0,0.0,60.5206210004022,0.5356099651477162,39.47937899959779,0.5356099651477239,60.5206210004022,0.5356099651477162,84.33694118479086,0.01950352206938213,60.5206210004022,0.5356099651477162,percent; seed SD and deltas in percentage points,,,,,0.1781711972046054,4.126089056819886
C3,Set Transformer + Field-ID,test,catalog_fully_fitting,1.0,3e-05,1004545,6797,239,378,3,30.00287087399185,0.12816844132486507,60.582720391308044,0.19915078356694862,0.0,0.0,0.0,0.0,60.582720391308044,0.19915078356694862,39.41727960869197,0.19915078356694504,60.582720391308044,0.19915078356694862,84.39608304601148,0.03548782013304491,60.582720391308044,0.19915078356694862,percent; seed SD and deltas in percentage points,,,,,0.2402705881104481,4.188188447725729
C4,Circular Attention,test,catalog_fully_fitting,1.0,3e-05,170780,6797,239,378,3,29.778536939900704,0.2415691502885458,59.75172673497053,0.004645560582471522,0.0,0.0,0.0,0.0,59.75172673497053,0.004645560582471522,40.248273265029475,0.004645560582475625,59.75172673497053,0.004645560582471522,84.45752560619106,0.00026815071492442683,59.75172673497053,0.004645560582471522,percent; seed SD and deltas in percentage points,,,,,-0.5907230682270637,3.357194791388217
Original,Original,test,regenerated_catalog,,,0,21299,308,383,1,36.037983988205795,,63.62025687113682,,11.931807342696619,,12.30487480542735,,57.18027461163258,,30.514850582940067,,60.274236266756986,,82.48268495454354,,63.00003161905716,,percent; seed SD and deltas in percentage points,,,,,1.4473415021746376,0.3833754575631616
Canonical,Canonical,test,regenerated_catalog,,,0,21299,308,383,1,36.072423810213536,,63.236881413573656,,0.0,,0.0,,63.236881413573656,,36.763118586426344,,63.236881413573656,,82.30788308805283,,63.236881413573656,,percent; seed SD and deltas in percentage points,,,,,1.063966044611476,0.0
Set-Mean,Set-Mean,test,regenerated_catalog,,,0,21299,308,383,1,35.30097183020647,,61.82003875366853,,0.0,,0.0,,61.82003875366853,,38.17996124633148,,61.82003875366853,,81.4984982365363,,61.82003875366853,,percent; seed SD and deltas in percentage points,,,,,-0.35287661529365266,-1.4168426599051287
Set-Attention,Set-Attention,test,regenerated_catalog,1.0,,98561,21299,308,383,1,35.24271488324723,,62.17291536896218,,0.0,,0.0,,62.17291536896218,,37.82708463103782,,62.17291536896218,,81.43789806427417,,62.17291536896218,,percent; seed SD and deltas in percentage points,,,,,0.0,-1.063966044611476
