seed,epoch,examples,queries,min_count,max_count,ratio
42,1,4224,66,64,64,1.0
42,2,4224,66,64,64,1.0
42,3,4224,66,64,64,1.0
42,4,4224,66,64,64,1.0
42,5,4224,66,64,64,1.0
42,6,4224,66,64,64,1.0
42,7,4224,66,64,64,1.0
42,8,4224,66,64,64,1.0
42,9,4224,66,64,64,1.0
42,10,4224,66,64,64,1.0
42,11,4224,66,64,64,1.0
42,12,4224,66,64,64,1.0
42,13,4224,66,64,64,1.0
42,14,4224,66,64,64,1.0
42,15,4224,66,64,64,1.0
42,16,4224,66,64,64,1.0
42,17,4224,66,64,64,1.0
42,18,4224,66,64,64,1.0
42,19,4224,66,64,64,1.0
42,20,4224,66,64,64,1.0
43,1,4224,66,64,64,1.0
43,2,4224,66,64,64,1.0
43,3,4224,66,64,64,1.0
43,4,4224,66,64,64,1.0
43,5,4224,66,64,64,1.0
43,6,4224,66,64,64,1.0
43,7,4224,66,64,64,1.0
43,8,4224,66,64,64,1.0
43,9,4224,66,64,64,1.0
43,10,4224,66,64,64,1.0
43,11,4224,66,64,64,1.0
43,12,4224,66,64,64,1.0
43,13,4224,66,64,64,1.0
43,14,4224,66,64,64,1.0
43,15,4224,66,64,64,1.0
43,16,4224,66,64,64,1.0
43,17,4224,66,64,64,1.0
43,18,4224,66,64,64,1.0
43,19,4224,66,64,64,1.0
43,20,4224,66,64,64,1.0
44,1,4224,66,64,64,1.0
44,2,4224,66,64,64,1.0
44,3,4224,66,64,64,1.0
44,4,4224,66,64,64,1.0
44,5,4224,66,64,64,1.0
44,6,4224,66,64,64,1.0
44,7,4224,66,64,64,1.0
44,8,4224,66,64,64,1.0
44,9,4224,66,64,64,1.0
44,10,4224,66,64,64,1.0
44,11,4224,66,64,64,1.0
44,12,4224,66,64,64,1.0
44,13,4224,66,64,64,1.0
44,14,4224,66,64,64,1.0
44,15,4224,66,64,64,1.0
44,16,4224,66,64,64,1.0
44,17,4224,66,64,64,1.0
44,18,4224,66,64,64,1.0
44,19,4224,66,64,64,1.0
44,20,4224,66,64,64,1.0
