Method,Split,Query_type,Queries,Delta_R100_pp,Recall100
C1,dev,attribute_constraint,4,0.0,73.30729166666666
C1,dev,brand_entity_proxy,3,1.3071895424836593,88.88888888888887
C1,dev,long_descriptive,1,0.0,62.5
C1,dev,multi_constraint,2,0.0,76.13636363636364
C1,dev,product_type,7,0.0,83.16850330595071
C2,dev,attribute_constraint,4,0.06510416666666713,73.37239583333333
C2,dev,brand_entity_proxy,3,0.8714596949891074,88.45315904139433
C2,dev,long_descriptive,1,0.0,62.5
C2,dev,multi_constraint,2,-0.37878787878787845,75.75757575757575
C2,dev,product_type,7,-0.15369888020659483,83.01480442574412
C3,dev,attribute_constraint,4,0.26041666666666713,73.56770833333333
C3,dev,brand_entity_proxy,3,0.8714596949891074,88.45315904139433
C3,dev,long_descriptive,1,-8.333333333333337,54.166666666666664
C3,dev,multi_constraint,2,-0.37878787878787845,75.75757575757575
C3,dev,product_type,7,-0.257218548943655,82.91128475700705
C4,dev,attribute_constraint,4,0.0,73.30729166666666
C4,dev,brand_entity_proxy,3,1.3071895424836593,88.88888888888887
C4,dev,long_descriptive,1,0.0,62.5
C4,dev,multi_constraint,2,0.0,76.13636363636364
C4,dev,product_type,7,0.0,83.16850330595071
C1,test,attribute_constraint,43,-0.06404395008833423,53.06716333688014
C1,test,brand_entity_proxy,67,-0.09936771627715149,67.12680495356166
C1,test,long_descriptive,9,1.2335811384723961e-15,79.67563837129055
C1,test,multi_constraint,37,-0.6926789803502136,64.72255669738735
C1,test,product_type,141,-0.1574732554583874,60.445528038401825
C1,test,style,11,-0.13105630668064108,61.504834926893224
C2,test,attribute_constraint,43,1.022876554493509,54.15408384146199
C2,test,brand_entity_proxy,67,0.09329998102499838,67.3194726508638
C2,test,long_descriptive,9,1.2335811384723961e-15,79.67563837129055
C2,test,multi_constraint,37,0.2744549648365127,65.68969064257406
C2,test,product_type,141,-0.2921894494562275,60.310811844403965
C2,test,style,11,1.375198040790824,63.01108927436469
C3,test,attribute_constraint,43,0.6817117074148504,53.81291899438333
C3,test,brand_entity_proxy,67,1.0786382058688526,68.30481087570764
C3,test,long_descriptive,9,1.0582010582010606,80.73383942949161
C3,test,multi_constraint,37,0.45125293792298554,65.86648861566054
C3,test,product_type,141,-0.5165234137114614,60.08647788014874
C3,test,style,11,1.0133203351631184,62.64921156873698
C4,test,attribute_constraint,43,-0.0377661942086866,53.0934410927598
C4,test,brand_entity_proxy,67,-0.09936771627715149,67.12680495356166
C4,test,long_descriptive,9,1.2335811384723961e-15,79.67563837129055
C4,test,multi_constraint,37,-0.6926789803502136,64.72255669738735
C4,test,product_type,141,-0.5150947338279347,60.087906560032266
C4,test,style,11,-0.13105630668064108,61.504834926893224
