Method,field_key,Occurrences,Mean_weight,Seed_SD
C3,<UNK-native>,50501,0.016718664882814132,0.0013438109361748277
C3,abstractandfractals,608,0.014168937919812498,0.002049918816801431
C3,accentpillow,602,0.010813542841526233,0.0012394593034192167
C3,accentpillowheight-toptobottom,120,0.009511132958707267,0.0006240265608293846
C3,accentpillowwidth-sidetoside,114,0.010549355042303135,0.0015520318789455502
C3,accessoriesincluded,120,0.025427729706279868,0.0019330467417696283
C3,accessorytrayincluded,183,0.024966518759374567,0.0015189611502554202
C3,accommodatesfireplace,200,0.009299045745283301,0.00031837247356237614
C3,acousticallytransparent,105,0.02350387361551083,0.0009008422208921982
C3,adacompliant,7091,0.013206019494142733,0.0009209503243776548
C3,additionalframematerialdetails,605,0.014873048508688565,0.001283397183537595
C3,additionalintendeduseforchild,1368,0.009068383395124434,0.0008165165783510783
C3,additionalitem,132,0.010902855903935567,0.0013228899600697666
C3,additionalitemsincluded,285,0.015586766740034834,0.002976401468687206
C3,additionalmaterials,541,0.027719900195928068,0.00320854136279143
C3,additionalpartsrequired,1435,0.019151478409594035,0.0005865352217838816
C3,additionalpieces,190,0.024635379689565796,0.0015449342269127431
C3,additionaltoolsrequired,149,0.019059863831156133,0.002530973158626465
C3,additionaltoolsrequired ( not included ),596,0.0143833547818601,0.0010310684054424884
C3,additionaltoolsrequirednotincluded,10161,0.0147787796203157,0.003929873399236157
C3,adjustability,115,0.013797814554224366,0.0007332139394655299
C3,adjustable,1414,0.021253295730951333,0.005424139984771938
C3,adjustablebaseincluded,293,0.0128667001237412,0.0013940346345720324
C3,adjustablebed,1311,0.010405968228710634,0.0009415382661590394
C3,adjustablechairbackheight,628,0.009789193357536701,0.0018434639880190817
C3,adjustablecolortemperature,125,0.014841360931595134,0.00298414552782059
C3,adjustableextension,417,0.016367777383221434,0.002116078071590759
C3,adjustableexteriorshelves,193,0.011611650619874568,0.0009107656727342418
C3,adjustableflame,112,0.013021383819813333,0.0011315643548363095
C3,adjustableflowrate,198,0.021990916633708734,0.0044761377050682415
C3,adjustablehanginglength,779,0.0164184349849676,0.0019926643947136406
C3,adjustableheadboard,1016,0.011108087067305266,0.0011791467989252893
C3,adjustableheadrest,888,0.010858513540189733,0.0009773802295085679
C3,adjustableheight,3311,0.014230609508312833,0.0011345433462643486
C3,adjustableinteriorshelves,414,0.018765259853184734,0.0019188181246248034
C3,adjustablelevelers,118,0.0156284169843788,0.0014241738521465377
C3,adjustablelumbar,993,0.015957090797321032,0.0032126420600890916
C3,adjustablelumbarsupport,114,0.010279553415449767,0.001955009381795464
C3,adjustableseatdepth,365,0.010560405854407868,0.001346130507563258
C3,adjustableseatheight,717,0.012080865028010734,0.0022180481096280486
C3,adjustableshelves,2139,0.019219099102129298,0.0007581705399159687
C3,adjustableshelving,434,0.013256838734758034,0.001217786114162018
C3,adjustablespraypattern,207,0.028720794314587534,0.005931656178963306
C3,adjustabletableheight,174,0.014152714377804368,0.002669557883493261
C3,adjustabletableincluded,224,0.008312283069244532,0.0007968159458487735
C3,adjustabletilttension,276,0.008475769041241,0.0009956981260132649
C3,adjustablewaterflow,199,0.021375849774384965,0.004420479508095954
C3,adjustablewidth,383,0.02149450697014513,0.0007999022162254178
C3,adultassemblyrequired,25258,0.012535480606440733,0.0003360417961451708
C3,advertisements,618,0.011715390277421633,0.0010776975905770405
C3,aeratorincluded,244,0.014691729879749699,0.0005782611427825902
C3,agegroup,1489,0.023261017840228836,0.002670981025424223
C3,alarm,288,0.027131914265703837,0.010044636559517577
C3,allweather,276,0.020462468495943367,0.00013336487752799902
C3,amperage,272,0.027466399293831132,0.002672740314961157
C3,anchorkitincluded,110,0.013847902964687667,0.002259676130369964
C3,animal,203,0.024076971528999635,0.0036599923456177704
C3,animals,1043,0.0189852090661088,0.00042489439131173447
C3,animaltheme,344,0.04187891107637343,0.005372051922932309
