query_id,variant,nDCG@10_unjudged_zero,cNDCG@10
0,C0,1.0,1.0
1,C0,0.5255664792793981,0.5255664792793981
2,C0,1.0000000000000002,1.0
3,C0,0.8881549192639215,0.8881549192639215
4,C0,0.2157787538553189,0.3333333333333333
5,C0,0.9134166588977729,0.9134166588977729
6,C0,0.36288691033421755,0.8358894066114714
7,C0,0.9477344873475498,0.9477344873475498
8,C0,0.8990684392693268,0.8990684392693267
9,C0,1.0,1.0
10,C0,0.8148636649541378,0.8148636649541378
11,C0,1.0,1.0
12,C0,0.8087766406750729,0.8545365814817667
13,C0,0.84860265890399,1.0
14,C0,0.6594803070902427,0.6594803070902429
15,C0,0.8867123360927166,0.923746200905044
16,C0,0.36200124160592484,0.7458773242569754
17,C0,0.507872049484717,0.5323266901845036
18,C0,0.8623893785099407,0.8623893785099407
19,C0,0.6906478832608419,0.8669479898642711
20,C0,0.12834938311303845,0.23158837202009963
21,C0,0.5992397983790063,0.6943559465628248
22,C0,0.4117383973714472,0.4781738085681532
23,C0,1.0,1.0
24,C0,0.4805523753551916,0.4805523753551915
25,C0,1.0,1.0
26,C0,0.9368077570869662,0.9368077570869662
27,C0,0.8519147813733783,0.8519147813733783
28,C0,1.0,1.0
29,C0,0.15850703974098104,0.15850703974098104
30,C0,0.6298367615473145,0.6298367615473145
31,C0,0.5234154380140487,0.6943559465628248
32,C0,0.48495280680110575,0.6593007041766438
33,C0,0.17902218521874638,0.6254054538870031
34,C0,0.7193060087855152,0.7911434553988395
35,C0,0.4826703743434503,0.4826703743434503
36,C0,0.677632348079123,0.8611511462453226
37,C0,0.6147980983536595,0.6810523218080484
38,C0,1.0,1.0
39,C0,0.48006117753205346,0.48006117753205346
40,C0,0.7195579093455801,0.7664581846746943
41,C0,0.8519147813733781,0.8519147813733783
42,C0,0.4312592018590673,0.5159958223394444
43,C0,0.7490496219327154,0.7490496219327154
44,C0,0.6358283830274571,0.6358283830274571
45,C0,0.2290198826339896,0.29100487961372834
46,C0,0.5683506720039064,0.6301555088744605
47,C0,1.0,1.0
48,C0,1.0,1.0
49,C0,0.835780413693672,1.0
50,C0,0.381926416550834,0.562464460928097
51,C0,0.7863639746437394,0.7863639746437393
52,C0,1.0000000000000002,1.0
53,C0,1.0000000000000002,1.0
54,C0,0.6775276552346726,0.7476112839213617
55,C0,0.9999999999999999,1.0
56,C0,0.7799082337019199,0.77990823370192
57,C0,1.0,1.0
58,C0,0.022084741151463014,0.70843168056646
59,C0,1.0,1.0
60,C0,0.7605598315938817,0.7605598315938817
61,C0,0.6967580142253433,0.8871958738785231
62,C0,0.8902987292483274,0.8902987292483274
63,C0,0.8108582970019788,0.8108582970019788
64,C0,0.4584660801557625,1.0
65,C0,0.7198551821362812,0.7198551821362814
66,C0,1.0,1.0
67,C0,1.0000000000000002,1.0
68,C0,0.6371857574553588,0.6371857574553588
69,C0,0.7577808453278538,0.7890254564105806
70,C0,0.8926703881277177,1.0
71,C0,0.8502244159847391,0.8502244159847391
72,C0,0.8842222191013388,0.8842222191013388
73,C0,1.0,1.0
74,C0,0.9658130974851912,0.9671719390753982
75,C0,0.3409757388750171,0.5298241244530194
76,C0,0.41314205496973844,0.4898927308728905
77,C0,0.694355946562825,0.6943559465628248
