dataset,model,query_id,product_id,schedule,historical_rank,harmonized_rank,decision20_changed,decision100_changed
wands,bge_base,1,16679,C0,636,634,False,False
wands,bge_base,1,16679,C1,497,496,False,False
wands,bge_base,1,16679,C2s1,567,564,False,False
wands,bge_base,1,16679,C2s3,645,642,False,False
wands,bge_base,1,16679,C2s4,446,445,False,False
wands,bge_base,1,16679,C2s5,577,576,False,False
wands,bge_base,1,20054,C0,806,808,False,False
wands,bge_base,1,20054,C1,513,512,False,False
wands,bge_base,1,20054,C2s2,775,777,False,False
wands,bge_base,1,20054,C2s3,612,613,False,False
wands,bge_base,1,20054,C2s4,772,770,False,False
wands,bge_base,1,25973,C0,335,336,False,False
wands,bge_base,1,25973,C2s1,267,264,False,False
wands,bge_base,1,29449,C1,87,86,False,False
wands,bge_base,1,29449,C2s1,111,112,False,False
wands,bge_base,1,29449,C2s2,92,91,False,False
wands,bge_base,1,29449,C2s4,41,43,False,False
wands,bge_base,1,37304,C0,205,204,False,False
wands,bge_base,1,37304,C1,89,90,False,False
wands,bge_base,1,37304,C2s2,275,273,False,False
wands,bge_base,1,37304,C2s3,204,203,False,False
wands,bge_base,1,37304,C2s5,356,355,False,False
wands,bge_base,1,5235,C0,703,702,False,False
wands,bge_base,1,5235,C1,1100,1102,False,False
wands,bge_base,1,5235,C2s1,959,960,False,False
wands,bge_base,1,5235,C2s2,1061,1062,False,False
wands,bge_base,1,5235,C2s3,1117,1118,False,False
wands,bge_base,1,5235,C2s4,1123,1126,False,False
wands,bge_base,1,9929,C0,257,255,False,False
wands,bge_base,1,9929,C1,363,361,False,False
wands,bge_base,1,9929,C2s1,275,273,False,False
wands,bge_base,1,9929,C2s3,316,313,False,False
wands,bge_base,1,9929,C2s4,397,394,False,False
wands,bge_base,2,10306,C0,354,358,False,False
wands,bge_base,2,10437,C1,156,157,False,False
wands,bge_base,2,10539,C2s5,64,65,False,False
wands,bge_base,2,10550,C2s5,121,120,False,False
wands,bge_base,2,10553,C2s3,129,130,False,False
wands,bge_base,2,10561,C2s2,94,95,False,False
wands,bge_base,2,11840,C2s1,156,155,False,False
wands,bge_base,2,11840,C2s3,158,157,False,False
wands,bge_base,2,11840,C2s5,209,210,False,False
wands,bge_base,2,11871,C2s2,787,791,False,False
wands,bge_base,2,11871,C2s3,529,530,False,False
wands,bge_base,2,11871,C2s4,797,800,False,False
