representation,retriever,eligible_products,exact_pairs,queries,rescued,harmed,crossing_rate
C_order,BM25,3385,1811,220,0,0,0.0
C_order,Dense,3385,1811,220,54,85,0.07675317504141359
C_order,Hybrid,3385,1811,220,36,46,0.04527885146327996
C_repeat,BM25,3385,1811,220,3,11,0.007730535615681944
C_repeat,Dense,3385,1811,220,53,133,0.10270568746548868
C_repeat,Hybrid,3385,1811,220,29,61,0.04969630038652678
R2,BM25,3385,1811,220,4,15,0.010491441192711209
R2,Dense,3385,1811,220,55,89,0.07951408061844285
R2,Hybrid,3385,1811,220,30,45,0.041413583655438985
R3,BM25,3385,1811,220,6,21,0.014908890115958034
R3,Dense,3385,1811,220,71,135,0.11374930977360574
R3,Hybrid,3385,1811,220,38,72,0.060739922694643844
R4,BM25,3385,1811,220,0,0,0.0
R4,Dense,3385,1811,220,26,64,0.04969630038652678
R4,Hybrid,3385,1811,220,26,35,0.03368304803975704
R5,BM25,3385,1811,220,2,8,0.005521811154058531
R5,Dense,3385,1811,220,90,184,0.15129762562120375
R5,Hybrid,3385,1811,220,51,110,0.08890115958034235
R8,BM25,3385,1811,220,3,14,0.009387078961899503
R8,Dense,3385,1811,220,51,127,0.09828823854224185
R8,Hybrid,3385,1811,220,30,77,0.059083379348426286
