representation,retriever,metric,delta,ci_low,ci_high,permutation_p,role,holm_primary_p
C_order,BM25,cNDCG@10,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,cNDCG@20,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,Recall@10,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,Recall@20,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,Recall@50,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,MRR,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,ExactHit@20,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,JudgedCoverage@10,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,ExplicitIrrelevant@10,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,Unjudged@10,0.0,0.0,0.0,1.0,exploratory,
C_order,BM25,Top20BoundaryTied,0.0,0.0,0.0,1.0,exploratory,
C_order,Dense,cNDCG@10,-0.0022472136095370515,-0.008773709817295255,0.004487301894099124,0.5116488351164884,exploratory,
C_order,Dense,cNDCG@20,-0.00012538424125791808,-0.005124529073376579,0.0047972366709987,0.961003899610039,exploratory,
C_order,Dense,Recall@10,0.0010453746494711563,-0.00012407530488766147,0.002149645731876997,0.0648935106489351,exploratory,
C_order,Dense,Recall@20,0.0005872794050358379,-0.0008213711835073,0.001987584122423655,0.40875912408759124,exploratory,
C_order,Dense,Recall@50,-0.0005915441556629767,-0.002777591952015022,0.0015107394537022087,0.5971402859714029,exploratory,
C_order,Dense,MRR,-0.0008155010781420209,-0.019370079215038628,0.01812519197533159,0.9363063693630637,exploratory,
C_order,Dense,ExactHit@20,-0.018469656992084433,-0.044854881266490766,0.0079155672823219,0.2450754924507549,exploratory,
C_order,Dense,JudgedCoverage@10,0.019166666666666665,0.010000000000000002,0.028333333333333332,9.999000099990002e-05,exploratory,
C_order,Dense,ExplicitIrrelevant@10,-0.00020833333333333324,-0.0035416666666666665,0.003125,1.0,exploratory,
C_order,Dense,Unjudged@10,-0.019166666666666665,-0.02833333333333333,-0.01,9.999000099990002e-05,exploratory,
C_order,Dense,Top20BoundaryTied,0.0,0.0,0.0,1.0,exploratory,
C_order,Hybrid,cNDCG@10,0.00017843979910837175,-0.0047000628742363436,0.0049671643674418274,0.9406059394060594,exploratory,
C_order,Hybrid,cNDCG@20,0.0006684127145739616,-0.0028127455258910973,0.004088378895942035,0.7066293370662934,exploratory,
C_order,Hybrid,Recall@10,4.5675029016464835e-05,-0.0008391306694291248,0.0008552109302830392,0.919008099190081,exploratory,
C_order,Hybrid,Recall@20,-0.0010538510219306242,-0.0027021576398858676,0.0004151741417654048,0.19958004199580043,exploratory,
