dataset,method,input_variant,products,passed,representation_sha256
esci,M1_factual_field_sentence,C0,10076,10076,ac2bc92208a5c53950464ed7a4537f6690d810c9c907d912751e041d8053e6b5
esci,M1_factual_field_sentence,C1,10076,10076,fb2b2a630269e622e004dea80340b3deb6b98eb329eb835f41c3a8bca8b3eb46
esci,M1_factual_field_sentence,C2s1,10076,10076,9848347376cdc9a137000f4a1fe0a6bf647a29219202f09dac6df6da2f413898
esci,M1_factual_field_sentence,C2s2,10076,10076,95f8312666d792ee4abe5449265b9e1a035b1a9812a3d3d3cd525ad87e12a9b1
esci,M1_factual_field_sentence,C2s3,10076,10076,9e01fde375ebe01579077b955dc826cd54177f79b6e28abff876700951872bfc
esci,M1_factual_field_sentence,C2s4,10076,10076,9085edfd82782a20c4e12ee4bdfc729ee1517c52672e110fcc2844cab956239e
esci,M1_factual_field_sentence,C2s5,10076,10076,45e0511d53364157f2200b73d60e842b7753a3b421445041aac846e273ff9685
esci,M2_normalized_attributes,C0,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
esci,M2_normalized_attributes,C1,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
esci,M2_normalized_attributes,C2s1,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
esci,M2_normalized_attributes,C2s2,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
esci,M2_normalized_attributes,C2s3,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
esci,M2_normalized_attributes,C2s4,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
esci,M2_normalized_attributes,C2s5,10076,10076,021f8589bce06a495c19126e7be868d6fdb79fe447bf7f8f0df91499834aad1a
