dataset,model,encoder_profile,catalog_size,population,K,reference,alternative,comparison_role,rank_origin,intervention,eligible_queries,highest_relevance_pairs,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,queries_positive_net,queries_negative_net,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass,within_query_balanced_exchange_mass,bootstrap_seed,bootstrap_draws,ci_type,any_membership_change_fraction_ci_low,any_membership_change_fraction_ci_high,exact_zero_net_with_changes_fraction_ci_low,exact_zero_net_with_changes_fraction_ci_high,cancellation_conditional_ci_low,cancellation_conditional_ci_high,conditional_bootstrap_valid_draws,aggregation,reference_recall,reference_recall_ci_low,reference_recall_ci_high,alternative_recall,alternative_recall_ci_low,alternative_recall_ci_high,gain_fraction,gain_fraction_ci_low,gain_fraction_ci_high,loss_fraction,loss_fraction_ci_low,loss_fraction_ci_high,net_delta,net_delta_ci_low,net_delta_ci_high,membership_change_fraction,membership_change_fraction_ci_low,membership_change_fraction_ci_high,retained_total,newly_included_total,newly_omitted_total,absent_in_both_total
wands,minilm,native,42994,primary_existing_evaluation,20,C0,C1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,211,57,0.185064935064935,0.2701421800947867,308,211,64,90,0.0170597378399219,0.0430626478201507,0.0341194756798439,0.0450678978528055,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6331168831168831,0.737012987012987,0.1428571428571428,0.2272727272727272,0.2105263157894736,0.3286384976525822,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2820821467824249,0.2472473051513589,0.3197878387810696,0.0395936867663247,0.0319300791103895,0.0482375461596476,0.0655965967465534,0.0502058574351654,0.0834365968509632,-0.0260029099802287,-0.0455728006235026,-0.0081352755258496,0.1051902835128781,0.0878938293876912,0.1244177429915538,1619,610,654,18416
wands,minilm,native,42994,primary_existing_evaluation,20,C0,C2s1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,207,52,0.1688311688311688,0.251207729468599,308,207,72,83,0.0190995457231502,0.0285899631480117,0.0381990914463005,0.0383800902194198,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6201298701298701,0.724025974025974,0.1298701298701298,0.211038961038961,0.1940220364147847,0.3116279069767442,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2985946393377921,0.2624477481149538,0.3367742876819698,0.0382895908328602,0.0301349187440327,0.048428671176861,0.0477800082577217,0.0364701090876404,0.061339629158273,-0.0094904174248614,-0.0258103140696768,0.0059827371777163,0.0860695990905819,0.0717410931284494,0.1023254834342662,1682,572,591,18454
wands,minilm,native,42994,primary_existing_evaluation,20,C0,C2s2,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,198,60,0.1948051948051948,0.303030303030303,308,198,66,72,0.0143102064700426,0.0256986760326396,0.0286204129400852,0.0423286330863103,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5876623376623377,0.698051948051948,0.1525974025974026,0.2402597402597402,0.2413793103448276,0.3681657501963863,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2966965872000566,0.2603578455667816,0.3351224099093474,0.0354745230131978,0.028087967383499,0.0450430169291483,0.0468629925757948,0.0358959579412577,0.0596596263058717,-0.011388469562597,-0.026417217583717,0.0029638981914426,0.0823375155889926,0.068284801430364,0.0979556208459303,1678,591,595,18435
wands,minilm,native,42994,primary_existing_evaluation,20,C0,C2s3,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,195,59,0.1915584415584415,0.3025641025641025,308,195,62,74,0.0105108053213156,0.0351386879724621,0.0210216106426312,0.0430656608890339,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.577922077922078,0.6883116883116883,0.1493506493506493,0.237012987012987,0.2408376963350785,0.3686868686868687,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2834571741115071,0.2485721289856473,0.3201129760964754,0.0320436357658325,0.0260714138326546,0.03892117157788,0.056671518416979,0.0414165564109499,0.0736681521426793,-0.0246278826511465,-0.0426310706601277,-0.0086769377704407,0.0887151541828116,0.0717196911763791,0.1074403317773982,1698,560,575,18466
wands,minilm,native,42994,primary_existing_evaluation,20,C0,C2s4,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,196,64,0.2077922077922078,0.3265306122448979,308,196,60,72,0.0169390414063301,0.0272336017561278,0.0338780828126602,0.0424648891381321,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5811688311688312,0.6883116883116883,0.1655844155844155,0.2532467532467532,0.2626262626262626,0.3937863086826817,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.297790496412856,0.2613920565823787,0.3356745448485196,0.0381714859753962,0.0285277011118206,0.0500671568788971,0.0484660463251938,0.0365841236495193,0.0624903748454744,-0.0102945603497976,-0.0276010110379724,0.0062616887178265,0.08663753230059,0.0705977250706153,0.1043359547604804,1677,590,596,18436
wands,minilm,native,42994,primary_existing_evaluation,20,C0,C2s5,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,202,67,0.2175324675324675,0.3316831683168317,308,202,62,73,0.0165216146813433,0.0284132263977467,0.0330432293626867,0.0442306582985134,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6038961038961039,0.7077922077922078,0.172077922077922,0.2662337662337662,0.2682926829268293,0.3968274423171329,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2961934450462502,0.2600142683607103,0.3336829093442626,0.0386369438306,0.0302427730176217,0.0489235365217983,0.0505285555470034,0.0385803491873517,0.0642356109283184,-0.0118916117164033,-0.027968768426393,0.0034701704798316,0.0891654993776035,0.0737382469614823,0.1062211487649644,1683,587,590,18439
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,199,21,0.0681818181818181,0.1055276381909547,308,199,65,113,0.017111834177296,0.0413555121504927,0.0342236683545921,0.0444792073891272,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5941558441558441,0.698051948051948,0.0422077922077922,0.0974025974025974,0.065,0.1497644927536231,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.554589604119262,0.5154151555954687,0.5947367494149505,0.0393514378718596,0.0329271533784205,0.0464241488792821,0.0635951158450563,0.0510346331014523,0.0782434859594689,-0.0242436779731966,-0.040193221199929,-0.0097843338046198,0.102946553716916,0.0887620285049331,0.1190532045110847,6120,1084,1353,12742
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,193,32,0.1038961038961039,0.1658031088082901,308,193,62,99,0.0135340819867435,0.0251709700684734,0.0270681639734871,0.0457612139953749,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6785714285714286,0.0714285714285714,0.1396103896103896,0.1161616161616161,0.2205930099312451,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5671963940107287,0.5280735371999068,0.6059072218321542,0.036414688984431,0.0308252125291215,0.042635897713978,0.0480515770661609,0.0390678303543165,0.0584917584539276,-0.0116368880817298,-0.0230473268598821,-0.0012308124746366,0.0844662660505919,0.0732153550408523,0.0967563801632705,6290,999,1183,12827
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s2,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,196,30,0.0974025974025974,0.1530612244897959,308,196,71,95,0.0154480602947427,0.0276656497264057,0.0308961205894854,0.0474379569221941,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5811688311688312,0.6883116883116883,0.0649350649350649,0.1331168831168831,0.1044776119402985,0.2057451449479312,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5666156926607956,0.5279020674314153,0.6055829563493164,0.0391670387558398,0.0332056210649148,0.0456893847744087,0.0513846281875028,0.0424211387673253,0.0613747548595886,-0.012217589431663,-0.0233088851377229,-0.0016058999891434,0.0905516669433426,0.079193734242298,0.1026959687211931,6279,1073,1194,12753
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s3,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,193,22,0.0714285714285714,0.1139896373056994,308,193,70,101,0.0161485540178369,0.0298575998921237,0.0322971080356738,0.0487193276178193,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6818181818181818,0.0454545454545454,0.1006493506493506,0.0714285714285714,0.1612903225806451,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5651242362181718,0.5269304338762806,0.6040599622067645,0.0405082178267465,0.033952002921643,0.0478045745680422,0.0542172637010334,0.0425029583979436,0.0681259355395272,-0.0137090458742868,-0.0288819310177056,-0.0002625683069936,0.0947254815277799,0.0805619097089048,0.1105873569002484,6331,1053,1142,12773
