dataset,model,K,alternative,numerator_exact_nonzero_cancellation,denominator_all_eligible,all_eligible_percent,denominator_changed_queries,changed_queries_percent
wands,minilm,20,C1,57,308,18.506493506493506,211,27.01421800947867
wands,minilm,20,C2s1,52,308,16.883116883116884,207,25.120772946859905
wands,minilm,20,C2s2,60,308,19.48051948051948,198,30.303030303030305
wands,minilm,20,C2s3,59,308,19.155844155844157,195,30.256410256410255
wands,minilm,20,C2s4,64,308,20.77922077922078,196,32.6530612244898
wands,minilm,20,C2s5,67,308,21.753246753246753,202,33.16831683168317
wands,minilm,100,C1,21,308,6.818181818181818,199,10.552763819095478
wands,minilm,100,C2s1,32,308,10.38961038961039,193,16.580310880829014
wands,minilm,100,C2s2,30,308,9.74025974025974,196,15.306122448979592
wands,minilm,100,C2s3,22,308,7.142857142857143,193,11.398963730569948
wands,minilm,100,C2s4,39,308,12.662337662337663,193,20.207253886010363
wands,minilm,100,C2s5,22,308,7.142857142857143,192,11.458333333333334
wands,bge_base,20,C1,73,308,23.7012987012987,187,39.037433155080215
wands,bge_base,20,C2s1,78,308,25.324675324675326,179,43.57541899441341
wands,bge_base,20,C2s2,78,308,25.324675324675326,184,42.391304347826086
wands,bge_base,20,C2s3,68,308,22.07792207792208,181,37.569060773480665
wands,bge_base,20,C2s4,69,308,22.4025974025974,182,37.91208791208791
wands,bge_base,20,C2s5,67,308,21.753246753246753,182,36.81318681318681
wands,bge_base,100,C1,25,308,8.116883116883116,168,14.880952380952381
wands,bge_base,100,C2s1,30,308,9.74025974025974,159,18.867924528301888
wands,bge_base,100,C2s2,31,308,10.064935064935066,163,19.01840490797546
wands,bge_base,100,C2s3,40,308,12.987012987012987,155,25.806451612903224
wands,bge_base,100,C2s4,32,308,10.38961038961039,148,21.62162162162162
wands,bge_base,100,C2s5,42,308,13.636363636363637,162,25.925925925925927
wands,gte_modernbert,20,C1,61,308,19.805194805194805,191,31.93717277486911
wands,gte_modernbert,20,C2s1,67,308,21.753246753246753,195,34.35897435897436
wands,gte_modernbert,20,C2s2,81,308,26.2987012987013,198,40.90909090909091
wands,gte_modernbert,20,C2s3,76,308,24.675324675324674,193,39.37823834196891
wands,gte_modernbert,20,C2s4,70,308,22.727272727272727,193,36.26943005181347
wands,gte_modernbert,20,C2s5,76,308,24.675324675324674,189,40.21164021164021
wands,gte_modernbert,100,C1,37,308,12.012987012987013,163,22.699386503067483
wands,gte_modernbert,100,C2s1,31,308,10.064935064935066,171,18.128654970760234
wands,gte_modernbert,100,C2s2,29,308,9.415584415584416,170,17.058823529411764
wands,gte_modernbert,100,C2s3,32,308,10.38961038961039,171,18.71345029239766
wands,gte_modernbert,100,C2s4,33,308,10.714285714285714,165,20.0
wands,gte_modernbert,100,C2s5,43,308,13.96103896103896,169,25.443786982248522
esci,minilm,20,C1,14,499,2.80561122244489,92,15.217391304347826
esci,minilm,20,C2s1,14,499,2.80561122244489,73,19.17808219178082
esci,minilm,20,C2s2,10,499,2.004008016032064,68,14.705882352941176
esci,minilm,20,C2s3,8,499,1.6032064128256514,60,13.333333333333334
esci,minilm,20,C2s4,7,499,1.402805611222445,80,8.75
esci,minilm,20,C2s5,13,499,2.6052104208416833,74,17.56756756756757
esci,minilm,100,C1,2,499,0.40080160320641284,30,6.666666666666667
esci,minilm,100,C2s1,2,499,0.40080160320641284,20,10.0
esci,minilm,100,C2s2,2,499,0.40080160320641284,16,12.5
esci,minilm,100,C2s3,2,499,0.40080160320641284,19,10.526315789473685
esci,minilm,100,C2s4,1,499,0.20040080160320642,19,5.2631578947368425
esci,minilm,100,C2s5,2,499,0.40080160320641284,17,11.764705882352942
esci,bge_base,20,C1,16,499,3.2064128256513027,78,20.512820512820515
esci,bge_base,20,C2s1,12,499,2.404809619238477,55,21.818181818181817
esci,bge_base,20,C2s2,14,499,2.80561122244489,67,20.895522388059703
esci,bge_base,20,C2s3,16,499,3.2064128256513027,63,25.396825396825395
esci,bge_base,20,C2s4,12,499,2.404809619238477,66,18.181818181818183
esci,bge_base,20,C2s5,12,499,2.404809619238477,62,19.35483870967742
esci,bge_base,100,C1,1,499,0.20040080160320642,25,4.0
esci,bge_base,100,C2s1,3,499,0.6012024048096193,17,17.647058823529413
esci,bge_base,100,C2s2,0,499,0.0,17,0.0
esci,bge_base,100,C2s3,1,499,0.20040080160320642,20,5.0
esci,bge_base,100,C2s4,0,499,0.0,20,0.0
esci,bge_base,100,C2s5,2,499,0.40080160320641284,21,9.523809523809524
esci,gte_modernbert,20,C1,21,499,4.208416833667335,123,17.073170731707318
esci,gte_modernbert,20,C2s1,19,499,3.8076152304609217,96,19.791666666666668
esci,gte_modernbert,20,C2s2,17,499,3.406813627254509,102,16.666666666666668
esci,gte_modernbert,20,C2s3,19,499,3.8076152304609217,92,20.652173913043477
esci,gte_modernbert,20,C2s4,19,499,3.8076152304609217,104,18.26923076923077
esci,gte_modernbert,20,C2s5,15,499,3.006012024048096,104,14.423076923076923
esci,gte_modernbert,100,C1,4,499,0.8016032064128257,49,8.16326530612245
esci,gte_modernbert,100,C2s1,3,499,0.6012024048096193,35,8.571428571428571
esci,gte_modernbert,100,C2s2,3,499,0.6012024048096193,38,7.894736842105263
esci,gte_modernbert,100,C2s3,3,499,0.6012024048096193,35,8.571428571428571
esci,gte_modernbert,100,C2s4,3,499,0.6012024048096193,44,6.818181818181818
esci,gte_modernbert,100,C2s5,1,499,0.20040080160320642,39,2.5641025641025643
