epoch,step,loss,batch_rows,mean_valid_negatives,seconds
0,0,3.733154296875,128,499.0078125,53.96799999999348
0,1,3.728515625,128,498.3828125,105.14000000001397
0,2,3.16351318359375,128,498.1875,156.48400000005495
0,3,1.34812331199646,23,88.73913043478261,165.84299999999348
1,4,2.0346145629882812,128,498.4140625,217.6720000000205
1,5,1.8619155883789062,128,498.0703125,270.375
1,6,1.57373046875,128,499.0546875,322.89000000001397
1,7,0.697982132434845,23,88.91304347826087,332.98400000005495
2,8,1.0477371215820312,128,497.90625,387.40600000007544
2,9,1.0673637390136719,128,496.5703125,445.4679999999935
2,10,0.8177623748779297,128,497.9765625,503.73400000005495
2,11,0.29488739371299744,23,89.1304347826087,513.984000000055
3,12,0.6772069931030273,128,497.84375,570.3429999999935
3,13,0.6507349014282227,128,499.1953125,626.9220000000205
3,14,0.5352115631103516,128,497.984375,682.359000000055
3,15,0.08611927926540375,23,88.26086956521739,692.5929999999935
4,16,0.46761465072631836,128,498.796875,748.609000000055
4,17,0.440701961517334,128,498.8984375,806.5
4,18,0.4953913688659668,128,497.78125,861.1560000000754
4,19,0.4483310878276825,23,88.21739130434783,871.4370000000345
