query_id,product_id,rank_original,score_original,zero_score_original,rank_alternative,score_alternative,zero_score_alternative,representation,retriever,rank_gain,log2_rank_ratio,rescued,harmed,direction
371,37310,1562,0.3618557453155517,False,9,0.5123107433319092,False,R5,Dense,1553,7.4392537366996665,True,False,positive
242,8380,1417,0.5223802328109741,False,13,0.703200101852417,False,R5,Dense,1404,6.768184324776926,True,False,positive
335,14774,1295,0.1579981595277786,False,18,0.2489178627729416,False,R5,Dense,1277,6.168811381131603,True,False,positive
258,22758,893,0.383811354637146,False,9,0.5454052090644836,False,R5,Dense,884,6.632591363678911,True,False,positive
14,37141,791,0.4066197276115417,False,13,0.5089365243911743,False,R5,Dense,778,5.9270941663317,True,False,positive
100,24960,773,0.4875473380088806,False,15,0.6075010299682617,False,R3,Dense,758,5.687434008316329,True,False,positive
420,12799,767,0.3502954542636871,False,15,0.5494668483734131,False,R5,Dense,752,5.676192171894415,True,False,positive
417,16345,763,0.4691009521484375,False,12,0.6464056372642517,False,R5,Dense,751,5.9905767461133745,True,False,positive
250,40122,770,0.5117208361625671,False,20,0.6958745718002319,False,R5,Dense,750,5.266786540694901,True,False,positive
302,3215,745,0.4379347860813141,False,6,0.6597047448158264,False,R5,Dense,739,6.956134114628368,True,False,positive
122,17749,719,0.3143419325351715,False,11,0.4701555967330932,False,R5,Dense,708,6.030416341802001,True,False,positive
32,8577,676,0.3162235617637634,False,7,0.5186654329299927,False,R3,Dense,669,6.59352451422458,True,False,positive
106,20342,659,0.3989225327968597,False,19,0.5471276640892029,False,R3,Dense,640,5.116207141564466,True,False,positive
6,21914,564,0.4546880722045898,False,17,0.569629430770874,False,R5,Dense,547,5.052088511148455,True,False,positive
133,38871,558,0.4772334396839142,False,12,0.6215000748634338,False,R5,Dense,546,5.539158811108031,True,False,positive
6,19248,545,0.4552236795425415,False,2,0.5980443954467773,False,R3,Dense,543,8.090112419664289,True,False,positive
258,8473,546,0.3961842060089111,False,16,0.5354446768760681,False,R5,Dense,530,5.092757140919852,True,False,positive
121,22352,531,0.5861070156097412,False,11,0.7172819375991821,False,R3,Dense,520,5.593136432166856,True,False,positive
297,32638,518,0.5054279565811157,False,5,0.6373457312583923,False,R5,Dense,513,6.694880192799191,True,False,positive
244,26748,501,0.3193779289722442,False,13,0.4289505183696747,False,R5,Dense,488,5.268227075054116,True,False,positive
352,524,4,0.2811457812786102,False,12464,0.0701034665107727,False,R2,Dense,-12460,-11.605479518061669,False,True,negative
352,525,2,0.2932239174842834,False,10589,0.0751760527491569,False,R2,Dense,-10587,-12.37027873062086,False,True,negative
352,27603,17,0.2301588654518127,False,6806,0.1030740514397621,False,R5,Dense,-6789,-8.645128594714668,False,True,negative
153,24831,7,0.2861425876617431,False,4368,0.1728930473327636,False,R5,Dense,-4361,-9.285402218862249,False,True,negative
153,7842,14,0.272327184677124,False,3674,0.1787267923355102,False,R5,Dense,-3660,-8.035780989053745,False,True,negative
361,30206,15,0.2708689570426941,False,3668,0.1711709201335907,False,R5,Dense,-3653,-7.933887327986536,False,True,negative
361,10461,20,0.2672387361526489,False,3035,0.1953464448451995,False,R3,Dense,-3015,-7.245552706255682,False,True,negative
361,5421,2,0.3188995718955993,False,2152,0.1606862246990203,False,R2,Dense,-2150,-10.071462362556625,False,True,negative
111,6599,20,0.2937118113040924,False,1807,0.1636182367801666,False,R5,Dense,-1787,-6.497452695977238,False,True,negative
297,39975,18,0.5823509693145752,False,1540,0.5117595195770264,False,R5,Dense,-1522,-6.4187896341399515,False,True,negative
181,7756,15,0.4473102390766144,False,1337,0.3330099582672119,False,R5,Dense,-1322,-6.477893154484835,False,True,negative
376,34769,15,0.6135561466217041,False,1204,0.5506467223167419,False,R5,Dense,-1189,-6.326729081151184,False,True,negative
148,11324,4,0.3625994324684143,False,1106,0.2575228810310364,False,R5,Dense,-1102,-8.111135670234708,False,True,negative
153,24835,13,0.2746434509754181,False,958,0.213734284043312,False,R5,Dense,-945,-6.203442127595088,False,True,negative
149,26445,8,0.2371965646743774,False,877,0.1297361254692077,False,R5,Dense,-869,-6.776433032444733,False,True,negative
149,8338,5,0.2436178922653198,False,742,0.1334372013807296,False,R5,Dense,-737,-7.213347281733441,False,True,negative
162,34536,9,0.551186203956604,False,736,0.5461694598197937,False,R5,Dense,-727,-6.3536369546147,False,True,negative
476,31446,12,0.5535428524017334,False,672,0.5104718804359436,False,R5,Dense,-660,-5.807354922057605,False,True,negative
26,22015,13,0.6341758966445923,False,549,0.5962135791778564,False,R5,Dense,-536,-5.400222620864106,False,True,negative
449,40411,18,0.0155997751280665,False,547,0.0032062754034996,False,R5,Hybrid,-529,-4.925472021350244,False,True,negative
