dataset,model,K,change_min_pct,change_max_pct,delta_min_pp,delta_max_pp,exact_cancellation_min_pct,exact_cancellation_max_pct
wands,minilm,20,8.233751558899261,10.51902835128781,-2.6002909980228703,-0.94904174248614,16.88311688311688,21.75324675324675
wands,minilm,100,8.36948667761167,10.294655371691599,-2.4243677973196602,-0.78648026323095,6.8181818181818095,12.662337662337661
wands,bge_base,20,4.31166793745793,4.768776938056949,-0.46279431405493004,0.144171620642,21.75324675324675,25.324675324675322
wands,bge_base,100,4.757747146570019,6.7039396086466,-0.1708890124252,1.2818362202121,8.116883116883109,13.63636363636363
wands,gte_modernbert,20,5.75359002899842,6.36192679274969,-0.9249000827386,0.14050015069903,19.8051948051948,26.2987012987013
wands,gte_modernbert,100,5.28733645357076,6.17759729246628,-0.7796351559955099,-0.07942396814525,9.41558441558441,13.96103896103896
esci,minilm,20,1.6315262277099798,2.68342481239219,-0.65200447592811,-0.20210409813705998,1.40280561122244,2.80561122244488
esci,minilm,100,0.49576726806184995,1.03745647583322,-0.25560440264849,0.24585801639909,0.2004008016032,0.40080160320641
esci,bge_base,20,1.23548516024092,2.04696893676384,-0.51759033114247,-0.006508667928964434,2.40480961923847,3.2064128256513005
esci,bge_base,100,0.29753316478081,0.50516496756803,-0.012604574227820001,0.19521245070169,0.0,0.6012024048096101
esci,gte_modernbert,20,2.46223935457894,4.21884178028963,-1.05535177334304,-0.41592042745148006,3.00601202404809,4.2084168336673295
esci,gte_modernbert,100,0.9169340604321501,1.58300075909895,-0.73015458760633,0.0028280131335211567,0.2004008016032,0.80160320641282
